MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-04-05,249.3,758.1,1140.58,1393.9,125.1,70.3
2018-04-06,735.12,1339.9,2467.02,906.8,399.5,253.9
2018-04-07,637.8,1460.4,2438.3,561.55,550.5,356.9
2018-04-08,310.7,905.68,1382.08,584.8,406.5,343.7
2018-04-09,269.75,1106.8,1520.7,548.8,453.9,375.4
2018-04-10,201.0,1085.92,1393.82,648.15,664.8,513.8
2018-04-11,134.38,687.16,892.45,675.5,885.9,768.0
2018-04-12,88.32,494.12,629.55,779.85,648.4,566.8
2018-04-13,550.65,1102.22,1946.28,539.9,535.5,438.0
2018-04-14,589.22,1289.58,2192.68,720.1,780.3,641.9
2018-04-15,420.52,1227.95,1872.7,754.65,599.7,494.8
2018-04-16,467.8,1217.8,1935.12,1172.65,334.1,180.1
2018-04-17,344.98,1104.32,1633.1,1271.0,314.1,148.0
2018-04-18,615.75,1383.05,2326.93,890.0,340.2,183.4
2018-04-19,806.95,1948.9,3185.98,828.05,722.1,404.2
2018-04-20,373.12,1003.42,1575.8,869.2,736.4,397.3
2018-04-21,375.9,1504.62,2081.12,971.45,838.6,581.9
2018-04-22,233.05,780.5,1137.85,1410.25,543.6,331.3
2018-04-23,331.63,822.42,1330.7,1241.25,228.6,100.4
2018-04-24,351.4,820.82,1359.52,963.05,186.5,100.0
2018-04-25,223.2,642.28,984.78,1344.7,202.7,95.3
2018-04-26,330.25,909.72,1416.12,1217.4,255.6,109.8
2018-04-27,580.35,1350.12,2239.72,618.85,283.2,179.1
2018-04-28,57.8,426.7,515.3,1277.65,210.4,145.4
2018-04-29,31.25,173.5,221.42,1726.45,160.9,90.8
2018-04-30,94.12,520.98,665.18,1457.55,286.2,126.7
2018-05-01,487.4,1166.45,1913.88,1062.35,194.9,109.7
2018-05-02,315.58,934.07,1417.65,1278.4,152.7,73.7
2018-05-03,632.08,1133.5,2102.6,871.95,307.7,154.9
2018-05-04,551.4,1133.1,1978.7,937.15,378.8,207.7
2018-05-05,577.97,1527.62,2414.38,1019.6,600.8,385.3
2018-05-06,157.88,1331.55,1573.72,1496.45,798.0,570.8
2018-05-07,288.4,1513.0,1954.68,1473.65,775.1,550.1
2018-05-08,724.7,1227.72,2338.6,1231.25,806.6,444.5
2018-05-09,287.5,811.97,1252.82,992.45,448.3,211.75
2018-05-10,215.6,748.1,1078.52,1289.35,324.8,136.5
2018-05-11,791.95,1441.35,2655.5,881.35,312.4,178.8
2018-05-12,497.12,1212.04,1974.45,738.2,285.7,202.1
2018-05-13,172.83,783.25,1048.0,934.75,355.3,250.7
2018-05-14,111.07,587.29,757.41,1466.22,276.3,135.6
2018-05-15,105.41,573.67,734.97,1718.0,294.0,121.7
2018-05-16,95.7,443.65,590.12,1576.9,376.6,186.4
2018-05-17,96.84,418.78,567.18,1539.4,364.6,171.4
2018-05-18,187.13,584.32,871.14,1063.45,426.5,206.2
2018-05-19,392.67,728.85,1330.64,1133.85,519.6,307.4
2018-05-20,206.82,857.23,1174.55,1149.95,534.1,372.4
2018-05-21,102.56,463.66,620.9,1417.7,705.2,441.6
2018-05-22,70.6,240.95,349.41,1953.8,609.0,315.3
2018-05-23,61.03,199.17,292.71,2028.8,620.5,383.7
2018-05-24,159.07,560.0,803.77,1126.95,724.4,515.4
2018-05-25,185.95,855.8,1141.08,945.65,627.8,478.4
2018-05-26,59.65,431.19,522.77,1826.85,867.4,661.0
2018-05-27,81.41,659.26,783.41,1175.6,671.4,465.1
2018-05-28,138.23,634.0,844.9,1323.0,825.6,648.8
2018-05-29,158.68,611.0,853.08,1703.3,510.9,404.7
2018-05-30,314.43,917.33,1399.04,729.25,636.9,456.6
2018-05-31,327.2,1087.45,1589.65,687.05,850.2,618.1
2018-06-01,390.32,1021.05,1619.22,746.8,423.9,300.3
2018-06-02,178.2,662.9,936.35,1043.9,223.9,129.4
2018-06-03,292.5,952.75,1400.85,979.85,265.6,151.9
2018-06-04,76.9,405.95,523.5,1244.4,414.3,296.1
2018-06-05,64.85,278.95,378.2,1444.65,387.5,208.1
2018-06-06,74.32,294.9,408.72,1422.8,529.9,284.9
2018-06-07,89.6,436.15,573.85,1173.2,456.8,251.8
2018-06-08,73.0,324.45,436.45,1334.5,419.8,227.7
2018-06-09,68.55,394.4,499.15,1237.25,452.1,296.7
2018-06-10,76.95,438.3,556.1,1205.75,487.0,342.1
2018-06-11,157.7,679.1,921.05,1022.5,371.2,173.5
2018-06-12,105.0,444.25,605.2,940.65,334.1,185.5
2018-06-13,475.5,967.95,1697.15,901.35,361.0,167.2
2018-06-14,196.8,514.2,815.85,1134.8,406.6,173.7
2018-06-15,157.5,537.05,778.6,1143.4,413.95,180.6
2018-06-16,247.8,766.95,1146.9,931.4,247.5,113.8
2018-06-17,210.85,668.25,991.25,915.55,201.9,115.1
2018-06-18,217.7,552.2,886.25,894.6,280.8,117.0
2018-06-19,339.05,548.85,1068.75,477.85,246.0,64.0
2018-06-20,461.7,472.45,1180.65,386.65,261.3,103.7
2018-06-21,64.2,274.8,373.45,1352.65,270.0,114.0
2018-06-22,136.45,521.55,731.05,1185.3,367.9,149.6
2018-06-23,111.75,543.05,714.55,1281.45,306.3,151.1
2018-06-24,100.0,697.0,850.1,1563.0,280.4,151.7
2018-06-25,274.0,1131.9,1552.05,1703.95,429.5,199.5
2018-06-26,332.6,1223.9,1733.45,1126.3,489.5,230.1
2018-06-27,103.15,587.3,745.3,1219.0,465.7,254.8
2018-06-28,79.85,446.5,568.9,1465.75,516.6,275.9
2018-06-29,64.65,304.8,403.9,1550.85,408.1,209.5
2018-06-30,64.25,456.95,555.75,1692.9,391.5,186.9
2018-07-01,50.75,538.65,616.75,2264.6,482.6,195.3
2018-07-02,72.45,559.6,671.15,2063.7,453.8,122.9
2018-07-03,122.95,744.2,933.0,1637.55,378.4,115.6
2018-07-04,170.55,971.7,1233.4,1251.25,483.9,246.3
2018-07-05,264.5,1056.6,1462.25,1534.8,626.0,343.8
2018-07-06,101.75,805.7,961.5,1607.55,576.9,315.2
2018-07-07,147.2,780.65,1006.85,1529.35,580.7,337.3
2018-07-08,63.75,531.8,629.45,1576.1,409.4,245.5
2018-07-09,208.2,706.2,1025.35,1169.6,535.4,228.8
2018-07-10,69.9,261.9,368.75,1107.8,309.2,136.2
2018-07-11,68.53,313.75,419.18,1128.57,394.9,198.9
2018-07-12,95.65,523.15,669.8,1096.65,512.4,264.3
