MeasurementDateGMT,NO,NO2,NOX,PM10,PM25
2020-02-09,1192.06,1196.84,3024.79,617.91,283.43
2020-02-16,528.37,697.27,1507.4,475.07,133.79
2020-02-23,413.46,624.51,1258.46,477.29,125.57
2020-03-01,542.58,772.97,1604.83,448.14,98.71
2020-03-08,755.03,1060.01,2217.69,533.31,203.14
2020-03-15,489.85,682.25,1433.32,481.8,120.86
2020-03-22,388.44,698.69,1294.3,538.04,177.57
2020-03-29,341.32,808.03,1331.26,605.6,378.86
2020-04-05,391.59,785.72,1386.22,516.63,154.86
2020-04-12,297.17,934.02,1389.67,758.01,589.71
2020-04-19,205.96,650.18,966.01,660.22,330.71
2020-04-26,171.53,629.93,893.05,692.9,291.14
2020-05-03,310.96,620.41,1097.24,384.19,132.29
2020-05-10,163.48,621.89,872.61,523.99,302.14
2020-05-17,264.27,540.73,945.94,309.45,140.14
2020-05-24,397.01,707.81,1316.71,469.84,177.86
2020-05-31,328.79,727.66,1231.76,409.98,178.86
2020-06-07,343.93,680.78,1207.99,326.31,135.93
2020-06-14,401.94,749.98,1366.26,409.0,251.21
2020-06-21,500.9,812.45,1580.47,372.21,201.0
2020-06-28,321.47,797.2,1290.17,536.69,289.71
2020-07-05,367.76,472.15,1036.0,303.9,152.43
2020-07-12,516.03,738.87,1530.11,257.49,166.86
2020-07-19,544.37,769.32,1604.01,290.23,145.86
2020-07-26,452.97,703.04,1397.61,324.98,112.57
2020-08-02,560.77,835.88,1695.6,376.91,129.14
2020-08-09,502.86,967.75,1738.8,507.84,232.0
2020-08-16,316.64,1028.72,1514.32,689.79,450.43
2020-08-23,514.95,715.59,1505.16,396.6,112.43
2020-08-30,526.81,679.08,1486.69,298.46,116.93
2020-09-06,708.79,981.7,2068.5,386.26,213.71
2020-09-13,707.0,947.14,2031.27,338.21,175.57
2020-09-20,323.46,888.89,1384.98,584.45,268.14
2020-09-27,558.09,916.86,1772.6,421.99,189.0
2020-10-04,742.83,1001.22,2140.29,292.16,166.14
2020-10-11,702.3,883.99,1960.81,279.38,145.71
2020-10-18,854.42,1085.49,2395.64,364.58,233.86
2020-10-25,698.59,989.19,2060.36,367.57,199.0
2020-11-01,542.65,736.18,1568.31,306.24,193.43
2020-11-08,1492.89,1276.36,3565.34,758.59,661.14
2020-11-15,806.68,1032.09,2269.0,397.64,180.43
2020-11-22,645.1,870.16,1859.35,353.91,144.71
2020-11-29,1267.74,1412.2,3356.06,637.05,460.14
2020-12-06,992.77,1348.89,2871.23,419.05,223.14
2020-12-13,931.11,1241.41,2669.48,448.3,231.71
2020-12-20,663.28,1055.54,2073.05,382.93,121.5
2020-12-27,579.63,874.01,1763.51,205.59,99.57
2021-01-03,749.29,1008.41,2158.23,405.57,373.86
2021-01-10,612.15,874.66,1814.39,343.27,314.71
2021-01-17,586.85,800.19,1701.29,288.89,209.86
2021-01-24,552.08,757.13,1603.96,251.72,163.29
2021-01-31,844.33,934.41,2229.03,272.73,161.14
2021-02-07,671.79,849.39,1879.53,334.82,196.43
2021-02-14,291.58,662.9,1109.92,359.45,270.71
2021-02-21,470.59,789.38,1511.09,423.81,223.57
2021-02-28,723.14,1082.01,2190.95,557.41,324.29
2021-03-07,500.17,909.78,1676.65,647.89,531.57
2021-03-14,516.6,773.29,1565.46,416.92,254.86
2021-03-21,501.68,883.89,1653.31,397.76,197.29
2021-03-28,478.82,769.43,1503.69,423.58,242.14
2021-04-04,513.09,925.8,1712.45,542.26,284.86
2021-04-11,395.2,723.99,1330.04,292.82,138.0
2021-04-18,608.28,1121.3,2053.94,405.55,219.29
2021-04-25,321.88,826.42,1319.95,575.19,365.71
2021-05-02,450.37,927.39,1617.96,461.29,259.86
2021-05-09,464.86,714.41,1427.21,283.86,93.14
2021-05-16,501.31,870.43,1639.0,322.26,204.57
2021-05-23,551.72,772.68,1618.63,278.46,247.28
2021-05-30,486.34,920.45,1666.22,355.76,231.07
2021-06-06,363.13,842.73,1399.58,494.14,310.43
2021-06-13,514.28,812.81,1601.41,356.29,219.14
2021-06-20,318.44,696.59,1184.87,479.84,238.86
2021-06-27,392.03,620.02,1221.29,363.56,242.86
2021-07-04,164.94,409.58,662.42,279.86,198.67
