MeasurementDateGMT,PM10,PM25,CO,NO,NO2,NOX,O3,SO2
2019-07-07,237.49,120.66,3.11,55.49,386.41,471.49,1369.61,39.31
2019-07-14,241.16,129.54,2.4,52.34,349.1,429.34,1457.69,67.64
2019-07-21,228.29,126.48,2.4,45.29,321.84,391.1,1320.61,46.89
2019-07-28,354.99,173.18,2.4,77.23,550.84,669.23,1370.73,51.03
2019-08-04,250.92,142.53,2.4,38.49,345.91,404.78,1491.97,31.86
2019-08-11,248.66,133.05,2.4,35.51,265.33,319.69,1353.2,22.9
2019-08-18,188.08,100.82,4.49,48.86,351.68,426.48,1063.41,20.26
2019-08-25,435.53,289.5,6.29,89.16,665.34,802.23,1411.04,35.7
2019-09-01,367.32,233.01,6.63,162.47,655.89,904.93,1397.83,30.0
2019-09-08,212.02,102.34,4.14,65.24,442.66,542.46,1115.0,23.69
2019-09-15,235.56,129.58,5.61,112.39,578.95,751.3,922.99,35.64
2019-09-22,375.36,186.22,3.51,161.07,775.04,1022.09,938.49,56.4
2019-09-29,172.0,88.7,2.4,35.49,302.21,356.56,1178.21,50.36
2019-10-06,256.81,151.04,3.56,228.69,623.69,974.61,825.72,42.58
2019-10-13,207.48,110.89,2.93,61.45,488.35,582.54,1051.21,33.86
2019-10-20,243.72,138.17,3.86,212.19,655.83,980.96,883.57,40.21
2019-10-27,355.14,236.76,4.79,423.36,776.01,1425.22,680.32,43.24
2019-11-03,469.5,326.07,3.84,302.36,768.49,1231.91,732.14,28.11
2019-11-10,346.28,232.06,5.06,510.3,902.94,1685.41,510.88,41.83
2019-11-17,328.24,231.53,4.71,401.83,861.66,1477.83,620.04,29.9
2019-11-24,423.06,297.82,5.14,526.89,1014.59,1822.59,426.39,33.46
2019-12-01,270.88,176.61,3.94,236.87,816.44,1179.56,738.27,24.58
2019-12-08,377.26,269.57,5.52,775.13,915.11,2103.47,712.58,37.36
2019-12-15,250.41,134.06,3.4,84.51,627.0,756.46,1148.01,45.71
2019-12-22,234.16,145.96,3.66,119.46,832.93,1016.19,924.51,63.4
2019-12-29,320.63,239.1,4.07,141.3,651.13,868.04,832.73,48.44
2020-01-05,408.2,325.39,3.51,133.46,701.05,905.76,796.02,38.64
2020-01-12,269.14,159.7,2.97,36.03,477.49,532.9,1348.05,48.69
2020-01-19,267.14,156.45,3.71,175.71,669.55,938.96,1085.21,63.72
2020-01-26,619.94,470.68,6.03,983.77,1115.81,2624.6,381.4,65.53
2020-02-02,219.16,120.05,2.87,41.7,507.21,571.22,1333.92,53.5
2020-02-09,444.51,284.25,3.84,351.91,781.36,1321.26,952.33,76.54
2020-02-16,202.3,110.04,2.83,57.91,416.79,505.61,1477.59,72.51
2020-02-23,250.44,132.44,2.7,31.11,363.63,411.44,1553.16,76.23
2020-03-01,206.79,102.78,2.93,47.04,440.56,512.61,1398.36,59.74
2020-03-08,293.07,184.42,3.87,168.03,734.11,991.7,1164.06,65.14
2020-03-15,183.73,97.71,2.7,32.56,361.6,411.61,1538.07,62.79
2020-03-22,296.4,176.68,2.76,50.44,452.36,529.87,1342.0,37.12
2020-03-29,624.71,416.68,3.36,76.7,539.14,656.69,1671.19,43.36
2020-04-05,282.89,176.31,2.97,31.91,412.37,461.37,1643.17,47.79
2020-04-12,728.75,535.64,3.13,58.46,708.86,798.4,1693.37,50.79
2020-04-19,524.1,336.46,2.53,36.93,447.93,504.61,1792.44,46.84
2020-04-26,571.09,311.11,2.5,29.63,372.33,417.67,2079.29,55.81
2020-05-03,234.23,149.36,2.53,24.63,301.64,339.3,1616.23,44.84
2020-05-10,424.49,284.26,3.07,33.08,440.48,491.19,2068.41,48.36
2020-05-17,233.97,115.78,2.69,31.66,313.26,361.73,1595.19,40.23
