MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-08,781.4,1523.5,2721.55,975.95
2018-05-09,660.25,958.38,1970.65,533.8
2018-05-10,477.15,837.1,1568.6,422.15
2018-05-11,614.45,1071.35,2013.2,587.35
2018-05-12,537.25,1086.65,1909.7,435.02
2018-05-13,404.85,880.85,1501.6,495.1
2018-05-14,228.4,544.5,894.75,370.6
2018-05-15,208.2,611.15,930.45,433.9
2018-05-16,126.65,380.55,574.9,563.7
2018-05-17,189.8,439.25,727.8,537.45
2018-05-18,328.15,757.5,1260.45,517.4
2018-05-19,275.45,855.75,1278.4,657.3
2018-05-20,223.35,760.85,1103.1,637.8
2018-05-21,308.88,1012.88,1486.55,828.04
2018-05-22,153.15,437.2,671.9,635.98
2018-05-23,125.35,395.05,587.15,630.15
2018-05-24,335.95,755.85,1270.8,754.95
2018-05-25,491.5,1127.85,1880.05,681.8
2018-05-26,116.0,517.7,695.65,949.85
2018-05-27,162.2,768.55,1017.1,897.92
2018-05-28,113.2,568.95,742.65,879.73
2018-05-29,125.35,462.1,654.35,571.55
2018-05-30,306.55,895.0,1365.25,590.3
2018-05-31,220.0,782.75,1118.45,777.1
2018-06-01,517.3,1038.3,1831.7,646.95
2018-06-02,434.25,808.8,1474.55,412.55
2018-06-03,268.75,712.55,1124.9,398.85
2018-06-04,172.65,476.5,741.0,425.8
2018-06-05,192.4,418.65,713.25,441.1
2018-06-06,177.75,493.4,766.1,604.7
2018-06-07,210.45,558.75,881.65,564.55
2018-06-08,221.05,516.55,855.3,558.5
2018-06-09,125.25,429.45,621.3,477.85
2018-06-10,98.45,322.5,473.5,447.8
2018-06-11,184.6,438.6,717.65,394.95
2018-06-12,257.2,551.6,945.8,386.3
2018-06-13,701.3,1031.4,2106.9,450.5
2018-06-14,455.85,738.15,1432.65,471.5
2018-06-15,608.4,930.6,1863.5,530.05
2018-06-16,421.35,652.85,1294.1,391.45
2018-06-17,294.2,471.85,923.25,313.8
2018-06-18,490.65,603.2,1350.4,425.3
2018-06-19,608.5,584.7,1517.6,312.95
2018-06-20,614.8,568.8,1511.45,300.95
2018-06-21,454.85,608.2,1304.65,401.8
2018-06-22,387.85,603.83,1198.77,461.1
2018-06-23,375.0,751.35,1326.45,495.45
2018-06-24,139.1,572.55,785.8,495.6
2018-06-25,343.6,950.05,1476.5,515.35
2018-06-26,300.25,860.25,1320.8,543.05
2018-06-27,180.2,482.6,759.0,481.6
2018-06-28,188.9,487.75,777.35,554.25
2018-06-29,186.55,528.2,814.5,466.22
2018-06-30,118.2,383.85,565.05,461.35
2018-07-01,109.35,574.05,741.7,584.15
2018-07-02,175.55,545.15,814.3,510.35
2018-07-03,101.05,369.6,524.4,416.75
2018-07-04,283.15,782.3,1212.35,572.55
2018-07-05,581.6,1304.7,2194.45,815.0
2018-07-06,289.2,997.05,1440.8,732.45
2018-07-07,344.6,986.35,1514.75,774.45
2018-07-08,126.3,667.9,861.55,504.6
2018-07-09,336.65,832.1,1341.55,509.5
2018-07-10,177.65,374.6,647.2,383.8
2018-07-11,170.1,446.5,707.35,423.8
2018-07-12,189.25,628.3,918.45,522.95
2018-07-13,193.25,648.45,944.9,493.15
2018-07-14,315.2,858.0,1330.95,470.4
2018-07-15,301.9,1013.5,1476.65,456.75
2018-07-16,528.8,1068.05,1878.85,455.35
2018-07-17,536.85,759.2,1582.25,367.6
2018-07-18,499.7,986.65,1752.85,379.8
2018-07-19,583.0,1225.0,2118.2,509.3
2018-07-20,622.98,1252.6,2207.5,542.9
2018-07-21,338.35,913.65,1431.9,575.45
2018-07-22,310.95,802.3,1279.1,453.55
2018-07-23,587.1,955.15,1855.55,468.9
2018-07-24,492.7,852.45,1607.9,470.0
2018-07-25,363.4,856.3,1413.3,500.75
2018-07-26,427.7,1054.6,1710.3,737.55
2018-07-27,544.3,1097.6,1932.1,661.8
2018-07-28,281.3,388.95,820.15,455.15
2018-07-29,359.45,366.35,917.1,268.95
2018-07-30,576.18,530.28,1413.6,257.42
2018-07-31,553.3,666.7,1515.35,324.7
2018-08-01,610.45,805.0,1740.95,389.7
2018-08-02,542.1,930.95,1762.15,441.55
2018-08-03,481.8,937.85,1676.55,472.85
2018-08-04,163.5,440.65,691.25,306.75
2018-08-05,149.45,574.85,804.05,342.25
2018-08-06,503.55,1169.9,1942.25,538.6
2018-08-07,575.75,1260.35,2142.85,557.38
2018-08-08,524.4,655.0,1458.65,326.6
2018-08-09,590.15,883.8,1788.8,326.2
2018-08-10,678.05,849.3,1888.95,303.3
2018-08-11,729.35,901.0,2019.3,324.6
2018-08-12,447.2,648.75,1334.85,293.7
2018-08-13,560.25,701.85,1561.4,354.22
2018-08-14,659.9,741.45,1753.45,355.25
2018-08-15,491.45,706.95,1459.95,372.35
2018-08-16,622.15,781.05,1735.1,365.3
2018-08-17,750.78,793.1,1944.13,374.45
2018-08-18,452.0,624.85,1318.2,348.25
2018-08-19,344.7,442.35,970.85,323.9
2018-08-20,679.05,776.45,1817.45,306.5
2018-08-21,638.7,866.25,1845.3,307.3
2018-08-22,695.65,889.1,1955.8,366.85
2018-08-23,558.75,640.45,1497.0,322.65
2018-08-24,601.0,641.1,1562.6,313.85
2018-08-25,544.0,720.5,1554.65,289.1
2018-08-26,637.45,780.25,1757.85,295.75
2018-08-27,369.75,534.4,1101.65,247.8
2018-08-28,675.1,935.0,1970.1,336.8
2018-08-29,613.87,984.38,1925.75,374.6
2018-08-30,349.85,689.75,1226.05,409.55
2018-08-31,374.8,931.5,1506.45,478.05
2018-09-01,728.75,1111.5,2228.7,547.0
2018-09-02,268.6,974.3,1386.25,560.2
2018-09-03,444.55,1185.4,1866.8,609.05
2018-09-04,172.35,596.55,860.85,459.0
2018-09-05,220.85,560.2,898.4,471.45
2018-09-06,569.3,793.8,1666.85,480.6
2018-09-07,653.7,850.6,1853.05,341.05
2018-09-08,528.25,888.65,1698.6,303.45
2018-09-09,303.1,577.55,1042.35,294.8
2018-09-10,482.4,704.92,1444.73,403.25
2018-09-11,482.6,622.1,1362.0,380.1
2018-09-12,525.95,689.7,1495.85,295.05
2018-09-13,1283.0,1101.4,3068.55,478.45
2018-09-14,625.15,1035.55,1994.2,342.7
2018-09-15,543.5,846.0,1679.6,390.15
2018-09-16,379.9,684.75,1267.15,369.0
2018-09-17,590.35,922.7,1828.1,406.75
2018-09-18,399.0,565.8,1177.45,414.5
2018-09-19,459.7,572.7,1277.6,497.4
2018-09-20,543.85,614.3,1448.55,512.35
2018-09-21,498.3,595.45,1359.7,295.25
2018-09-22,405.45,748.95,1370.45,304.8
2018-09-23,321.35,571.25,1064.2,202.1
2018-09-24,1342.67,956.47,3014.75,348.95
2018-09-25,2048.3,1368.05,4508.75,496.6
2018-09-26,918.85,1630.25,3039.0,544.9
2018-09-27,745.4,1377.55,2520.85,577.55
2018-09-28,260.6,580.3,979.8,362.35
2018-09-29,961.65,1262.05,2736.45,543.7
2018-09-30,621.85,900.8,1854.4,366.05
2018-10-01,619.65,801.75,1751.9,287.5
2018-10-02,592.1,679.25,1587.2,336.65
2018-10-03,1187.4,929.2,2749.7,388.05
2018-10-04,1009.2,898.1,2445.45,434.85
2018-10-05,956.8,1295.3,2762.1,673.15
2018-10-06,189.5,574.3,865.0,302.45
2018-10-07,375.2,728.45,1303.65,303.6
2018-10-08,626.85,1020.35,1981.55,305.75
2018-10-09,987.6,1244.9,2758.85,467.25
2018-10-10,882.55,1322.38,2675.28,1031.15
2018-10-11,714.7,830.25,1925.9,451.15
2018-10-12,615.25,673.65,1617.2,398.45
2018-10-13,518.7,625.8,1421.1,409.9
2018-10-14,130.2,411.25,611.0,129.75
2018-10-15,302.45,738.25,1202.35,270.65
2018-10-16,804.75,860.9,2094.6,527.15
2018-10-17,873.75,1076.4,2416.2,385.25
2018-10-18,326.7,751.8,1252.8,369.0
2018-10-19,1523.3,1254.4,3590.1,595.95
2018-10-20,2644.7,1453.0,5508.1,843.05
2018-10-21,797.65,983.65,2206.7,497.5
2018-10-22,610.05,833.55,1768.8,406.6
2018-10-23,958.0,981.55,2450.45,434.7
2018-10-24,759.0,874.98,2038.48,449.1
2018-10-25,882.35,977.75,2330.7,464.5
2018-10-26,677.35,873.6,1912.15,298.55
2018-10-27,283.8,507.1,942.3,172.15
2018-10-28,179.95,468.1,744.0,181.75
2018-10-29,286.4,665.3,1104.45,234.05
2018-10-30,773.9,806.1,1992.9,345.25
2018-10-31,1566.85,1262.8,3665.3,524.5
2018-11-01,1153.75,1203.6,2972.85,400.6
2018-11-02,2100.5,1423.1,4643.7,619.75
2018-11-03,931.9,1192.9,2621.75,493.1
2018-11-04,530.75,875.1,1688.85,629.85
2018-11-05,1455.3,988.25,3219.95,1177.45
2018-11-06,1989.95,911.1,3962.5,820.5
2018-11-07,747.0,741.35,1886.75,306.35
2018-11-08,773.3,921.8,2107.7,464.3
2018-11-09,920.1,919.7,2330.6,447.3
2018-11-10,819.05,984.25,2240.4,381.05
2018-11-11,672.4,849.75,1880.9,285.9
2018-11-12,1052.55,1171.65,2785.25,389.25
2018-11-13,797.35,1045.6,2267.85,417.1
2018-11-14,1224.55,1142.05,3019.25,517.05
2018-11-15,1234.15,1055.35,2947.6,670.0
2018-11-16,626.25,762.25,1722.6,387.75
2018-11-17,464.85,881.05,1593.8,623.25
2018-11-18,258.7,688.4,1084.7,492.1
2018-11-19,251.85,480.2,866.25,255.45
2018-11-20,400.35,692.82,1306.82,333.92
2018-11-21,1099.75,1034.75,2720.8,574.4
2018-11-22,2104.75,1205.15,4432.05,1124.35
2018-11-23,921.0,1098.9,2510.8,926.5
2018-11-24,395.9,892.4,1499.35,675.05
2018-11-25,238.6,603.0,969.1,487.95
2018-11-26,484.15,783.25,1525.8,368.5
2018-11-27,942.3,1071.9,2517.05,455.55
2018-11-28,821.75,1011.6,2271.55,337.2
2018-11-29,640.05,740.2,1721.5,349.85
2018-11-30,766.35,1038.9,2213.8,400.4
2018-12-01,624.65,868.1,1825.9,273.1
2018-12-02,388.85,561.9,1158.05,162.3
2018-12-03,570.0,780.35,1654.3,361.0
2018-12-04,1762.3,1427.0,4129.2,486.7
2018-12-05,1021.45,1133.2,2699.2,352.45
2018-12-06,617.55,855.75,1802.58,284.15
2018-12-07,538.35,699.55,1524.95,288.0
2018-12-08,416.35,548.35,1187.05,386.7
2018-12-09,321.25,526.6,1019.6,237.6
2018-12-10,989.6,1170.0,2687.65,408.05
2018-12-11,2689.0,1573.15,5696.45,843.2
2018-12-12,431.65,1031.15,1693.1,506.5
2018-12-13,760.1,1103.55,2268.6,541.35
2018-12-14,1319.65,1209.65,3233.1,679.0
2018-12-15,388.3,719.15,1314.8,507.9
2018-12-16,740.0,1127.9,2262.75,317.35
2018-12-17,1092.15,1240.25,2915.45,399.9
2018-12-18,673.9,738.55,1771.6,413.65
2018-12-19,1065.05,1245.25,2878.52,292.23
2018-12-20,756.95,1029.8,2190.25,343.4
2018-12-21,479.15,738.05,1472.75,478.83
2018-12-22,647.45,972.25,1965.25,393.35
2018-12-23,394.95,757.3,1362.55,228.3
2018-12-24,1787.4,1189.65,3927.7,601.7
2018-12-25,2358.3,1320.6,4936.6,640.85
2018-12-26,852.35,1118.55,2425.6,430.7
2018-12-27,3821.6,1477.4,7336.95,1019.7
2018-12-28,2562.05,1282.6,5211.25,783.65
2018-12-29,628.95,943.0,1907.55,390.5
2018-12-30,622.9,894.95,1850.15,302.55
2018-12-31,442.5,624.6,1302.95,243.5
2019-01-01,257.85,596.8,992.25,329.6
2019-01-02,273.95,794.5,1214.25,361.95
2019-01-03,349.45,1027.25,1563.25,482.95
2019-01-04,702.7,1108.45,2186.1,762.5
2019-01-05,538.7,956.3,1782.05,576.15
2019-01-06,526.8,1009.5,1817.2,576.5
2019-01-07,570.6,923.35,1798.45,444.5
2019-01-08,605.5,822.15,1750.3,493.6
2019-01-09,462.2,848.55,1557.2,381.6
2019-01-10,1110.15,1252.75,2955.0,855.1
2019-01-11,691.1,1144.1,2203.65,547.8
2019-01-12,446.8,857.15,1542.05,311.0
2019-01-13,192.65,439.35,734.3,303.65
2019-01-14,612.95,939.15,1878.8,442.25
2019-01-15,728.2,1205.5,2322.0,343.55
2019-01-16,721.2,1030.75,2136.5,286.95
2019-01-17,700.1,1076.05,2149.5,342.2
2019-01-18,1420.15,1371.8,3549.55,578.1
2019-01-19,303.85,941.05,1406.75,532.5
2019-01-20,719.6,1199.95,2303.4,745.2
2019-01-21,2202.4,1355.1,4731.92,991.15
2019-01-22,871.15,1265.5,2601.6,366.35
2019-01-23,1054.95,1113.05,2730.35,440.65
2019-01-24,2531.7,1727.75,5610.15,796.35
2019-01-25,1191.0,1330.7,3156.9,484.2
2019-01-26,527.85,758.45,1567.9,299.05
2019-01-27,240.25,353.95,722.25,320.05
2019-01-28,1016.5,1071.4,2630.05,466.2
2019-01-29,1321.35,1514.1,3540.0,509.2
2019-01-30,1269.1,1284.3,3230.62,425.9
2019-01-31,2556.9,1458.5,5379.25,682.4
2019-02-01,294.15,733.1,1184.25,326.65
2019-02-02,423.1,643.05,1291.55,358.95
2019-02-03,768.55,1101.9,2280.15,467.65
2019-02-04,1051.3,1117.2,2729.1,346.85
2019-02-05,1217.3,1218.65,3084.8,380.6
2019-02-06,875.7,1120.6,2463.55,366.4
2019-02-07,449.25,713.65,1402.55,324.2
2019-02-08,519.95,746.1,1543.25,340.85
2019-02-09,408.15,591.65,1217.75,391.2
2019-02-10,347.0,716.05,1247.75,175.9
2019-02-11,709.65,1150.2,2238.35,324.25
2019-02-12,955.9,1349.05,2814.75,483.75
2019-02-13,983.55,1278.5,2784.5,608.23
2019-02-14,2176.05,1693.7,5029.9,967.25
2019-02-15,2602.75,1836.2,5827.05,1107.2
2019-02-16,623.15,1249.1,2204.4,782.9
2019-02-17,598.95,1005.25,1923.85,781.6
2019-02-18,644.35,1066.15,2054.15,471.2
2019-02-19,653.65,1047.0,2048.8,470.75
2019-02-20,681.6,945.75,1990.75,451.7
2019-02-21,714.9,1086.65,2183.2,585.45
2019-02-22,1050.65,1380.75,2991.65,830.5
2019-02-23,920.0,1235.1,2645.95,901.35
2019-02-24,1227.5,1429.45,3311.55,1106.3
2019-02-25,1756.5,1848.7,4541.9,1181.9
2019-02-26,2123.2,2098.8,5354.7,1399.25
2019-02-27,2108.12,2048.85,5281.15,1572.45
2019-02-28,557.6,1167.7,2022.3,810.75
2019-03-01,632.0,975.9,1945.25,753.65
2019-03-02,387.3,673.9,1267.65,459.1
2019-03-03,208.8,464.25,784.45,294.15
2019-03-04,422.7,683.9,1331.9,258.1
2019-03-05,526.8,792.4,1600.4,325.1
2019-03-06,618.5,761.15,1709.65,400.95
2019-03-07,349.35,555.0,1090.95,222.9
2019-03-08,731.5,947.85,2069.35,312.85
2019-03-09,337.1,625.8,1142.85,484.5
2019-03-10,247.0,515.65,894.45,195.45
2019-03-11,461.8,666.7,1374.65,368.5
2019-03-12,471.9,720.15,1443.9,272.6
2019-03-13,316.45,503.15,988.5,402.7
2019-03-14,373.48,631.78,1204.73,327.27
2019-03-15,321.65,498.35,991.9,215.15
2019-03-16,238.2,408.15,773.45,312.3
2019-03-17,265.7,523.05,930.7,172.6
2019-03-18,647.9,1103.75,2097.0,424.35
2019-03-19,768.98,1193.35,2372.28,464.5
2019-03-20,659.65,828.95,1840.45,363.81
2019-03-21,697.7,738.85,1808.5,440.5
2019-03-22,678.8,767.55,1808.5,482.59
2019-03-23,247.2,640.05,1019.2,551.38
2019-03-24,286.55,762.6,1201.85,575.77
