MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-04-03,189.9,944.6,1235.8,339.0
2019-04-04,99.35,511.85,664.3,287.0
2019-04-05,75.3,502.8,618.3,396.5
2019-04-06,111.35,533.0,703.45,395.5
2019-04-07,151.45,581.7,813.6,972.0
2019-04-08,330.1,1092.55,1598.95,1025.0
2019-04-09,188.28,708.77,997.32,851.5
2019-04-10,120.3,443.6,628.35,473.0
2019-04-11,127.8,571.6,767.7,397.5
2019-04-12,132.75,626.15,830.0,379.5
2019-04-13,122.4,645.3,832.55,375.0
2019-04-14,89.75,548.05,685.5,508.0
2019-04-15,185.95,842.7,1127.8,870.0
2019-04-16,378.15,1302.8,1882.6,1182.68
2019-04-17,252.0,998.95,1385.25,1232.97
2019-04-18,215.75,966.6,1297.65,1138.42
2019-04-19,133.6,1031.7,1236.35,1003.36
2019-04-20,86.1,835.15,967.0,960.81
2019-04-21,72.95,949.2,1061.05,998.76
2019-04-22,83.3,1110.15,1237.95,1120.71
2019-04-23,175.7,1140.5,1409.75,926.79
2019-04-24,232.5,891.4,1247.85,838.0
2019-04-25,72.0,373.5,484.2,300.0
2019-04-26,97.85,472.85,622.75,379.0
2019-04-27,34.8,263.15,316.35,376.0
2019-04-28,85.15,478.15,608.55,299.5
2019-04-29,154.7,786.0,1023.25,431.5
2019-04-30,139.45,828.95,1042.65,514.0
2019-05-01,172.85,875.25,1140.35,528.5
2019-05-02,96.45,656.45,804.2,345.5
2019-05-03,193.55,807.4,1104.45,319.0
2019-05-04,109.9,408.75,576.95,342.0
2019-05-05,66.45,457.8,559.95,408.0
2019-05-06,57.3,454.45,542.35,239.5
2019-05-07,102.05,562.35,718.6,411.5
2019-05-08,83.5,583.5,711.45,347.0
2019-05-09,243.9,834.45,1208.45,421.5
2019-05-10,133.2,725.1,929.3,325.0
2019-05-11,124.4,798.75,989.3,402.5
2019-05-12,131.05,626.0,827.15,281.0
2019-05-13,112.25,597.55,769.5,310.0
2019-05-14,112.05,490.6,662.45,312.0
2019-05-15,128.05,631.25,827.85,543.0
2019-05-16,124.9,528.45,719.85,459.0
2019-05-17,163.25,702.75,952.95,444.0
2019-05-18,113.1,735.15,909.0,413.5
2019-05-19,158.85,718.25,962.0,481.0
2019-05-20,125.5,752.15,944.35,455.0
2019-05-21,101.45,639.4,794.85,404.0
2019-05-22,86.15,611.2,742.8,322.5
2019-05-23,78.1,594.05,713.7,322.5
2019-05-24,99.35,655.6,807.75,411.0
2019-05-25,52.75,376.7,457.7,221.5
2019-05-26,58.4,317.0,406.95,229.5
2019-05-27,48.95,291.95,366.85,265.5
2019-05-28,113.07,405.94,579.01,227.75
2019-05-29,107.38,472.36,636.99,304.5
2019-05-30,93.58,303.63,446.88,328.75
2019-05-31,95.15,369.77,515.6,216.25
2019-06-01,100.8,466.1,620.7,259.5
2019-06-02,45.55,352.4,422.25,338.0
2019-06-03,66.0,325.2,426.25,405.5
2019-06-04,151.0,671.65,903.5,394.0
2019-06-05,82.15,422.25,548.25,296.0
2019-06-06,110.25,431.6,600.7,298.0
2019-06-07,103.43,704.88,863.47,327.5
2019-06-08,45.25,270.0,339.1,261.0
2019-06-09,53.55,388.0,470.25,232.5
2019-06-10,128.9,627.65,825.35,218.0
2019-06-11,128.95,439.45,637.1,203.5
2019-06-12,142.75,698.95,917.85,177.5
2019-06-13,76.0,444.3,560.5,246.0
2019-06-14,78.85,378.95,500.0,276.5
2019-06-15,54.55,352.65,436.3,234.5
2019-06-16,45.45,257.45,327.0,221.5
2019-06-17,75.2,370.55,485.35,292.0
2019-06-18,175.4,831.5,1100.85,351.5
2019-06-19,122.15,746.15,933.35,419.0
2019-06-20,75.9,453.65,570.05,279.5
2019-06-21,83.65,495.5,623.8,303.0
2019-06-22,61.3,439.95,533.95,297.5
2019-06-23,76.25,525.75,642.75,565.0
2019-06-24,179.75,875.9,1151.25,660.0
2019-06-25,126.4,672.7,866.6,442.0
2019-06-26,86.7,328.9,461.55,320.0
2019-06-27,91.65,283.35,423.9,390.5
2019-06-28,79.8,322.5,444.8,574.0
2019-06-29,179.3,676.15,951.15,638.0
