MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-12,109.3,658.7,825.95,427.81
2018-05-13,207.0,734.1,1051.53,481.51
2018-05-14,188.55,557.99,847.08,395.21
2018-05-15,143.95,566.19,786.68,424.91
2018-05-16,164.95,459.0,712.5,482.11
2018-05-17,159.97,357.14,602.82,479.07
2018-05-18,199.54,504.81,811.21,485.61
2018-05-19,190.03,590.17,881.79,586.0
2018-05-20,162.56,569.48,818.78,735.0
2018-05-21,228.54,822.59,1173.06,693.5
2018-05-22,222.68,746.41,1087.7,695.5
2018-05-23,233.26,802.07,1159.38,640.0
2018-05-24,231.4,873.65,1228.31,705.0
2018-05-25,204.0,884.1,1196.75,653.5
2018-05-26,60.5,422.0,514.45,858.5
2018-05-27,72.1,654.85,765.55,966.5
2018-05-28,81.5,517.5,642.5,959.5
2018-05-29,113.45,509.7,684.0,504.25
2018-05-30,176.45,705.1,975.3,510.0
2018-05-31,111.05,720.15,890.55,726.0
2018-06-01,107.45,663.6,828.5,557.5
2018-06-02,60.5,483.1,575.8,288.0
2018-06-03,76.05,503.45,620.3,673.5
2018-06-04,101.1,471.3,626.3,356.5
2018-06-05,99.65,384.15,536.7,381.0
2018-06-06,106.95,402.2,566.0,670.5
2018-06-07,106.45,438.98,602.3,491.5
2018-06-08,99.5,373.75,526.1,457.0
2018-06-09,65.7,322.5,423.3,418.5
2018-06-10,53.35,250.8,332.75,411.0
2018-06-11,101.75,327.8,484.0,337.5
2018-06-12,128.4,469.2,666.15,323.5
2018-06-13,182.7,589.95,870.5,399.0
2018-06-14,88.2,439.35,574.7,498.0
2018-06-15,99.6,596.3,748.85,420.5
2018-06-16,54.5,306.2,389.55,317.5
2018-06-17,42.55,215.75,280.8,239.0
2018-06-18,70.32,314.25,421.85,326.0
2018-06-19,115.57,317.48,494.45,222.5
2018-06-20,141.7,315.75,532.85,273.5
2018-06-21,111.85,367.95,539.3,367.5
2018-06-22,133.85,458.6,663.9,388.0
2018-06-23,102.5,543.15,700.4,391.5
2018-06-24,66.3,502.6,604.2,483.5
2018-06-25,90.75,744.9,883.95,490.5
2018-06-26,141.9,605.1,822.85,464.5
2018-06-27,92.3,339.55,481.2,447.0
2018-06-28,84.0,377.15,506.05,490.0
