MeasurementDateGMT,Enfield - Prince of Wales School: Nitric Oxide (ug/m3),Enfield - Prince of Wales School: Nitrogen Dioxide (ug/m3),Enfield - Prince of Wales School: Oxides of Nitrogen (ug/m3)
2019-01-06,291.2,675.3,1121.3
2019-01-07,92.70000000000002,534.3000000000001,676.6000000000001
2019-01-08,56.300000000000004,533.8,620.4
2019-01-09,94.6,683.0999999999999,828.0
2019-01-10,454.90000000000003,1092.8999999999999,1791.0
2019-01-11,150.8,871.4,1102.9000000000003
2019-01-12,13.8,340.59999999999997,361.70000000000005
2019-01-13,4.8999999999999995,153.5,160.70000000000002
2019-01-14,48.10000000000001,552.2,625.9999999999999
2019-01-15,121.5,864.3000000000001,1050.3999999999999
2019-01-16,127.5,659.1,854.8000000000002
2019-01-17,215.95,816.35,1147.5500000000002
2019-01-18,1301.5999999999995,1115.6000000000001,3111.4999999999995
2019-01-19,180.10000000000002,625.9000000000001,902.2
2019-01-20,1534.2,997.8,3349.8999999999996
2019-01-21,2815.1,1194.1999999999998,5510.8
2019-01-22,357.09999999999997,833.6,1381.2999999999997
2019-01-23,521.7,895.1000000000001,1694.6
2019-01-24,2525.8,1301.0,5174.1
2019-01-25,498.8000000000001,876.1999999999999,1641.4999999999998
2019-01-26,22.5,442.70000000000005,477.4
2019-01-27,11.900000000000004,191.39999999999998,209.39999999999992
2019-01-28,705.9000000000001,804.6999999999999,1887.1000000000004
2019-01-29,1506.2,1327.1000000000006,3637.0000000000005
2019-01-30,1100.0,936.0999999999999,2622.9
2019-01-31,2758.2000000000003,1045.3999999999999,5274.500000000001
2019-02-01,64.00000000000001,557.5999999999999,655.3000000000001
2019-02-02,45.49999999999999,375.2,444.59999999999997
2019-02-03,295.0,837.4999999999999,1289.8
2019-02-04,451.80000000000007,919.1,1611.8
2019-02-05,1210.5,926.5999999999999,2783.1999999999985
2019-02-06,309.7,815.0000000000001,1289.4
2019-02-07,28.4,348.6,392.40000000000003
2019-02-08,58.99999999999999,452.8999999999999,543.3000000000001
2019-02-09,24.799999999999997,231.79999999999998,269.7
2019-02-10,30.299999999999997,309.5,355.59999999999997
2019-02-11,1032.0,977.6,2560.2999999999997
2019-02-12,1008.2,1030.3000000000002,2576.2
2019-02-13,460.59999999999997,1142.6000000000001,1848.9999999999995
2019-02-14,2331.7000000000003,1273.4,4848.799999999999
2019-02-15,2740.9,1408.3,5611.6
2019-02-16,471.30000000000007,1013.6000000000003,1736.3
2019-02-17,73.10000000000001,571.5,684.2000000000002
2019-02-18,93.6,901.8999999999999,1045.4
2019-02-19,100.00000000000001,578.9,732.6999999999998
2019-02-20,52.2,497.59999999999997,577.8
2019-02-21,131.60000000000002,738.1,939.5
2019-02-22,322.20000000000005,917.6000000000001,1411.6000000000001
2019-02-23,515.9,866.8000000000003,1657.8
2019-02-24,1357.6000000000001,929.6,3010.9999999999995
2019-02-25,2147.2999999999997,1325.0999999999997,4617.8
2019-02-26,2302.7,1543.1,5073.999999999999
2019-02-27,3302.1000000000004,1692.8,6756.1
2019-02-28,949.5,727.3000000000001,2182.8
2019-03-01,113.09999999999998,678.3,851.3000000000001
2019-03-02,42.3,443.79999999999995,508.2
2019-03-03,24.5,256.09999999999997,293.90000000000003
2019-03-04,33.2,255.29999999999998,306.7
2019-03-05,69.6,521.2,627.6999999999999
2019-03-06,139.80000000000004,612.7,826.6999999999998
2019-03-07,27.2,209.10000000000002,250.29999999999998
2019-03-08,83.1,447.1000000000001,574.2000000000002
2019-03-09,27.600000000000005,207.70000000000005,250.20000000000002
2019-03-10,27.7,176.5,218.8
2019-03-11,38.00000000000001,251.40000000000003,309.3
2019-03-12,67.4,452.20000000000005,555.3000000000001
2019-03-13,29.1,117.5,162.10000000000002
2019-03-14,31.1,206.5,254.1
2019-03-15,26.899999999999995,158.9,200.19999999999996
2019-03-16,22.700000000000003,136.20000000000002,171.1
2019-03-17,28.7,162.1,206.20000000000002
2019-03-18,433.2,492.8,1157.1
2019-03-19,538.9000000000001,839.1,1665.6000000000004
2019-03-20,39.09999999999999,419.09999999999997,478.69999999999993
2019-03-21,161.4,487.8000000000001,735.1999999999999
2019-03-22,95.9,556.5,703.6
2019-03-23,103.80000000000001,572.0000000000001,731.6
2019-03-24,274.1000000000001,468.5,889.2
2019-03-25,368.20000000000005,570.4,1134.7
2019-03-26,1479.7000000000003,930.4,3199.2999999999997
2019-03-27,790.4,980.0,2191.7999999999997
2019-03-28,317.2000000000001,941.3,1427.7000000000003
2019-03-29,1155.4000000000003,1148.8999999999999,2920.400000000001
2019-03-30,666.7,804.9999999999999,1827.4
2019-03-31,23.3,333.9,369.99999999999994
2019-04-01,71.20000000000002,559.5,668.7
2019-04-02,465.8999999999999,783.0,1496.8999999999996
2019-04-03,278.40000000000003,763.6999999999999,1190.6
2019-04-04,89.39999999999999,521.4000000000001,658.2999999999998
2019-04-05,64.05000000000001,455.75,553.7499999999999
2019-04-06,22.799999999999997,351.5,386.4
2019-04-07,26.699999999999996,325.8,366.40000000000003
2019-04-08,337.7,591.8,1109.7
2019-04-09,51.89999999999999,548.6,628.6000000000001
2019-04-10,34.199999999999996,463.7,516.3
2019-04-11,69.6,732.4,838.7000000000002
2019-04-12,98.59999999999997,834.0999999999999,985.3999999999997
2019-04-13,31.3,585.0,633.1
2019-04-14,31.599999999999998,635.6999999999999,684.5
2019-04-15,102.80000000000003,819.8000000000001,977.1
2019-04-16,203.95,1076.2,1388.4999999999998
2019-04-17,161.79999999999998,728.3000000000001,977.0000000000001
2019-04-18,134.39999999999995,876.0000000000001,1082.3
2019-04-19,130.3,908.0,1107.5
2019-04-20,111.7,773.0999999999999,944.5
2019-04-21,98.7,791.4999999999999,942.9999999999999
2019-04-22,81.2,1040.0,1164.4999999999998
2019-04-23,182.7,1149.8000000000002,1430.1000000000001
2019-04-24,147.80000000000004,764.5999999999999,991.1999999999999
2019-04-25,67.19999999999999,535.5,638.3000000000001
2019-04-26,94.29999999999998,560.6,705.4000000000001
2019-04-27,19.700000000000003,105.59999999999998,136.00000000000003
2019-04-28,32.699999999999996,262.00000000000006,312.20000000000005
2019-04-29,287.59999999999997,636.6999999999999,1077.2
2019-04-30,191.0,605.4999999999999,898.4999999999997
2019-05-01,154.19999999999996,622.4,858.1999999999998
2019-05-02,49.4,425.1000000000001,500.90000000000003
2019-05-03,140.7,514.9000000000001,730.5999999999999
2019-05-04,38.00000000000001,209.5,267.8
2019-05-05,28.7,264.40000000000003,308.5
2019-05-06,43.4,255.89999999999998,322.79999999999995
2019-05-07,100.59999999999995,720.4,874.2
2019-05-08,112.99999999999999,543.7,717.1
2019-05-09,314.30000000000007,455.2,937.1999999999998
2019-05-10,99.39999999999998,479.5999999999999,631.9999999999999
2019-05-11,63.79999999999999,458.9,556.6999999999999
2019-05-12,292.00000000000006,419.6,867.3
2019-05-13,215.3444444444444,521.8777777777779,850.788888888889
2019-05-14,55.95555555555556,390.62222222222226,476.2111111111111
2019-05-15,67.39999999999998,553.9000000000001,657.4
2019-05-16,64.29999999999998,513.1,611.7
2019-05-17,56.20000000000001,422.6,508.1000000000001
2019-05-18,142.4,495.7,714.4
2019-05-19,148.1,445.09999999999997,672.6999999999999
2019-05-20,192.10000000000002,573.4,867.9000000000001
2019-05-21,176.5,502.90000000000003,773.8000000000002
2019-05-22,180.4,699.8000000000002,976.5999999999999
2019-05-23,89.7,710.8,848.2000000000002
2019-05-24,72.89999999999999,494.7000000000001,606.4
2019-05-25,31.90000000000001,195.79999999999998,244.39999999999998
2019-05-26,36.9,176.30000000000004,233.00000000000003
2019-05-27,37.5,161.99999999999997,219.29999999999998
2019-05-28,48.3,288.29999999999995,362.8
2019-05-29,98.39999999999999,564.4,715.2
2019-05-30,34.6,154.39999999999998,207.3
2019-05-31,58.400000000000006,315.09999999999997,404.59999999999997
