MeasurementDateGMT,Sutton - Wallington: Nitric Oxide (ug/m3),Sutton - Wallington: Nitrogen Dioxide (ug/m3),Sutton - Wallington: Oxides of Nitrogen (ug/m3),Sutton - Wallington: PM10 Particulate (ug/m3)
2018-03-14,257.09999999999997,573.3000000000001,967.5,489.0
2018-03-15,438.4,897.4999999999999,1570.2000000000003,483.0
2018-03-16,925.7,1193.7,2613.0999999999995,931.0
2018-03-17,248.3,611.0999999999999,991.9999999999998,563.0
2018-03-18,268.00000000000006,681.9,1092.1999999999998,698.0
2018-03-19,384.7,775.9999999999999,1366.1000000000001,569.0
2018-03-20,717.4000000000001,1159.6999999999998,2259.4999999999995,454.0
2018-03-21,2054.7999999999993,1877.55,5028.45,642.0
2018-03-22,1334.4000000000003,1293.7,3339.800000000001,742.0
2018-03-23,685.0,985.4000000000001,2035.9000000000003,688.0
2018-03-24,870.5,1145.6,2480.2000000000003,961.0
2018-03-25,627.4999999999999,1226.8,2188.7,1122.0
2018-03-26,2304.0999999999995,2160.1,5692.9,910.0
2018-03-27,1074.2,1188.1999999999998,2835.4,530.0
2018-03-28,1944.0,1695.1999999999998,4676.500000000002,347.0
2018-03-29,731.5999999999999,1117.4,2239.2000000000003,293.0
2018-03-30,700.1000000000001,1055.6000000000001,2129.1,245.0
2018-03-31,1412.6000000000001,1242.8999999999999,3408.9000000000005,299.0
2018-04-01,901.5000000000001,1114.9,2497.1,428.0
2018-04-02,345.5,595.6999999999999,1124.7000000000003,314.0
2018-04-03,718.8,855.7000000000002,1958.2999999999997,528.0
2018-04-04,470.3500000000001,662.75,1384.0500000000002,522.5
2018-04-05,1223.2000000000003,1236.9999999999998,3111.999999999999,313.0
2018-04-06,333.49999999999994,804.8000000000001,1316.0,470.0
2018-04-07,531.4,964.8000000000002,1779.6,762.0
2018-04-08,878.6999999999999,1297.4,2644.4000000000005,549.0
2018-04-09,941.6999999999999,1251.8000000000002,2695.0999999999995,784.0
2018-04-10,1026.5,1468.3000000000002,3042.5,1006.0
2018-04-11,662.7000000000002,1211.8000000000002,2228.2000000000007,1482.0
2018-04-12,992.6,1276.5000000000002,2798.1000000000004,1235.0
2018-04-13,1534.2,1406.6999999999996,3759.3,910.0
2018-04-14,579.5999999999999,893.7,1782.7999999999997,953.0
2018-04-15,297.19999999999993,627.6,1083.3,722.0
2018-04-16,769.2,1071.8,2251.0,745.0
2018-04-17,525.6,854.6,1660.5000000000002,594.0
2018-04-18,595.9,1006.9,1921.1000000000004,555.0
2018-04-19,1437.1999999999998,1985.35,4188.900000000001,853.0
2018-04-20,1946.8000000000002,2105.4999999999995,5090.900000000001,959.0
2018-04-21,452.79999999999995,1175.5000000000002,1869.8,1105.0
2018-04-22,367.20000000000005,705.2,1267.8,775.0
2018-04-23,923.0999999999999,1023.8999999999997,2439.2000000000003,443.0
2018-04-24,840.5,824.9999999999998,2113.9000000000005,481.0
2018-04-25,770.6,949.1999999999999,2130.8,426.5
2018-04-26,811.8999999999999,1013.5,2258.4999999999995,781.0
2018-04-27,483.70000000000005,997.4999999999999,1738.9999999999998,606.0
2018-04-28,1380.8,1521.9,3639.3,520.0
2018-04-29,129.5,439.5,638.1999999999999,379.2
2018-04-30,1346.3999999999999,1417.8000000000002,3482.2999999999997,524.8
2018-05-01,1049.1999999999998,1112.1499999999999,2720.7500000000005,425.5
2018-05-02,978.4000000000001,1100.6000000000001,2600.7,441.5
2018-05-03,1601.3,1434.5,3890.0000000000005,692.0
2018-05-04,1366.0999999999995,1522.1999999999998,3616.7999999999997,773.0
2018-05-05,441.3,1207.3,1883.6000000000004,660.0
2018-05-06,308.2,1214.5,1686.8,985.0
2018-05-07,422.4,1392.6000000000001,2040.6,1025.0
2018-05-08,1244.7999999999997,1803.1999999999998,3711.4999999999995,974.0
2018-05-09,1284.9,1284.0999999999997,3254.0000000000005,705.0
2018-05-10,1346.9,1479.3000000000002,3544.3000000000006,517.0
2018-05-11,363.29999999999995,852.3000000000002,1409.6000000000001,533.0
2018-05-12,1150.3999999999999,1367.3999999999999,3131.0000000000005,653.0
2018-05-13,782.9000000000002,1183.3999999999996,2384.1,615.5
2018-05-14,1032.9,1263.9,2847.2999999999997,416.0
