MeasurementDateGMT,Bexley - Slade Green: Nitric Oxide (ug/m3),Bexley - Slade Green: Nitrogen Dioxide (ug/m3),Bexley - Slade Green: Oxides of Nitrogen (ug/m3),Bexley - Slade Green: Ozone (ug/m3),Bexley - Slade Green: PM10 Particulate (ug/m3),Bexley - Slade Green: Sulphur Dioxide (ug/m3)
2018-01-01,44.6,317.70000000000005,385.5999999999999,1507.6999999999998,222.1,247.39999999999995
2018-01-02,140.1,541.5999999999998,756.3000000000001,1166.2,398.8,205.7
2018-01-03,46.2,235.80000000000004,306.54999999999995,1727.0999999999997,545.0,293.1000000000001
2018-01-04,120.70000000000002,501.9,686.7,1395.5000000000002,312.1,305.8
2018-01-05,182.20000000000005,832.5,1111.9,1126.0000000000002,264.1,300.59999999999997
2018-01-06,561.3,801.5999999999999,1662.3000000000002,605.5,387.79999999999984,133.0
2018-01-07,43.19999999999999,179.79999999999998,246.1,1273.1000000000001,321.0,-81.00000000000001
2018-01-08,83.39999999999999,513.7,641.6,579.9999999999999,446.79999999999995,-30.799999999999997
2018-01-09,578.3999999999999,864.5999999999999,1751.1999999999996,118.9,741.9999999999999,130.2
2018-01-10,756.3000000000001,1080.0,2239.5,648.8000000000001,497.40000000000003,152.0
2018-01-11,1019.3,947.5000000000002,2510.2999999999997,52.599999999999994,579.5999999999999,38.4
2018-01-12,395.6,942.9999999999999,1549.6999999999996,346.3999999999999,620.6000000000001,-97.3
2018-01-13,79.59999999999998,598.6999999999999,720.3,651.8999999999999,585.4000000000001,-79.69999999999999
2018-01-14,108.1,713.5999999999999,879.3000000000001,530.5,669.7,-45.100000000000016
2018-01-15,85.90000000000002,415.0,546.3,1204.2,294.0,154.0
2018-01-16,65.1,374.1,473.6,1553.8999999999999,232.6,181.50000000000003
2018-01-17,102.20000000000002,426.19999999999993,583.2,1444.1,332.79999999999995,72.60000000000001
2018-01-18,80.30000000000001,501.8,626.4000000000001,1424.0999999999997,223.99999999999997,108.30000000000003
2018-01-19,126.0,657.0500000000001,849.2499999999999,1216.0999999999997,269.25,3.5499999999999994
2018-01-20,88.4,684.8999999999999,820.5999999999998,1150.3999999999999,207.09999999999997,50.8
2018-01-21,126.79999999999998,792.4,987.0000000000001,683.3,320.00000000000006,-43.70000000000002
2018-01-22,190.89999999999998,835.4999999999999,1128.6,952.0999999999999,331.6,-48.5
2018-01-23,90.90000000000002,374.29999999999995,513.6999999999999,1334.3999999999999,234.90000000000003,-95.3
2018-01-24,74.8,344.40000000000003,459.2,1545.5000000000002,206.29999999999998,-11.1
2018-01-25,132.50000000000003,545.5,748.9000000000001,1274.5000000000002,385.5999999999999,-21.599999999999998
2018-01-26,617.9,1184.3,2131.6,405.79999999999995,434.0,-30.4
2018-01-27,269.4999999999999,680.8000000000002,1094.1,844.8,329.4999999999999,-52.19999999999999
2018-01-28,29.799999999999994,184.40000000000003,230.29999999999998,1524.9999999999998,176.69999999999996,-66.89999999999999
2018-01-29,91.60000000000001,587.9999999999999,728.5,1274.1999999999998,206.20000000000002,-57.39999999999999
2018-01-30,918.7999999999997,1360.4,2768.8999999999996,552.3,402.40000000000003,-28.000000000000004
2018-01-31,67.40000000000002,385.40000000000003,488.69999999999993,1464.6000000000001,233.70000000000002,-24.599999999999998
2018-02-01,102.10000000000001,530.8,687.2000000000002,1163.7,247.9,-18.699999999999996
2018-02-02,228.89999999999995,788.4999999999999,1139.8999999999999,701.9000000000001,360.09999999999997,-12.899999999999999
2018-02-03,173.0,990.9000000000001,1256.3,459.30000000000007,319.2,-12.899999999999997
2018-02-04,37.4,309.29999999999995,366.3999999999999,1134.8000000000002,201.50000000000003,-35.10000000000001
