MeasurementDateGMT,Wandsworth - Battersea: Nitric Oxide (ug/m3),Wandsworth - Battersea: Nitrogen Dioxide (ug/m3),Wandsworth - Battersea: Oxides of Nitrogen (ug/m3),Wandsworth - Battersea: PM10 Particulate (ug/m3)
2018-01-01,234.89999999999998,546.6,906.5999999999999,295.2
2018-01-02,231.29999999999998,693.2,1048.2,447.79999999999995
2018-01-03,283.30000000000007,447.99999999999994,882.5999999999998,696.9000000000002
2018-01-04,412.40000000000003,823.5000000000001,1455.6999999999998,391.8
2018-01-05,566.5,1160.1999999999998,2028.4,463.79999999999995
2018-01-06,954.2,1366.1999999999998,2829.7000000000003,550.6
2018-01-07,391.40000000000003,702.8,1302.8,399.49999999999994
2018-01-08,682.0,968.3,2013.7,825.5
2018-01-09,678.3999999999997,1007.8000000000001,2048.2999999999997,825.7000000000002
2018-01-10,1216.8000000000002,1532.5000000000002,3397.9,746.3000000000001
2018-01-11,2077.2,1452.4499999999994,4636.999999999999,851.3000000000002
2018-01-12,513.2,994.8,1781.4,678.9
2018-01-13,222.39999999999998,738.5999999999999,1080.0999999999997,675.3
2018-01-14,375.90000000000003,979.4,1555.8000000000002,750.2
2018-01-15,250.4,714.8,1099.2,307.5
2018-01-16,316.7,820.0,1305.5999999999997,404.0999999999999
2018-01-17,352.0,766.1999999999999,1306.3,573.9
2018-01-18,336.50000000000006,826.3000000000001,1342.3,412.20000000000005
2018-01-19,483.6000000000001,1129.1000000000001,1870.7000000000003,512.9
2018-01-20,385.1000000000001,1225.6999999999998,1816.3000000000004,265.29999999999995
2018-01-21,301.90000000000003,965.8000000000001,1428.2,371.79999999999995
2018-01-22,637.0,1275.3999999999999,2252.3000000000006,604.5
2018-01-23,159.80000000000004,665.0000000000001,910.6,276.0
2018-01-24,230.89999999999998,627.1,980.9000000000001,221.60000000000005
2018-01-25,213.29999999999993,907.4000000000001,1234.1999999999998,503.1
2018-01-26,1112.4,1634.5,3339.7,865.3
2018-01-27,195.89999999999998,834.9999999999998,1134.9,419.9
2018-01-28,32.89999999999999,434.50000000000006,484.7000000000001,200.10000000000002
2018-01-29,262.6,924.5,1327.3,380.5
2018-01-30,826.2999999999998,1337.2000000000003,2604.5,622.3
2018-01-31,322.3,802.0000000000001,1296.3999999999999,303.80000000000007
2018-02-01,533.2,1022.5999999999999,1839.7999999999997,515.8000000000001
2018-02-02,880.8000000000001,1309.2,2659.8999999999996,806.8000000000003
2018-02-03,544.1,1264.0,2098.2000000000003,389.79999999999995
2018-02-04,380.8999999999999,697.3000000000001,1281.7999999999997,243.60000000000005
2018-02-05,621.4000000000001,1049.8,2002.3000000000002,574.0000000000001
