MeasurementDateGMT,Greenwich - Falconwood FDMS: PM2.5 Particulate (ug/m3)
2018-07-28,188.70000000000002
2018-07-29,159.34999999999997
2018-07-30,134.70000000000002
2018-07-31,180.14999999999998
2018-08-01,180.10000000000002
2018-08-02,225.2
2018-08-03,345.00000000000006
2018-08-04,258.59999999999997
2018-08-05,255.90000000000003
2018-08-06,295.29999999999995
2018-08-07,309.1
2018-08-08,154.00000000000003
2018-08-09,259.70000000000005
2018-08-10,145.1
2018-08-11,166.89999999999995
2018-08-12,169.59999999999997
2018-08-13,228.4
2018-08-14,188.99999999999997
2018-08-15,198.70000000000002
2018-08-16,207.70000000000005
2018-08-17,189.6
2018-08-18,208.3
2018-08-19,209.39999999999998
2018-08-20,223.29999999999998
2018-08-21,190.49999999999997
2018-08-22,251.60000000000005
2018-08-23,212.79999999999998
2018-08-24,152.4
2018-08-25,189.7
2018-08-26,205.6
2018-08-27,159.79999999999998
2018-08-28,215.80000000000004
2018-08-29,325.50000000000006
2018-08-30,320.6000000000001
2018-08-31,373.40000000000003
2018-09-01,333.4
2018-09-02,430.30000000000007
2018-09-03,456.20000000000005
2018-09-04,398.2
2018-09-05,298.7
2018-09-06,363.8
2018-09-07,173.5
2018-09-08,164.1
2018-09-09,186.90000000000003
2018-09-10,169.20000000000005
2018-09-11,195.99999999999997
2018-09-12,234.99999999999997
2018-09-13,270.50000000000006
2018-09-14,160.10000000000002
2018-09-15,198.00000000000003
2018-09-16,179.60000000000002
2018-09-17,211.30000000000004
2018-09-18,194.09999999999997
2018-09-19,209.99999999999997
2018-09-20,211.59999999999997
2018-09-21,130.79999999999998
2018-09-22,188.5
2018-09-23,181.89999999999998
2018-09-24,214.6
2018-09-25,242.50000000000003
2018-09-26,240.70000000000002
2018-09-27,313.20000000000005
2018-09-28,208.3
2018-09-29,282.1
2018-09-30,252.10000000000002
2018-10-01,182.50000000000003
2018-10-02,162.0
2018-10-03,196.50000000000003
2018-10-04,247.79999999999998
2018-10-05,390.0
2018-10-06,273.09999999999997
2018-10-07,204.5
2018-10-08,175.4
2018-10-09,273.00000000000006
2018-10-10,890.9
2018-10-11,233.50000000000003
2018-10-12,155.4
2018-10-13,192.90000000000003
2018-10-14,133.2
2018-10-15,310.1
2018-10-16,341.69999999999993
2018-10-17,275.4
2018-10-18,282.8
2018-10-19,367.00000000000006
2018-10-20,486.8
2018-10-21,336.1
2018-10-22,262.4
2018-10-23,260.4
2018-10-24,275.50000000000006
2018-10-25,319.8
2018-10-26,169.60000000000002
2018-10-27,135.49999999999997
2018-10-28,137.9
2018-10-29,157.99999999999997
2018-10-30,235.0
2018-10-31,336.5
2018-11-01,314.99999999999994
2018-11-02,330.90000000000003
2018-11-03,341.4
2018-11-04,484.8999999999999
2018-11-05,1015.8999999999999
2018-11-06,442.80000000000007
2018-11-07,129.4
2018-11-08,167.20000000000002
2018-11-09,201.3
2018-11-10,191.09999999999997
2018-11-11,145.9
2018-11-12,130.0
2018-11-13,146.3
2018-11-14,224.29999999999998
2018-11-15,462.49999999999994
2018-11-16,336.30000000000007
2018-11-17,529.6999999999999
2018-11-18,367.7999999999999
2018-11-19,181.0
2018-11-20,369.29999999999995
2018-11-21,583.6999999999999
2018-11-22,1057.7
2018-11-23,870.5000000000001
2018-11-24,614.8000000000001
2018-11-25,448.5000000000001
2018-11-26,336.5
2018-11-27,314.8
2018-11-28,126.39999999999998
2018-11-29,144.29999999999998
2018-11-30,146.4
2018-12-01,95.59999999999998
2018-12-02,97.39999999999999
2018-12-03,188.5
2018-12-04,274.0
2018-12-05,202.9
2018-12-06,131.9
2018-12-07,109.79999999999998
2018-12-08,157.4
2018-12-09,153.2
2018-12-10,212.8
2018-12-11,482.7999999999999
2018-12-12,360.90000000000003
2018-12-13,432.7000000000001
2018-12-14,567.7
2018-12-15,397.50000000000006
2018-12-16,145.59999999999997
2018-12-17,156.3
2018-12-18,158.99999999999997
2018-12-19,100.2
2018-12-20,128.70000000000002
2018-12-21,163.30000000000004
2018-12-22,173.29999999999998
2018-12-23,140.00000000000003
2018-12-24,401.80000000000007
2018-12-25,367.8
2018-12-26,313.0
