MeasurementDateGMT,Lewisham - New Cross: Nitric Oxide (ug/m3),Lewisham - New Cross: Nitrogen Dioxide (ug/m3),Lewisham - New Cross: Oxides of Nitrogen (ug/m3),Lewisham - New Cross: PM10 Particulate (ug/m3),Lewisham - New Cross: PM2.5 Particulate (ug/m3)
2018-01-01,768.4,1004.5000000000001,2183.0000000000005,263.94999999999993,439.20000000000016
2018-01-02,705.8,1064.2000000000003,2146.3000000000006,334.9,439.20000000000016
2018-01-03,1206.1,1236.6,3085.4,509.7499999999999,439.20000000000016
2018-01-04,1059.6,1297.1,2922.1000000000004,288.9,439.20000000000016
2018-01-05,1088.3000000000002,1313.6,2982.4999999999995,379.01666666666665,439.20000000000016
2018-01-06,2079.0,1645.9999999999993,4833.900000000001,548.6333333333333,439.20000000000016
2018-01-07,608.7,946.0999999999999,1879.0999999999997,369.35,439.20000000000016
2018-01-08,1348.2,1283.2000000000003,3350.5000000000005,564.3499999999999,439.20000000000016
2018-01-09,1248.3000000000002,1337.0,3251.2999999999997,764.4,439.20000000000016
2018-01-10,2776.7,1797.5999999999997,6055.3,591.05,439.20000000000016
2018-01-11,2989.5999999999995,1530.9,6114.8,756.7,439.20000000000016
2018-01-12,1183.8,1385.2,3199.8999999999996,640.7999999999998,439.20000000000016
2018-01-13,853.9000000000001,1155.6999999999998,2465.2000000000003,600.3000000000001,439.20000000000016
2018-01-14,903.3000000000001,1345.7000000000003,2730.6,714.8,439.20000000000016
2018-01-15,826.0000000000001,958.0999999999999,2224.4,316.34999999999997,439.20000000000016
2018-01-16,1462.1000000000001,1453.7,3695.3999999999996,284.35,439.20000000000016
2018-01-17,1308.5,1342.9,3349.1000000000004,411.9,439.20000000000016
2018-01-18,1665.1999999999998,1490.3,4043.5,220.0710280373832,439.20000000000016
2018-01-19,1984.9000000000003,1918.3999999999999,4962.0999999999985,363.8018691588785,439.20000000000016
2018-01-20,814.0999999999999,1429.8,2678.1,507.5327102803738,439.20000000000016
2018-01-21,1194.1999999999998,1547.0000000000002,3377.9,651.2635514018691,439.20000000000016
2018-01-22,2113.0,1765.8000000000004,5005.400000000001,689.1308411214953,439.20000000000016
2018-01-23,315.7,625.6999999999999,1109.6999999999998,287.1000000000001,439.20000000000016
2018-01-24,451.00000000000006,691.4,1382.6,282.40000000000003,439.20000000000016
2018-01-25,252.29999999999995,716.3,1103.3000000000002,411.75,439.20000000000016
2018-01-26,1594.1999999999998,1595.0,4039.8999999999996,726.0,439.20000000000016
2018-01-27,472.1,1059.5,1783.0,478.09999999999997,439.20000000000016
2018-01-28,814.1000000000001,1130.1000000000001,2378.4999999999995,290.6,439.20000000000016
2018-01-29,835.1999999999998,1145.2,2425.5,372.2,439.20000000000016
2018-01-30,1184.0000000000002,1515.3,3330.5,575.3,439.20000000000016
2018-01-31,1071.8,1252.1999999999998,2895.8,304.0999999999999,439.20000000000016
2018-02-01,982.2000000000002,1240.1000000000004,2746.4,492.34999999999997,439.20000000000016
2018-02-02,1306.3,1427.1999999999998,3430.5000000000005,697.9000000000002,439.20000000000016
2018-02-03,967.0000000000001,1583.2,3065.8999999999996,451.3000000000001,439.20000000000016
2018-02-04,580.9000000000001,963.5000000000001,1854.5000000000002,337.69999999999993,439.20000000000016
2018-02-05,1045.1,1374.8999999999999,2977.2000000000007,471.7,439.20000000000016
2018-02-06,1040.6,1448.8999999999999,3044.2000000000003,739.6,439.20000000000016
2018-02-07,1433.4,1727.5,3925.1000000000004,668.3000000000001,439.20000000000016
2018-02-08,740.6999999999999,1327.3999999999999,2462.7000000000007,431.3,439.20000000000016
2018-02-09,956.1,1263.1,2729.1,462.3,439.20000000000016
2018-02-10,433.7000000000001,1025.3000000000002,1690.4999999999998,353.8,439.20000000000016
2018-02-11,812.1,1130.3999999999999,2375.5,267.8,439.20000000000016
2018-02-12,1181.3,1419.8999999999999,3231.2000000000003,385.20000000000005,439.20000000000016
2018-02-13,473.6,826.8000000000001,1553.5,267.9,439.20000000000016
2018-02-14,445.09999999999997,889.9000000000001,1572.0000000000002,335.0999999999999,439.20000000000016
2018-02-15,1251.4999999999998,1407.0999999999997,3325.9,489.80000000000007,439.20000000000016
