MeasurementDateGMT,Westminster - Marylebone Road: Carbon Monoxide (mg/m3),Westminster - Marylebone Road: Nitric Oxide (ug/m3),Westminster - Marylebone Road: Nitrogen Dioxide (ug/m3),Westminster - Marylebone Road: Oxides of Nitrogen (ug/m3),Westminster - Marylebone Road: Ozone (ug/m3),Westminster - Marylebone Road: Sulphur Dioxide (ug/m3)
2018-05-08,8.499999999999998,3311.9999999999995,3268.9000000000005,8346.7,391.80000000000007,178.6
2018-05-09,9.7,4153.4,2949.6000000000004,9317.9,337.90000000000003,208.0
2018-05-10,10.700000000000001,1654.7,2108.9,4646.099999999999,785.9999999999999,95.70000000000003
2018-05-11,6.3999999999999995,2855.2,2569.6999999999994,6947.2,537.3,119.80000000000003
2018-05-12,7.500000000000001,3024.5,2651.0,7288.599999999999,371.9999999999999,154.8
2018-05-13,6.3500000000000005,1361.3999999999996,1861.1000000000001,3948.6000000000004,694.1,92.10000000000001
2018-05-14,4.400000000000001,600.7,1389.3,2310.4999999999995,1254.5000000000002,40.699999999999996
2018-05-15,6.749999999999999,552.6000000000001,1532.1999999999998,2379.5,1506.3999999999999,37.699999999999996
2018-05-16,5.8500000000000005,535.1500000000001,1256.2499999999998,2076.7999999999997,1164.9500000000003,25.05
2018-05-17,4.0,461.6,1251.8,1960.1999999999998,1183.8,20.4
2018-05-18,3.800000000000001,1023.1999999999998,1844.1,3413.3,819.6999999999999,54.199999999999996
2018-05-19,4.1000000000000005,1181.2,2015.2999999999997,3826.5999999999995,799.1999999999999,71.1
2018-05-20,5.749999999999999,1414.8000000000002,2215.3,4385.1,667.6999999999999,89.49999999999999
2018-05-21,8.7,877.9,2063.7999999999997,3410.1000000000004,845.7,67.7
2018-05-22,6.45,509.20000000000005,1413.7,2194.7999999999997,1479.1999999999998,41.699999999999996
2018-05-23,3.3000000000000016,504.8,1375.7000000000003,2150.1000000000004,1506.9,27.799999999999994
2018-05-24,6.499999999999999,2360.8000000000006,2069.6000000000004,5689.4,794.4,112.3
