MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2018-10-14,424.7,687.9,1338.8999999999996,997.3000000000003,181.40000000000003
2018-10-15,736.9999999999999,935.4000000000001,2065.1000000000004,484.7999999999999,355.9
2018-10-16,939.6999999999998,1076.2,2517.2000000000003,563.5000000000001,573.0
2018-10-17,1450.9,1407.2,3632.2,302.6000000000001,482.00000000000006
2018-10-18,574.6999999999999,836.7,1718.2000000000003,644.3,387.69999999999993
2018-10-19,1497.3000000000002,1359.1,3655.0000000000005,401.80000000000007,621.6999999999999
2018-10-20,3485.100000000001,1675.6000000000001,7019.4,203.60000000000002,872.1999999999999
2018-10-21,1329.5,1350.1,3388.700000000001,374.4,543.9000000000001
2018-10-22,1009.6999999999999,967.6,2515.9,765.2999999999997,434.2
2018-10-23,2125.5,1400.4999999999995,4659.6,207.70000000000002,569.4
2018-10-24,1843.0,1273.2,4098.6,267.90000000000003,527.6999999999999
2018-10-25,1914.1000000000004,1369.5,4305.1,383.80000000000007,396.03743016759773
2018-10-26,1893.9999999999998,1405.7,4309.699999999999,418.4,364.1094972067039
2018-10-27,686.0999999999997,697.6999999999998,1749.4999999999998,877.0999999999997,341.2625698324022
2018-10-28,233.39999999999995,568.9,926.4000000000001,1049.8999999999999,318.41564245810054
2018-10-29,425.99999999999994,760.5999999999999,1414.0,734.9999999999999,295.5687150837989
2018-10-30,1758.7,1019.7000000000002,3716.1,399.00000000000017,272.7217877094972
2018-10-31,1786.8999999999999,1346.7,4086.6,323.20000000000005,249.8748603351956
2018-11-01,2309.5999999999995,1420.5000000000002,4961.599999999999,143.99999999999997,353.6094972067039
2018-11-02,2882.9,1754.1000000000004,6174.0,151.59999999999997,757.3000000000001
2018-11-03,645.3000000000001,1160.0,2149.0,771.9000000000001,574.4
2018-11-04,575.4,1045.5,1927.6,645.1,654.1
2018-11-05,2355.3999999999996,1159.3999999999999,4770.9,100.20000000000005,1263.3000000000002
2018-11-06,993.4,956.4,2480.0000000000005,388.99999999999994,694.5000000000001
2018-11-07,623.2,872.9,1828.3999999999999,739.6000000000001,269.94482758620677
2018-11-08,625.0,1125.9,2084.0,756.5000000000001,269.71034482758625
2018-11-09,657.1999999999999,982.0000000000001,1989.2999999999997,660.3999999999999,273.68275862068964
2018-11-10,898.6999999999999,1319.3,2697.2000000000003,663.2999999999998,277.655172413793
2018-11-11,590.0000000000001,1067.7,1972.4999999999998,794.2,281.6275862068966
2018-11-12,909.1,1314.7999999999997,2709.2000000000003,582.9999999999999,285.59999999999997
