MeasurementDateGMT,Greenwich - Westhorne Avenue: Nitric Oxide (ug/m3),Greenwich - Westhorne Avenue: Nitrogen Dioxide (ug/m3),Greenwich - Westhorne Avenue: Oxides of Nitrogen (ug/m3),Greenwich - Westhorne Avenue: Ozone (ug/m3),Greenwich - Westhorne Avenue: PM10 Particulate (ug/m3),Greenwich - Westhorne Avenue: PM2.5 Particulate (ug/m3)
2018-01-01,45.0,453.8,522.8999999999999,1281.6000000000001,278.40000000000003,57.300000000000004
2018-01-02,291.3,711.9,1158.7,957.1,352.1,113.39999999999998
2018-01-03,5.000000000000001,271.40000000000003,278.5,1527.4999999999998,489.6,164.6
2018-01-04,279.10000000000014,633.5,1061.6999999999998,1183.5000000000002,292.70000000000005,92.0
2018-01-05,658.1,1105.6999999999998,2114.7,849.5,331.2,136.1
2018-01-06,793.0000000000001,1180.0,2395.8999999999996,307.8,488.99999999999994,289.2999999999999
2018-01-07,358.8,776.6,1327.0,753.8000000000001,383.70000000000005,77.7
2018-01-08,973.0999999999999,1009.1,2500.8,317.9999999999999,522.8000000000001,307.3
2018-01-09,1731.6000000000001,1213.6000000000001,3868.7999999999997,67.2,895.8000000000001,635.6999999999998
2018-01-10,1603.6,1288.6999999999998,3747.4999999999995,520.7000000000002,549.1000000000001,307.29999999999995
2018-01-11,1518.4000000000003,1108.3999999999999,3436.6,0.3000000000000007,701.1,531.7
2018-01-12,1443.1,1304.4,3516.7000000000007,229.0,728.8,498.3999999999999
2018-01-13,479.7,752.9,1489.0,548.5,702.3000000000002,487.59999999999985
2018-01-14,555.9000000000001,1083.1,1935.6,303.80000000000007,768.4000000000002,548.1999999999998
2018-01-15,188.99999999999997,504.2999999999999,793.9,954.0000000000001,257.4,87.7
2018-01-16,29.599999999999998,391.7,436.8,1338.1000000000001,213.29999999999998,59.29999999999999
2018-01-17,61.79999999999999,442.3,537.0,1282.3,293.59999999999997,68.60000000000001
2018-01-18,36.7,486.2000000000001,542.3,1253.5,225.70000000000002,57.699999999999996
2018-01-19,203.6,710.4,1022.6,1026.8,309.80000000000007,81.6
2018-01-20,708.3000000000002,1364.9999999999998,2450.8000000000006,680.1,343.40000000000003,139.70000000000002
2018-01-21,567.7,1095.1999999999998,1965.5999999999997,487.3,411.40000000000003,239.10000000000002
2018-01-22,125.19999999999997,760.1,952.0999999999997,837.0999999999999,345.4,120.6
2018-01-23,295.99999999999994,640.3999999999999,1094.0,1001.1999999999999,244.49999999999997,71.9
2018-01-24,206.30000000000004,529.3,845.3999999999999,1238.1,213.39999999999998,27.799999999999994
2018-01-25,535.9,942.6,1764.6,872.9,441.7,111.9
2018-01-26,1957.6999999999996,1630.8999999999999,4633.1,152.6,627.4000000000001,316.0
2018-01-27,586.1999999999999,883.4000000000001,1782.2000000000003,618.2,428.69999999999993,217.30000000000004
2018-01-28,60.99999999999999,210.4,304.20000000000005,1321.1000000000001,176.9,43.1
2018-01-29,110.8,532.9000000000001,702.9000000000001,1174.8,212.3,49.0
2018-01-30,1796.6999999999991,1428.0,4183.0,341.70000000000005,551.8,216.20000000000002
2018-01-31,101.95000000000002,420.55000000000007,576.7500000000001,1259.15,227.5,25.9
2018-02-01,122.2,592.6999999999998,779.8000000000001,968.9000000000001,286.0,57.199999999999996
2018-02-02,305.49999999999994,932.8,1401.0,539.5,396.1000000000001,130.7
2018-02-03,801.7,1399.6999999999998,2628.5,271.6,468.99999999999994,228.79999999999995
2018-02-04,250.9,619.4999999999999,1004.1,792.4000000000001,331.59999999999997,99.1
2018-02-05,839.1,1103.2,2389.9999999999995,529.0,500.6,189.1
2018-02-06,474.69999999999993,1077.6000000000001,1805.7999999999997,458.7,618.2,330.80000000000007
2018-02-07,1088.0,1366.1,3034.0,416.40000000000003,654.5999999999999,219.4
2018-02-08,1555.0999999999997,1398.4,3782.6,580.5,640.6999999999999,221.6
2018-02-09,118.10000000000001,659.5,840.9999999999999,1077.3,302.5,41.7
2018-02-10,775.9,1010.6999999999998,2200.3,771.0,357.19999999999993,93.59999999999998
2018-02-11,28.599999999999994,321.70000000000005,365.6,1406.5999999999995,205.69999999999996,8.8
2018-02-12,335.09999999999997,894.4999999999999,1407.8999999999999,944.9000000000002,377.1,94.75
2018-02-13,468.90000000000003,811.8000000000001,1531.1000000000001,1071.3000000000002,348.29999999999995,78.3
2018-02-14,796.1999999999998,876.9,2097.5999999999995,780.4000000000001,437.19999999999993,157.80000000000004
2018-02-15,76.2,596.9999999999999,713.8999999999999,1059.9,384.9,91.9
2018-02-16,1506.7,1441.1999999999998,3752.2999999999993,596.0999999999999,621.5,203.09999999999997
2018-02-17,1531.6999999999996,1588.7999999999997,3937.1,369.30000000000007,844.2999999999998,358.29999999999995
2018-02-18,1044.6999999999998,1233.8,2835.5999999999995,666.6,722.4,297.9
2018-02-19,470.6,1112.6000000000001,1834.0000000000002,307.3,541.4000000000001,275.5
2018-02-20,284.4,771.9999999999999,1208.0,592.5,348.80000000000007,135.89999999999998
2018-02-21,799.0999999999999,1251.3999999999999,2477.099999999999,431.29999999999995,1257.6000000000001,922.7000000000002
2018-02-22,1154.1,1568.5,3338.3,497.3,978.5999999999999,573.8
2018-02-23,1405.8999999999999,1565.6000000000001,3721.1000000000004,452.29999999999995,923.7,484.79999999999995
2018-02-24,835.0,1247.2,2527.5,601.8,964.4,516.5
2018-02-25,515.4,1042.1,1831.6,838.6999999999999,657.9000000000001,222.29999999999995
2018-02-26,730.3999999999999,1087.5999999999997,2207.1999999999994,926.1999999999999,623.5000000000001,143.2
2018-02-27,1492.1000000000001,1649.7,3937.7000000000003,621.4000000000002,597.9,216.29999999999998
2018-02-28,1299.1,1379.6,3370.8999999999996,667.0,801.6999999999999,407.80000000000007
2018-03-01,580.4,1028.2,1918.2999999999997,799.7,1129.1000000000001,673.35
2018-03-02,580.0,1105.6000000000004,1995.1,647.0999999999999,1283.2,915.2
2018-03-03,585.5,1271.1000000000001,2169.2,345.20000000000005,1950.4999999999998,1534.3000000000002
2018-03-04,457.0,958.9999999999998,1659.5,762.4,778.8999999999999,351.49999999999994
2018-03-05,553.3,916.0,1764.7000000000003,1034.3000000000002,512.6714285714288,169.49999999999997
2018-03-06,988.5999999999999,1314.8999999999999,2830.8,762.55,461.3785714285714,211.70000000000002
2018-03-07,606.4,1266.6999999999998,2196.7,647.1000000000001,452.90000000000003,250.29999999999998
2018-03-08,146.20000000000002,579.6999999999999,803.9,1302.4999999999998,238.1,67.0
2018-03-09,1618.7000000000005,1438.7000000000005,3920.6000000000004,461.80000000000007,572.7,247.89999999999998
2018-03-10,418.30000000000007,787.9,1429.6,790.4000000000001,511.19999999999993,224.70000000000002
2018-03-11,940.8999999999999,1537.6999999999998,2980.6,311.4999999999999,621.3,304.20000000000005
2018-03-12,624.2,1094.9000000000003,2051.9,478.0,281.90000000000003,145.9
2018-03-13,388.7,966.1999999999999,1562.3999999999999,695.0,341.80000000000007,199.69999999999996
2018-03-14,534.6999999999999,803.6999999999999,1623.5999999999997,1129.6999999999998,372.9,161.20000000000002
2018-03-15,700.3,1114.8999999999999,2189.3,1010.7000000000002,361.40000000000003,158.0
2018-03-16,744.7,1145.3,2287.2999999999997,968.1999999999998,574.8,211.39999999999998
2018-03-17,408.2,881.6999999999999,1507.7000000000003,836.6999999999999,518.3,279.0
2018-03-18,400.3,877.5999999999999,1491.1000000000001,1005.1,742.0,410.90000000000003
2018-03-19,665.3000000000001,1197.3000000000002,2218.1,1038.3999999999999,681.4,265.6000000000001
2018-03-20,291.9,1046.6,1494.2999999999997,1008.2000000000002,460.40000000000003,133.3
2018-03-21,1233.2,1221.8000000000002,3113.0000000000005,793.2,597.1,294.65
2018-03-22,77.70000000000002,511.70000000000005,630.9,1400.8000000000004,462.2,173.19999999999996
2018-03-23,278.90000000000003,673.3,1101.0,1523.8999999999999,441.8000000000001,117.40000000000002
2018-03-24,1026.1,1382.9999999999998,2956.5999999999995,427.3000000000001,908.0,590.3
