MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2018-02-07,562.4,1079.0000000000002,1941.6500000000003,515.0,290.0
2018-02-08,363.49999999999994,1032.5,1589.6000000000001,392.0,219.0
2018-02-09,264.20000000000005,930.8000000000001,1336.0000000000002,350.0,165.76923076923077
2018-02-10,140.10000000000002,773.5,988.1999999999999,294.0,237.23076923076923
2018-02-11,101.80000000000003,607.0,762.9999999999999,224.0,192.9230769230769
2018-02-12,231.89999999999998,925.3000000000001,1281.2,322.0,166.0769230769231
2018-02-13,138.9,590.0,803.1,281.0,159.0
2018-02-14,236.69999999999996,700.2000000000002,1063.1,345.0,238.0
2018-02-15,161.09999999999997,906.2999999999998,1153.7999999999997,390.0,194.5
2018-02-16,326.89999999999986,1080.1,1581.6,413.0,206.0
2018-02-17,609.8000000000001,1166.8000000000002,2101.8,573.0,385.0
2018-02-18,205.49999999999997,726.2,1041.5,422.0,290.0
2018-02-19,543.5,978.5,1812.1000000000001,379.0,368.0
2018-02-20,254.9,557.2,948.4000000000001,246.0,151.0
2018-02-21,252.29999999999998,797.0000000000001,1183.6000000000004,900.0,795.0
2018-02-22,359.6000000000001,986.5999999999998,1538.4,666.0,517.0
2018-02-23,390.8999999999999,1075.3,1674.4,650.0,454.0
2018-02-24,238.39999999999998,869.3999999999999,1234.7,682.0,496.0
2018-02-25,116.6,520.2,698.8,372.0,224.0
2018-02-26,187.8,534.5,822.9000000000001,393.0,144.0
2018-02-27,294.29999999999995,904.8000000000001,1356.1,417.0,157.0
2018-02-28,344.6000000000001,890.3000000000001,1418.3000000000002,540.0,385.0
2018-03-01,228.80000000000004,747.1999999999999,1098.1000000000001,915.0,675.0
2018-03-02,285.8,964.9999999999999,1402.6000000000001,1035.0,958.0
2018-03-03,296.3,1156.6999999999998,1611.2,1581.0,1571.0
2018-03-04,263.6,985.9999999999999,1389.9999999999998,466.0,405.0
2018-03-05,156.20000000000002,847.5,1087.3000000000002,390.0,217.0
2018-03-06,212.19999999999996,985.6000000000001,1310.9,318.0,177.0
2018-03-07,616.0999999999999,1360.2,2304.4,440.0,289.0
2018-03-08,144.4,769.3000000000001,990.3000000000001,289.0,116.0
2018-03-09,306.20000000000005,1027.1,1496.9,420.0,250.0
2018-03-10,129.0,624.4,821.7,473.0,284.0
2018-03-11,413.9000000000001,1252.9,1887.4999999999995,611.0,411.0
2018-03-12,505.1000000000001,1116.1000000000001,1890.7,314.0,223.0
2018-03-13,369.70000000000005,1017.8999999999999,1584.6,439.0,245.0
2018-03-14,145.09999999999997,640.5,862.7,369.0,156.0
2018-03-15,201.9,911.1999999999999,1220.3,298.0,162.0
