MeasurementDateGMT,Redbridge - Gardner Close: Nitric Oxide (ug/m3),Redbridge - Gardner Close: Nitrogen Dioxide (ug/m3),Redbridge - Gardner Close: Oxides of Nitrogen (ug/m3),Redbridge - Gardner Close: PM10 Particulate (ug/m3)
2018-01-01,217.79999999999998,715.1,1049.1000000000004,309.0
2018-01-02,640.3000000000002,1121.9999999999998,2103.8,504.0
2018-01-03,141.49999999999997,530.6,747.1999999999999,533.5
2018-01-04,643.6,1168.6,2155.3,369.0
2018-01-05,877.8000000000001,1488.1,2833.9999999999995,447.0
2018-01-06,745.2,1017.7000000000002,2159.7999999999997,419.0
2018-01-07,71.1,299.09999999999997,408.70000000000005,292.0
2018-01-08,414.59999999999997,763.8000000000001,1400.2,446.0
2018-01-09,2181.9,1456.3999999999999,4801.6,840.0
2018-01-10,1089.6999999999998,1623.1999999999998,3294.4,549.0
2018-01-11,383.1,972.4000000000001,1558.9999999999998,460.0
2018-01-12,1669.1000000000001,1523.3,4083.0000000000005,773.0
2018-01-13,647.6000000000001,1088.5,2081.5,679.0
2018-01-14,484.0,1053.5000000000002,1795.3000000000002,604.0
2018-01-15,273.40000000000003,801.9,1220.9000000000003,222.0
2018-01-16,309.3,847.7,1322.4,301.0
2018-01-17,285.9,692.0,1131.1000000000001,345.0
2018-01-18,97.70000000000002,557.3000000000001,707.0,191.0
2018-01-19,543.1000000000001,1315.9,2148.4,523.0
2018-01-20,460.59999999999997,1193.1000000000001,1898.9999999999998,258.0
2018-01-21,797.1,1425.8,2648.0,384.0
2018-01-22,249.70000000000005,970.4,1353.0,321.0
2018-01-23,401.4,898.3999999999999,1514.0,241.0
2018-01-24,284.5,681.9999999999999,1118.4,183.0
2018-01-25,649.8,1108.6000000000001,2105.0,543.0
2018-01-26,315.6,1090.1000000000001,1574.3000000000004,375.0
2018-01-27,794.5,1263.3,2481.3999999999996,421.0
2018-01-28,183.79999999999995,633.8999999999997,916.0,186.0
2018-01-29,218.10000000000002,880.9,1215.0,232.0
2018-01-30,2518.0999999999995,1837.2000000000003,5698.700000000001,670.0
2018-01-31,376.40000000000003,939.1999999999999,1516.1000000000004,261.0
2018-02-01,74.1,548.1,661.4999999999999,217.0
2018-02-02,264.0,794.4,1199.0,301.0
2018-02-03,699.5999999999999,1510.6,2583.2999999999997,355.0
2018-02-04,59.400000000000006,381.5999999999999,472.40000000000003,175.0
2018-02-05,149.8,552.0,781.3,267.0
2018-02-06,97.39999999999999,704.7,854.0999999999998,342.0
2018-02-07,526.4,991.1,1798.4,347.0
2018-02-08,1971.0000000000002,1727.9000000000003,4749.9,845.0
2018-02-09,141.49999999999997,631.7,848.5999999999999,209.0
2018-02-10,677.0,1131.9,2169.8999999999996,321.0
2018-02-11,59.2,307.9,399.20000000000005,142.0
2018-02-12,632.1,1199.6999999999996,2169.2000000000003,546.5
2018-02-13,497.79999999999995,924.0,1687.2,247.0
2018-02-14,889.9,1031.8999999999999,2396.1,328.0
2018-02-15,395.5,1071.3999999999999,1677.9,450.0
2018-02-16,1602.6999999999996,1863.0999999999997,4320.200000000001,805.0
2018-02-17,1733.5,1859.4999999999998,4517.7,903.0
2018-02-18,1065.5000000000002,1499.1,3133.2,748.0
2018-02-19,1191.2999999999997,1399.4,3227.2,324.18181818181813
2018-02-20,242.5,526.6999999999999,899.5999999999999,214.3181818181818
2018-02-21,289.29999999999995,957.8,1401.3,913.0
2018-02-22,293.8999999999999,985.3,1436.0000000000002,698.0
2018-02-23,388.4000000000001,1136.8,1732.4,638.0
2018-02-24,240.00000000000006,912.1,1280.0,704.0
2018-02-25,155.20000000000002,535.5000000000001,773.1999999999999,433.0
2018-02-26,159.60000000000005,516.8,761.9,344.0
2018-02-27,304.8,1025.2,1493.1,533.0
2018-02-28,357.6,890.3999999999997,1438.6999999999996,459.0
2018-03-01,158.0,631.5000000000001,874.1,788.0
