MeasurementDateGMT,Wandsworth - Lavender Hill (Clapham Jct): Nitric Oxide (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): Nitrogen Dioxide (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): Oxides of Nitrogen (ug/m3),Wandsworth - Lavender Hill (Clapham Jct): PM10 Particulate (ug/m3)
2018-04-27,392.0,960.0,1560.0,385.29999999999995
2018-04-28,657.0,1053.0,2057.0,285.2
2018-04-29,637.0,778.0,1755.0,286.9
2018-04-30,493.0,780.0,1534.0,357.6
2018-05-01,747.0,972.0,2119.0,344.7
2018-05-02,474.0,924.0,1649.0,244.0
2018-05-03,935.0,1241.0,2677.0,497.3
2018-05-04,637.0,1114.0,2092.0,570.6
2018-05-05,457.0,1463.0,2161.0,724.0
2018-05-06,348.0,1489.0,2022.0,941.1
2018-05-07,304.0,1655.0,2121.0,1035.8
2018-05-08,789.0,1581.0,2790.0,931.3000000000001
2018-05-09,792.0,1038.0,2252.0,550.6
2018-05-10,579.0,951.0,1836.0,403.7000000000001
2018-05-11,111.0,601.0,775.0,500.1
2018-05-12,723.0,1093.0,2202.0,453.6000000000001
2018-05-13,681.0,1109.0,2150.0,551.4
2018-05-14,546.0,949.0,1781.0,412.90000000000003
2018-05-15,568.0,1148.0,2011.0,471.1000000000001
2018-05-16,771.0,944.0,2123.0,666.5
2018-05-17,687.0,925.0,1979.0,674.6
2018-05-18,683.0,1116.0,2158.0,619.2
2018-05-19,412.0,1027.0,1657.0,694.0000000000001
2018-05-20,274.0,830.0,1248.0,660.4999999999999
2018-05-21,639.0,1488.0,2467.0,944.3
2018-05-22,590.0,941.0,1845.0,782.0
2018-05-23,693.0,954.0,2015.0,781.7
2018-05-24,1035.5,1225.0,2812.0,924.1999999999999
2018-05-25,703.0,1208.0,2285.0,722.9000000000001
2018-05-26,316.0,1030.0,1517.0,1095.0
2018-05-27,242.0,832.0,1202.0,804.8000000000001
2018-05-28,516.0,1128.0,1925.0,1021.1
2018-05-29,750.0,1180.0,2333.0,713.6
2018-05-30,616.0,1135.0,2083.0,642.5000000000001
2018-05-31,533.0,1199.0,2021.0,973.3000000000002
2018-06-01,465.0,950.0,1667.0,663.5
2018-06-02,847.0,1114.0,2412.0,406.9
2018-06-03,301.0,921.0,1381.0,406.7
2018-06-04,790.0,1159.0,2369.0,585.6999999999999
2018-06-05,640.0,950.0,1931.0,538.0999999999999
2018-06-06,596.0,1072.0,1990.0,715.1999999999999
2018-06-07,589.0,1149.0,2054.0,646.0
2018-06-08,544.0,1148.0,1984.0,613.7000000000002
2018-06-09,385.0,933.0,1522.0,545.6
2018-06-10,267.0,777.0,1189.0,511.09999999999997
2018-06-11,416.0,915.0,1556.0,428.0
2018-06-12,755.0,1117.0,2277.0,439.40000000000003
2018-06-13,422.0,884.0,1528.0,417.2999999999999
2018-06-14,640.0,913.0,1895.0,485.70000000000005
2018-06-15,913.0,1321.0,2723.0,549.4999999999999
2018-06-16,476.0,761.0,1492.0,413.4000000000001
2018-06-17,383.0,609.0,1200.0,339.9
2018-06-18,676.0,827.0,1868.0,426.30000000000007
2018-06-19,833.0,798.0,2076.0,299.1
2018-06-20,752.0,758.0,1913.0,393.09999999999997
2018-06-21,389.0,773.0,1368.0,470.2
2018-06-22,588.0,1017.0,1922.0,482.0
2018-06-23,619.0,1106.0,2055.0,490.09999999999997
2018-06-24,275.0,1024.0,1441.0,495.00000000000006
2018-06-25,409.0,1346.0,1977.0,584.5999999999999
2018-06-26,288.0,1136.0,1574.0,562.4000000000001
2018-06-27,360.0,1007.0,1559.0,588.2
2018-06-28,425.0,1056.0,1707.0,656.1
2018-06-29,506.0,1133.0,1910.0,572.3
2018-06-30,278.0,928.0,1359.0,524.1
2018-07-01,179.0,1131.0,1402.0,633.9
2018-07-02,283.0,1085.0,1520.0,540.7
2018-07-03,210.0,837.0,1154.0,481.40000000000003
2018-07-04,308.0,929.0,1398.0,593.7
2018-07-05,473.0,1306.0,2035.0,776.4000000000001
2018-07-06,463.0,1505.0,2217.0,727.9999999999998
2018-07-07,373.0,1349.0,1921.0,792.0000000000001
2018-07-08,268.0,1214.0,1619.0,530.9000000000001
2018-07-09,426.0,1180.0,1835.0,550.1
2018-07-10,538.0,845.0,1672.0,469.1
2018-07-11,509.0,954.0,1730.0,501.50000000000006
2018-07-12,429.0,1115.0,1776.0,600.2000000000002
2018-07-13,367.0,1044.0,1602.0,589.5
2018-07-14,187.0,818.0,1112.0,484.19999999999993
2018-07-15,323.0,1065.0,1555.0,435.59999999999997
2018-07-16,574.0,1275.0,2158.0,482.9
2018-07-17,661.0,929.0,1947.0,358.29999999999995
2018-07-18,441.0,889.0,1563.0,371.70000000000005
2018-07-19,270.0,1044.0,1456.0,424.8
2018-07-20,183.0,876.0,1156.0,506.0
2018-07-21,395.0,1202.0,1811.0,569.8
2018-07-22,336.0,986.0,1500.0,390.6000000000001
2018-07-23,378.0,891.0,1469.0,419.0
2018-07-24,574.0,1086.0,1966.0,449.19999999999993
2018-07-25,460.0,1113.0,1814.0,522.7
2018-07-26,308.0,1121.0,1596.0,762.8
2018-07-27,530.0,1274.0,2086.0,599.0
2018-07-28,276.0,512.0,936.0,427.3999999999999
2018-07-29,55.0,258.0,347.0,268.2
2018-07-30,207.0,394.0,711.0,227.59999999999997
2018-07-31,364.5,708.5,1265.5,288.5
2018-08-01,433.0,765.0,1429.0,365.8
2018-08-02,496.0,1042.0,1803.0,415.1
2018-08-03,435.0,1216.0,1880.0,516.5999999999999
2018-08-04,285.0,805.0,1246.0,336.99999999999994
2018-08-05,119.0,666.0,850.0,367.25
2018-08-06,325.0,1140.0,1634.0,532.6
2018-08-07,297.0,1088.0,1544.0,504.5
2018-08-08,464.0,780.0,1494.0,297.09999999999997
2018-08-09,642.0,1040.0,2025.0,347.7
2018-08-10,427.0,752.0,1408.0,285.95000000000005
2018-08-11,258.0,642.0,1045.0,309.50000000000006
2018-08-12,87.0,418.0,558.0,277.1
2018-08-13,512.0,831.0,1617.0,361.90000000000003
2018-08-14,696.0,1001.0,2069.0,328.99999999999994
2018-08-15,365.0,614.0,1170.0,374.0
2018-08-16,343.0,600.0,1127.0,412.3
2018-08-17,599.0,821.0,1741.0,432.40000000000003
2018-08-18,365.0,613.0,1172.0,441.8
2018-08-19,313.0,518.0,996.0,380.4
2018-08-20,540.0,781.0,1610.0,359.1
2018-08-21,291.0,663.0,1113.0,300.79999999999995
2018-08-22,441.0,682.0,1364.0,358.6
2018-08-23,470.0,706.0,1426.0,384.2999999999999
2018-08-24,850.3136531365315,824.19926199262,2124.088560885609,384.6000000000001
2018-08-25,1021.3284132841329,973.549815498155,2538.022140221402,375.5
2018-08-26,968.1918819188191,1007.5571955719558,2489.1365313653137,319.1000000000001
2018-08-27,915.0553505535054,1041.5645756457566,2440.2509225092253,334.3
2018-08-28,861.918819188192,1075.5719557195573,2391.3653136531366,324.59999999999997
2018-08-29,808.7822878228783,1109.579335793358,2342.479704797048,413.70000000000005
2018-08-30,755.6457564575647,1143.5867158671585,2293.594095940959,536.3
2018-08-31,702.5092250922509,1177.5940959409593,2244.7084870848703,545.4000000000001
2018-09-01,649.3726937269373,1211.6014760147602,2195.8228782287824,582.3
2018-09-02,596.2361623616235,1245.608856088561,2146.937269372693,586.6999999999999
2018-09-03,543.09963099631,1279.6162361623615,2098.0516605166054,732.5000000000001
2018-09-04,468.54612546125463,1220.970479704797,1929.5424354243544,576.0
2018-09-05,439.0,1015.0,1690.0,527.1
2018-09-06,771.0,1112.0,2298.0,607.5000000000001
2018-09-07,841.0,1167.0,2459.0,395.6000000000001
2018-09-08,456.0,837.0,1533.0,319.8
2018-09-09,305.0,629.0,1095.0,363.70000000000005
2018-09-10,544.0,715.0,1548.0,413.1000000000001
2018-09-11,344.0,438.0,962.0,384.7999999999999
2018-09-12,889.0,1003.0,2367.0,379.3
2018-09-13,1246.0,1207.0,3117.0,505.90000000000003
2018-09-14,677.0,930.0,1972.0,345.29999999999995
2018-09-15,615.0,764.0,1709.0,418.59999999999997
2018-09-16,179.0,486.0,756.0,381.30000000000007
2018-09-17,153.0,529.0,766.0,393.5
2018-09-18,279.0,490.0,918.0,434.80000000000007
2018-09-19,218.0,412.0,748.0,535.4000000000001
2018-09-20,133.0,339.0,546.0,539.7
2018-09-21,681.0,833.0,1874.5,315.09999999999997
2018-09-22,534.0,902.0,1725.0,373.40000000000003
2018-09-23,283.0,737.0,1171.0,263.4
2018-09-24,863.0,1198.0,2520.0,441.6
2018-09-25,958.0,1217.0,2681.0,578.2000000000002
2018-09-26,895.0,1594.0,2963.0,572.9
2018-09-27,1138.0,1786.0,3534.0,696.0
2018-09-28,654.0,1039.0,2043.0,489.4
2018-09-29,950.0,1417.0,2872.0,662.1000000000001
2018-09-30,377.0,917.0,1494.0,409.79999999999995
2018-10-01,452.0,870.0,1562.0,364.3
2018-10-02,609.0,914.0,1845.0,368.80000000000007
2018-10-03,1066.0,1222.0,2852.0,465.3
2018-10-04,523.0,718.0,1524.0,428.8999999999999
2018-10-05,465.0,1096.0,1811.0,732.1
2018-10-06,551.0,1066.0,1910.0,420.7
2018-10-07,454.0,975.0,1670.0,376.59999999999997
2018-10-08,520.0,941.0,1737.0,333.1
2018-10-09,347.0,985.0,1512.0,483.4
2018-10-10,815.0,1617.0,2866.0,1163.4000000000003
2018-10-11,63.0,418.0,517.0,464.6
2018-10-12,42.0,317.0,381.0,410.6
2018-10-13,53.0,360.0,446.0,430.8
2018-10-14,339.0,762.0,1276.0,196.50000000000003
2018-10-15,999.0,1322.0,2856.0,475.4
2018-10-16,217.0,623.0,954.0,498.30000000000007
2018-10-17,854.0,1200.0,2512.0,428.1
2018-10-18,639.0,1107.0,2087.0,484.50000000000006
2018-10-19,1784.0,1675.0,4412.0,805.7
2018-10-20,1368.3333333333333,1360.3333333333333,3459.6666666666665,863.8000000000001
2018-10-21,680.6666666666667,1191.6666666666665,2240.333333333333,517.3
2018-10-22,912.0,1154.0,2555.0,515.9
2018-10-23,827.0,1162.0,2432.0,518.0
2018-10-24,976.0,1234.0,2734.0,555.6000000000001
2018-10-25,915.0,1264.0,2666.0,495.00000000000006
2018-10-26,685.0,1073.0,2119.0,261.2
2018-10-27,266.0,606.0,1015.0,173.50000000000003
2018-10-28,538.0,872.0,1697.0,224.7
2018-10-29,838.0,1139.0,2419.0,297.2
2018-10-30,749.0,932.0,2081.0,356.0
2018-10-31,1055.5,1184.0,2801.0,510.2
2018-11-01,1038.0,1304.0,2898.0,417.59999999999997
2018-11-02,1374.0,1537.0,3645.0,769.7999999999998
2018-11-03,128.0,744.0,941.0,531.6999999999999
2018-11-04,129.0,568.0,765.0,557.8000000000001
2018-11-05,1861.0,1222.0,4084.0,1387.1999999999998
2018-11-06,685.0,776.0,1821.0,577.3000000000001
2018-11-07,120.0,379.0,559.0,266.0
2018-11-08,121.0,502.0,688.0,463.7
2018-11-09,212.0,484.0,815.0,435.8999999999999
2018-11-10,183.0,569.0,849.0,433.2
2018-11-11,182.0,507.0,786.0,346.6
2018-11-12,143.0,536.0,758.0,384.40000000000003
2018-11-13,353.0,752.0,1296.0,490.50000000000006
2018-11-14,473.0,764.0,1493.0,564.8000000000001
2018-11-15,510.0,738.0,1520.0,693.1999999999999
2018-11-16,539.0,714.0,1542.0,457.9000000000001
2018-11-17,596.0,1024.0,1939.0,740.1999999999999
2018-11-18,418.0,916.0,1557.0,654.3000000000003
2018-11-19,410.0,652.0,1279.0,345.30000000000007
2018-11-20,703.0,927.0,2005.0,458.0
2018-11-21,698.0,887.0,1958.0,908.5
2018-11-22,2712.0,1456.0,5610.0,1365.3
2018-11-23,1162.0,1167.0,2947.0,1122.8000000000002
2018-11-24,673.0,1050.0,2084.0,826.1000000000003
2018-11-25,591.0,791.0,1699.0,608.3999999999999
2018-11-26,769.0,1008.0,2184.0,469.6000000000001
2018-11-27,479.0,728.0,1459.0,481.90000000000003
2018-11-28,136.0,342.0,552.0,305.50000000000006
2018-11-29,170.0,282.0,545.0,340.40000000000003
2018-11-30,430.0,691.0,1350.0,427.3
2018-12-01,182.0,456.0,733.0,270.0
2018-12-02,264.0,441.0,854.0,180.2
2018-12-03,495.5,929.5,1692.5,407.9
2018-12-04,995.0,1404.0,2930.0,488.0
2018-12-05,377.0,796.0,1372.0,325.1
2018-12-06,361.0,742.0,1290.0,306.99999999999994
2018-12-07,701.0,881.0,1956.0,295.29999999999995
2018-12-08,492.0,711.0,1468.0,428.29999999999995
2018-12-09,385.0,766.0,1356.0,269.5
2018-12-10,1303.0,1598.0,3597.0,475.5
2018-12-11,1415.0,1411.0,3580.0,727.2000000000002
2018-12-12,272.0,915.0,1338.0,517.6
2018-12-13,765.0,1190.0,2364.0,548.5999999999999
2018-12-14,1064.5,1271.5,2907.5,664.1999999999999
2018-12-15,147.0,516.0,733.0,426.9
2018-12-16,182.0,810.0,1086.0,296.0
2018-12-17,490.0,1015.0,1764.0,343.99999999999994
2018-12-18,100.0,423.0,578.0,324.4
2018-12-19,176.0,659.0,932.0,216.60000000000002
2018-12-20,378.0,771.0,1351.0,284.8
2018-12-21,559.0,801.0,1656.0,387.6
2018-12-22,606.0,1010.0,1942.0,322.59999999999997
2018-12-23,441.0,908.0,1585.0,178.00000000000003
2018-12-24,1347.0,1413.0,3478.0,481.2
2018-12-25,941.0,990.0,2433.0,420.29999999999995
2018-12-26,292.0,885.0,1335.0,384.49999999999994
2018-12-27,2687.0,1479.0,5598.0,815.5000000000001
2018-12-28,1695.0,1389.0,3989.0,636.3
2018-12-29,872.0,1146.0,2483.0,360.50000000000006
2018-12-30,758.0,1197.0,2359.0,281.90000000000003
2018-12-31,700.0,1125.0,2201.0,246.4
2019-01-01,457.0,868.0,1566.0,288.90000000000003
2019-01-02,509.0,1078.0,1858.0,323.4
2019-01-03,764.0,1429.0,2604.0,331.8
2019-01-04,1088.0,1620.0,3285.0,688.9000000000001
2019-01-05,615.0,1180.0,2125.0,549.3
2019-01-06,635.0,1252.0,2218.0,512.5000000000001
2019-01-07,691.0,1085.0,2146.0,397.4
2019-01-08,365.0,911.0,1474.0,432.49999999999994
2019-01-09,320.0,928.0,1415.0,292.00000000000006
2019-01-10,1888.0,1664.0,4559.0,750.2
2019-01-11,1244.0,1544.0,3448.0,573.4000000000001
2019-01-12,637.0,992.0,1969.0,254.9
2019-01-13,401.0,665.0,1277.0,233.8
2019-01-14,753.0,1174.0,2330.0,351.4000000000001
2019-01-15,605.0,1052.0,1983.0,253.79999999999995
2019-01-16,415.0,780.0,1419.0,218.6
2019-01-17,674.0,1185.0,2220.0,298.5
2019-01-18,639.0,1130.0,2109.0,403.0
2019-01-19,240.0,651.0,1018.0,408.50000000000006
2019-01-20,1258.0,1518.0,3446.0,672.8
2019-01-21,1877.0,1386.0,4261.0,896.4000000000001
2019-01-22,1089.0,1453.0,3121.0,330.79999999999995
2019-01-23,1154.0,1331.0,3104.0,409.7
2019-01-24,2306.0,1830.0,5365.0,778.4
2019-01-25,1213.0,1490.0,3350.0,459.49999999999994
2019-01-26,330.0,599.0,1111.0,262.5
2019-01-27,321.0,532.0,1023.0,246.99999999999997
2019-01-28,810.0,1214.0,2457.0,354.4
2019-01-29,477.0,1226.0,1956.0,402.59999999999997
2019-01-30,1667.0,1754.0,4309.0,511.1
2019-01-31,1507.0,1289.0,3598.0,600.4999999999999
2019-02-01,713.0,1149.0,2244.0,293.7
2019-02-02,303.0,742.0,1211.0,295.79999999999995
2019-02-03,644.0,1063.0,2046.0,358.6
2019-02-04,525.0,806.0,1611.0,235.00000000000003
2019-02-05,221.0,734.0,1074.0,272.8
2019-02-06,452.0,905.0,1595.0,565.3
2019-02-07,500.0,699.0,1464.0,383.7
2019-02-08,226.0,390.0,739.0,299.0
2019-02-09,344.0,516.0,1043.0,351.5
2019-02-10,430.0,805.0,1459.0,175.2
2019-02-11,913.0,1371.0,2769.0,296.50000000000006
2019-02-12,747.0,1285.0,2434.0,404.0999999999999
2019-02-13,283.0,829.0,1266.0,443.60000000000014
2019-02-14,1581.0,1631.0,4057.0,718.8000000000001
2019-02-15,1366.0,1575.0,3667.0,836.6
2019-02-16,277.0,923.0,1351.0,683.6
2019-02-17,239.0,692.0,1062.0,646.9000000000001
2019-02-18,260.0,707.0,1106.0,378.5000000000001
2019-02-19,580.0,948.0,1836.0,452.5
2019-02-20,410.0,798.0,1426.0,462.50000000000006
2019-02-21,553.0,1062.0,1907.0,701.0000000000001
2019-02-22,1106.0,1321.0,3022.0,650.0
2019-02-23,852.0,1301.0,2608.0,776.4
2019-02-24,1636.0,1713.0,4225.0,922.6
2019-02-25,2388.0,2147.0,5804.0,1118.8000000000002
2019-02-26,3017.0,2313.0,6936.0,1222.5
2019-02-27,3151.93271461717,2415.9385150812063,7251.126450116009,1411.2259929906538
2019-02-28,3061.9211136890963,2475.410672853828,7174.872389791182,1394.1792056074762
2019-03-01,3029.8468677494197,2456.0324825986077,7106.046403712297,1380.4184579439247
2019-03-02,2997.772621809745,2436.654292343387,7037.220417633412,1366.6577102803733
2019-03-03,2965.69837587007,2417.276102088167,6968.394431554523,1352.896962616822
2019-03-04,2933.6241299303942,2397.8979118329466,6899.568445475637,1339.1362149532708
2019-03-05,2901.5498839907195,2378.519721577726,6830.742459396753,1325.3754672897196
2019-03-06,2869.475638051045,2359.1415313225057,6761.916473317865,1311.6147196261684
2019-03-07,2837.4013921113688,2339.763341067285,6693.090487238978,1297.853971962617
2019-03-08,2805.327146171694,2320.385150812065,6624.264501160093,1284.0932242990655
2019-03-09,2773.252900232019,2301.0069605568447,6555.438515081207,1270.332476635514
2019-03-10,2741.1786542923433,2281.628770301624,6486.612529002319,1256.5717289719628
2019-03-11,2709.1044083526685,2262.2505800464037,6417.786542923434,1242.8109813084113
2019-03-12,2677.030162412993,2242.872389791183,6348.960556844548,1229.0502336448599
2019-03-13,2644.9559164733173,2223.494199535963,6280.134570765661,1215.2894859813086
2019-03-14,2612.881670533643,2204.116009280742,6211.308584686774,1201.5287383177572
2019-03-15,2580.807424593967,2184.737819025522,6142.482598607889,1187.7679906542057
2019-03-16,2548.733178654292,2165.3596287703012,6073.656612529002,1174.0072429906543
2019-03-17,2516.6589327146175,2145.981438515081,6004.830626450115,1160.246495327103
2019-03-18,2484.584686774942,2126.6032482598607,5936.00464037123,1146.4857476635516
2019-03-19,2452.5104408352663,2107.2250580046402,5867.178654292344,1132.7250000000004
2019-03-20,2420.436194895592,2087.84686774942,5798.352668213456,1118.964252336449
2019-03-21,2388.361948955916,2068.4686774941993,5729.52668213457,1105.2035046728972
2019-03-22,2356.287703016241,2049.090487238979,5660.700696055685,1091.4427570093458
2019-03-23,2324.2134570765666,2029.7122969837585,5591.874709976797,1077.6820093457945
2019-03-24,2292.139211136891,2010.334106728538,5523.048723897912,1063.9212616822429
2019-03-25,2260.0649651972153,1990.955916473318,5454.222737819026,1050.1605140186916
2019-03-26,2227.990719257541,1971.5777262180975,5385.396751740139,1036.3997663551404
2019-03-27,2195.916473317865,1952.1995359628772,5316.570765661252,1022.6390186915888
2019-03-28,2163.8422273781894,1932.8213457076565,5247.744779582366,1008.8782710280373
2019-03-29,2131.7679814385156,1913.443155452436,5178.918793503481,995.117523364486
2019-03-30,2099.6937354988395,1894.064965197216,5110.092807424593,981.3567757009346
2019-03-31,2067.619489559164,1874.6867749419955,5041.266821345708,967.5960280373831
2019-04-01,2035.5452436194903,1855.3085846867752,4972.4408352668215,953.8352803738319
2019-04-02,2003.4709976798142,1835.9303944315545,4903.614849187935,940.0745327102804
2019-04-03,1971.3967517401384,1816.552204176334,4834.788863109049,926.313785046729
2019-04-04,1939.3225058004648,1797.1740139211136,4765.962877030162,912.5530373831778
2019-04-05,1907.2482598607887,1777.7958236658935,4697.136890951276,898.7922897196263
2019-04-06,1875.1740139211129,1758.4176334106728,4628.310904872389,885.0315420560748
2019-04-07,1843.0997679814393,1739.0394431554528,4559.484918793504,871.2707943925234
2019-04-08,1811.0255220417632,1719.661252900232,4490.658932714618,857.5100467289719
2019-04-09,1778.9512761020874,1700.2830626450116,4421.832946635732,843.7492990654207
2019-04-10,1746.8770301624138,1680.9048723897913,4353.006960556845,829.988551401869
2019-04-11,1714.8027842227377,1661.5266821345706,4284.1809744779575,816.2278037383177
2019-04-12,1682.7285382830619,1642.1484918793508,4215.354988399072,802.4670560747663
2019-04-13,1650.6542923433883,1622.7703016241298,4146.529002320185,788.706308411215
2019-04-14,1618.5800464037122,1603.3921113689096,4077.7030162412993,774.9455607476638
2019-04-15,1586.5058004640364,1584.0139211136893,4008.877030162413,761.1848130841124
2019-04-16,1554.4315545243628,1564.6357308584686,3940.051044083527,747.4240654205609
2019-04-17,1522.3573085846867,1545.2575406032483,3871.22505800464,733.6633177570094
2019-04-18,1490.2830626450111,1525.879350348028,3802.3990719257536,719.9025700934579
2019-04-19,1458.2088167053373,1506.5011600928074,3733.5730858468683,706.1418224299065
2019-04-20,1426.1345707656612,1487.122969837587,3664.7470997679816,692.3810747663551
