MeasurementDateGMT,Camden - Coopers Lane: PM10 Particulate (ug/m3)
2018-07-27,402.53999999999996
2018-07-28,270.90000000000003
2018-07-29,147.4
2018-07-30,139.95000000000002
2018-07-31,196.34999999999994
2018-08-01,244.4
2018-08-02,255.9
2018-08-03,236.0555555555556
2018-08-04,217.14444444444445
2018-08-05,262.8
2018-08-06,418.05
2018-08-07,319.3
2018-08-08,208.1
2018-08-09,227.0
2018-08-10,156.50000000000003
2018-08-11,160.20000000000002
2018-08-12,154.6
2018-08-13,206.46981132075467
2018-08-14,194.55849056603773
2018-08-15,218.57169811320756
2018-08-16,206.00000000000003
2018-08-17,243.9
2018-08-18,223.30000000000004
2018-08-19,199.3
2018-08-20,163.60000000000002
2018-08-21,180.20000000000002
2018-08-22,216.20000000000002
2018-08-23,162.9
2018-08-24,170.00000000000003
2018-08-25,153.99999999999997
2018-08-26,173.6
2018-08-27,155.4
2018-08-28,162.20000000000002
2018-08-29,247.90000000000003
2018-08-30,308.7
2018-08-31,324.09999999999997
2018-09-01,350.40000000000003
2018-09-02,385.7
2018-09-03,481.00000000000006
2018-09-04,353.99999999999994
2018-09-05,329.29375
2018-09-06,271.05625
2018-09-07,183.60000000000002
2018-09-08,206.39999999999998
2018-09-09,178.70000000000002
2018-09-10,209.9
2018-09-11,236.19999999999996
2018-09-12,226.3
2018-09-13,306.79999999999995
2018-09-14,195.59999999999997
2018-09-15,237.8
2018-09-16,220.8
2018-09-17,233.50000000000003
2018-09-18,269.20000000000005
2018-09-19,287.1
2018-09-20,293.90000000000003
2018-09-21,161.6
2018-09-22,198.25
2018-09-23,138.79999999999998
2018-09-24,224.6
2018-09-25,319.5
2018-09-26,306.79999999999995
2018-09-27,387.19999999999993
2018-09-28,247.1
2018-09-29,352.1000000000001
2018-09-30,277.50000000000006
2018-10-01,191.10000000000002
2018-10-02,164.1
2018-10-03,178.90000000000003
2018-10-04,269.2
2018-10-05,449.05
2018-10-06,273.1
2018-10-07,205.99999999999997
2018-10-08,199.20000000000005
2018-10-09,276.3
2018-10-10,904.7
2018-10-11,281.8
2018-10-12,250.95000000000002
2018-10-13,254.69999999999996
2018-10-14,121.19999999999999
2018-10-15,236.7
2018-10-16,395.99999999999994
2018-10-17,270.9
2018-10-18,321.59999999999997
2018-10-19,391.4
2018-10-20,661.1999999999999
2018-10-21,420.5
2018-10-22,291.6
2018-10-23,300.4
2018-10-24,309.5
2018-10-25,304.5
2018-10-26,183.60000000000002
2018-10-27,88.50000000000001
2018-10-28,134.70000000000002
2018-10-29,158.4
2018-10-30,214.60000000000002
2018-10-31,380.79999999999995
2018-11-01,302.1000000000001
2018-11-02,325.6
2018-11-03,324.7
2018-11-04,502.9
2018-11-05,1051.6
2018-11-06,513.6000000000001
2018-11-07,180.8
2018-11-08,260.59999999999997
2018-11-09,267.7
2018-11-10,254.0
2018-11-11,176.7
2018-11-12,215.79999999999998
2018-11-13,252.40000000000003
2018-11-14,315.45000000000005
2018-11-15,489.4
2018-11-16,345.0
2018-11-17,582.2
2018-11-18,406.2000000000001
2018-11-19,210.69999999999996
2018-11-20,312.1
2018-11-21,550.1
2018-11-22,1036.3999999999996
2018-11-23,870.5
2018-11-24,594.4000000000001
2018-11-25,430.7000000000001
2018-11-26,297.99999999999994
2018-11-27,410.0
2018-11-28,191.6
2018-11-29,220.29999999999998
2018-11-30,254.6
2018-12-01,155.3
2018-12-02,80.5
2018-12-03,233.54999999999998
2018-12-04,313.19999999999993
2018-12-05,224.89999999999998
2018-12-06,184.2
2018-12-07,125.90000000000002
2018-12-08,228.40000000000006
2018-12-09,130.20000000000002
2018-12-10,227.80000000000004
2018-12-11,555.5000000000001
2018-12-12,426.2000000000001
2018-12-13,474.0999999999999
2018-12-14,535.8
2018-12-15,425.2
2018-12-16,227.39999999999998
2018-12-17,261.79999999999995
2018-12-18,233.39999999999998
2018-12-19,163.70000000000002
2018-12-20,193.4
2018-12-21,280.00000000000006
2018-12-22,224.19999999999996
2018-12-23,155.4
2018-12-24,423.1
2018-12-25,488.9999999999999
2018-12-26,323.00000000000006
2018-12-27,850.8000000000001
2018-12-28,638.7
2018-12-29,261.99999999999994
2018-12-30,229.0
2018-12-31,151.7
2019-01-01,269.8
2019-01-02,285.09999999999997
2019-01-03,332.30000000000007
2019-01-04,648.0999999999999
2019-01-05,526.8000000000001
2019-01-06,506.80000000000007
2019-01-07,326.4
2019-01-08,348.9
2019-01-09,265.49999999999994
2019-01-10,659.6
2019-01-11,413.49999999999994
2019-01-12,174.89999999999998
2019-01-13,160.0
2019-01-14,264.6
2019-01-15,217.50000000000003
2019-01-16,193.89999999999998
2019-01-17,226.1
2019-01-18,405.1
2019-01-19,457.8
2019-01-20,751.7
2019-01-21,853.0500000000002
2019-01-22,245.6
2019-01-23,370.7
2019-01-24,753.1000000000001
2019-01-25,444.80000000000007
2019-01-26,173.9
2019-01-27,196.9
2019-01-28,239.2
2019-01-29,279.0
2019-01-30,297.7
2019-01-31,652.7
2019-02-01,333.4
2019-02-02,290.6
2019-02-03,301.09999999999997
2019-02-04,219.5
2019-02-05,316.79999999999995
2019-02-06,233.4
2019-02-07,190.9
2019-02-08,209.3
2019-02-09,232.39999999999998
2019-02-10,104.0
2019-02-11,207.4
2019-02-12,292.1
2019-02-13,422.80000000000007
2019-02-14,723.6999999999999
2019-02-15,859.3
2019-02-16,668.5000000000002
2019-02-17,612.4999999999999
2019-02-18,315.6
2019-02-19,288.79999999999995
2019-02-20,395.81111111111113
2019-02-21,503.5888888888888
2019-02-22,842.9000000000001
2019-02-23,906.8999999999997
2019-02-24,1050.8
2019-02-25,1146.7000000000003
2019-02-26,1286.0
2019-02-27,1331.6000000000001
2019-02-28,683.7000000000002
2019-03-01,537.1999999999999
2019-03-02,289.2
2019-03-03,208.79999999999995
2019-03-04,170.00000000000003
2019-03-05,202.79999999999998
2019-03-06,268.0
2019-03-07,166.80000000000004
2019-03-08,187.2
2019-03-09,324.4
2019-03-10,146.5
2019-03-11,200.5
2019-03-12,180.0
2019-03-13,266.5
2019-03-14,172.7
2019-03-15,104.89999999999998
2019-03-16,208.7
2019-03-17,114.80000000000003
2019-03-18,246.90000000000003
2019-03-19,358.5999999999999
2019-03-20,230.0
2019-03-21,313.50000000000006
2019-03-22,317.0
2019-03-23,438.79999999999995
2019-03-24,383.5999999999999
2019-03-25,289.50000000000006
2019-03-26,489.1999999999999
2019-03-27,350.70000000000005
2019-03-28,524.1
2019-03-29,859.0
2019-03-30,1152.5000000000002
2019-03-31,640.1
2019-04-01,454.3
2019-04-02,519.8000000000001
2019-04-03,346.8
2019-04-04,222.00000000000003
2019-04-05,393.59999999999997
2019-04-06,406.79999999999995
2019-04-07,1035.0
