MeasurementDateGMT,Kensington and Chelsea - North Ken FDMS: PM10 Particulate (ug/m3)
2018-08-23,172.29999999999998
2018-08-24,177.49999999999997
2018-08-25,165.19999999999996
2018-08-26,163.6
2018-08-27,155.70000000000002
2018-08-28,170.8
2018-08-29,242.19999999999996
2018-08-30,230.8
2018-08-31,297.2
2018-09-01,297.9
2018-09-02,374.5
2018-09-03,445.0
2018-09-04,448.2000000000001
2018-09-05,483.79999999999995
2018-09-06,314.3
2018-09-07,177.95000000000002
2018-09-08,159.09999999999997
2018-09-09,151.2
2018-09-10,232.30000000000004
2018-09-11,214.70000000000007
2018-09-12,151.9
2018-09-13,295.5
2018-09-14,174.69999999999996
2018-09-15,225.79999999999998
2018-09-16,200.60000000000002
2018-09-17,227.90000000000003
2018-09-18,326.1
2018-09-19,352.3
2018-09-20,325.5
2018-09-21,167.3
2018-09-22,194.79999999999998
2018-09-23,125.79999999999998
2018-09-24,211.10000000000002
2018-09-25,294.4000000000001
2018-09-26,275.50000000000006
2018-09-27,313.4
2018-09-28,233.6
2018-09-29,340.6
2018-09-30,275.8
2018-10-01,215.0
2018-10-02,195.00000000000006
2018-10-03,238.49999999999997
2018-10-04,299.0999999999999
2018-10-05,501.1
2018-10-06,246.8
2018-10-07,184.00000000000003
2018-10-08,190.5
2018-10-09,265.09999999999997
2018-10-10,903.2999999999997
2018-10-11,272.9
2018-10-12,233.20000000000002
2018-10-13,222.90000000000003
2018-10-14,78.19999999999999
2018-10-15,209.69999999999996
2018-10-16,380.6
2018-10-17,248.39999999999998
2018-10-18,267.3
2018-10-19,368.20000000000005
2018-10-20,574.0999999999999
2018-10-21,375.5000000000001
2018-10-22,324.3
2018-10-23,323.3000000000001
2018-10-24,337.90000000000003
2018-10-25,343.7
2018-10-26,155.50000000000003
2018-10-27,103.39999999999998
2018-10-28,108.89999999999999
2018-10-29,129.0
2018-10-30,251.5
2018-10-31,358.3
2018-11-01,296.90000000000003
2018-11-02,367.1
2018-11-03,305.2
2018-11-04,417.90000000000003
2018-11-05,1004.6999999999998
2018-11-06,449.59999999999997
2018-11-07,169.39999999999998
2018-11-08,290.49999999999994
2018-11-09,283.1000000000001
2018-11-10,251.30000000000004
2018-11-11,179.10000000000002
2018-11-12,235.99999999999997
2018-11-13,278.5
2018-11-14,306.4
2018-11-15,526.6
2018-11-16,354.5999999999999
2018-11-17,563.7
2018-11-18,438.2000000000001
2018-11-19,201.2
2018-11-20,307.59999999999997
2018-11-21,558.4000000000001
2018-11-22,1058.9999999999998
2018-11-23,897.7000000000002
2018-11-24,637.4000000000001
2018-11-25,446.90000000000003
2018-11-26,312.00000000000006
2018-11-27,419.70000000000005
2018-11-28,183.99999999999997
2018-11-29,200.10000000000002
2018-11-30,288.2
2018-12-01,144.39999999999998
2018-12-02,76.1
2018-12-03,255.50000000000006
2018-12-04,290.7
2018-12-05,199.29999999999995
2018-12-06,161.5
2018-12-07,150.2
2018-12-08,256.69999999999993
2018-12-09,158.29999999999998
2018-12-10,260.5
2018-12-11,471.79999999999995
2018-12-12,396.8999999999999
2018-12-13,461.09999999999997
2018-12-14,584.8999999999997
2018-12-15,431.20000000000005
2018-12-16,240.00000000000003
2018-12-17,267.90000000000003
2018-12-18,230.90000000000006
2018-12-19,151.10000000000002
2018-12-20,203.1
2018-12-21,306.4
2018-12-22,281.9
2018-12-23,137.20000000000002
2018-12-24,363.59999999999997
2018-12-25,397.50000000000006
2018-12-26,330.4
2018-12-27,844.0000000000001
2018-12-28,652.4000000000001
2018-12-29,310.6000000000001
2018-12-30,226.00000000000006
2018-12-31,152.20000000000002
2019-01-01,243.20000000000002
2019-01-02,306.50000000000006
2019-01-03,287.00000000000006
2019-01-04,614.4000000000001
2019-01-05,596.6000000000001
2019-01-06,506.09999999999997
2019-01-07,340.79999999999995
2019-01-08,385.00000000000006
2019-01-09,293.90000000000003
2019-01-10,667.1000000000003
2019-01-11,415.00000000000006
2019-01-12,155.69999999999996
2019-01-13,139.10000000000002
2019-01-14,299.80000000000007
2019-01-15,192.60000000000002
2019-01-16,141.5
2019-01-17,230.79999999999995
2019-01-18,358.59999999999997
2019-01-19,426.0
2019-01-20,638.4000000000001
2019-01-21,831.8
2019-01-22,224.9
2019-01-23,373.0
2019-01-24,691.6000000000001
2019-01-25,374.8
2019-01-26,148.60000000000002
2019-01-27,276.9
2019-01-28,286.4
2019-01-29,270.8
2019-01-30,296.5
2019-01-31,523.9
2019-02-01,268.8
2019-02-02,317.6
2019-02-03,258.5
2019-02-04,197.89999999999998
2019-02-05,265.3
2019-02-06,216.70000000000002
2019-02-07,173.80000000000004
2019-02-08,189.5
2019-02-09,244.2
2019-02-10,84.69999999999997
2019-02-11,225.89999999999998
2019-02-12,295.99999999999994
2019-02-13,369.70000000000005
2019-02-14,601.1
2019-02-15,732.6
2019-02-16,650.4
2019-02-17,623.8999999999999
2019-02-18,300.09999999999997
2019-02-19,282.90000000000003
2019-02-20,286.90000000000003
2019-02-21,404.50000000000006
2019-02-22,708.0
2019-02-23,738.6999999999998
2019-02-24,930.1999999999999
2019-02-25,1080.7
2019-02-26,1207.9
2019-02-27,1283.1000000000004
2019-02-28,667.7999999999997
2019-03-01,547.1999999999999
2019-03-02,254.30000000000007
2019-03-03,181.29999999999998
2019-03-04,142.6
2019-03-05,171.2
2019-03-06,226.20000000000002
2019-03-07,149.40000000000003
2019-03-08,189.0
2019-03-09,391.59999999999997
2019-03-10,135.89999999999998
2019-03-11,242.8
2019-03-12,166.99999999999997
2019-03-13,312.7
2019-03-14,213.70000000000002
2019-03-15,99.8
2019-03-16,186.00000000000003
2019-03-17,103.8
2019-03-18,261.6
2019-03-19,333.79999999999995
2019-03-20,241.9
2019-03-21,350.3
2019-03-22,355.7
2019-03-23,440.09999999999997
2019-03-24,373.6999999999999
2019-03-25,357.7
2019-03-26,521.3
2019-03-27,440.09999999999997
2019-03-28,651.5
2019-03-29,857.5000000000001
2019-03-30,1157.6
2019-03-31,662.4000000000001
2019-04-01,496.69999999999993
2019-04-02,513.6999999999999
2019-04-03,304.90000000000003
2019-04-04,208.20000000000002
2019-04-05,359.79999999999995
2019-04-06,423.09999999999997
2019-04-07,1047.4
2019-04-08,1038.1
2019-04-09,908.3000000000001
2019-04-10,423.5000000000001
2019-04-11,397.90000000000003
2019-04-12,398.4
2019-04-13,377.9999999999999
2019-04-14,534.4
2019-04-15,990.4999999999998
2019-04-16,1330.2
2019-04-17,1395.8999999999999
2019-04-18,1337.3
2019-04-19,863.2000000000002
2019-04-20,804.6000000000001
2019-04-21,932.0999999999999
2019-04-22,1362.5000000000005
2019-04-23,989.1999999999999
2019-04-24,734.3999999999997
2019-04-25,175.39999999999998
2019-04-26,231.00000000000003
2019-04-27,263.49999999999994
2019-04-28,217.59999999999997
2019-04-29,388.2
2019-04-30,613.6
2019-05-01,506.20000000000005
2019-05-02,278.09999999999997
2019-05-03,271.0
2019-05-04,218.10000000000002
2019-05-05,338.69999999999993
2019-05-06,203.29999999999995
2019-05-07,313.7
2019-05-08,272.90000000000003
2019-05-09,312.29999999999995
2019-05-10,274.20000000000005
2019-05-11,314.6
2019-05-12,200.5
2019-05-13,265.8
2019-05-14,256.2
2019-05-15,515.8000000000001
2019-05-16,383.8
2019-05-17,390.3
2019-05-18,422.6000000000001
2019-05-19,456.09999999999997
2019-05-20,441.6000000000001
2019-05-21,249.4
2019-05-22,211.60000000000002
2019-05-23,223.20000000000002
2019-05-24,315.0
2019-05-25,171.29999999999998
2019-05-26,169.40000000000003
2019-05-27,193.0
2019-05-28,126.70000000000003
2019-05-29,204.79999999999998
2019-05-30,228.89999999999998
2019-05-31,138.79999999999998
2019-06-01,183.0
2019-06-02,231.29999999999998
2019-06-03,284.5
2019-06-04,324.29999999999995
2019-06-05,191.00000000000003
2019-06-06,177.0
2019-06-07,263.99999999999994
2019-06-08,168.10000000000002
2019-06-09,180.79999999999998
2019-06-10,135.3
2019-06-11,158.79999999999998
2019-06-12,147.3
2019-06-13,169.60000000000005
2019-06-14,163.90000000000003
2019-06-15,163.1
2019-06-16,165.70000000000005
2019-06-17,201.0
2019-06-18,275.3
2019-06-19,351.9
2019-06-20,178.49999999999997
2019-06-21,195.70000000000005
2019-06-22,189.70000000000005
2019-06-23,534.1
2019-06-24,578.1999999999999
2019-06-25,450.70000000000005
2019-06-26,305.9
2019-06-27,325.00000000000006
2019-06-28,511.7000000000001
2019-06-29,540.7
2019-06-30,224.1
2019-07-01,168.9
2019-07-02,245.49999999999997
2019-07-03,270.6
2019-07-04,241.3
2019-07-05,309.50000000000006
2019-07-06,190.70000000000002
2019-07-07,236.1
2019-07-08,239.0
2019-07-09,288.29999999999995
2019-07-10,314.0999999999999
2019-07-11,255.70000000000002
2019-07-12,211.20000000000007
2019-07-13,196.7
2019-07-14,183.3
2019-07-15,177.40000000000003
2019-07-16,274.09999999999997
2019-07-17,336.8
2019-07-18,295.70000000000005
2019-07-19,196.8
2019-07-20,163.00000000000006
2019-07-21,154.3
2019-07-22,236.5
2019-07-23,395.3999999999999
2019-07-24,410.70000000000005
2019-07-25,709.2
2019-07-26,343.09999999999997
2019-07-27,188.89999999999998
2019-07-28,201.79999999999995
2019-07-29,207.19999999999996
2019-07-30,251.29999999999995
2019-07-31,194.10000000000002
2019-08-01,251.40000000000003
2019-08-02,316.7
2019-08-03,248.50000000000003
2019-08-04,287.5
2019-08-05,223.2
2019-08-06,276.0
2019-08-07,190.4
2019-08-08,190.99999999999997
2019-08-09,234.60000000000005
2019-08-10,362.99999999999994
2019-08-11,262.80000000000007
2019-08-12,211.30000000000004
2019-08-13,158.7
2019-08-14,144.80000000000004
2019-08-15,199.10000000000002
2019-08-16,180.29999999999998
2019-08-17,226.8
2019-08-18,196.09999999999997
2019-08-19,228.9
2019-08-20,263.0
2019-08-21,294.90000000000003
2019-08-22,266.20000000000005
2019-08-23,288.7
2019-08-24,669.8
2019-08-25,1038.2
2019-08-26,799.9
2019-08-27,760.8
2019-08-28,220.8
2019-08-29,179.90000000000003
2019-08-30,248.79999999999998
2019-08-31,207.1
2019-09-01,154.2
2019-09-02,228.30000000000007
2019-09-03,196.59999999999997
2019-09-04,168.5
2019-09-05,226.80000000000007
2019-09-06,250.4
2019-09-07,212.3
2019-09-08,202.20000000000002
2019-09-09,220.4
2019-09-10,295.0
2019-09-11,177.0
2019-09-12,196.5
2019-09-13,233.49999999999997
2019-09-14,284.99999999999994
2019-09-15,242.10000000000005
2019-09-16,279.8
2019-09-17,269.40000000000003
2019-09-18,355.7
2019-09-19,375.59999999999997
2019-09-20,485.3999999999999
2019-09-21,562.4
2019-09-22,299.00000000000006
2019-09-23,165.80000000000004
2019-09-24,155.3
2019-09-25,130.60000000000002
2019-09-26,200.50000000000003
2019-09-27,266.1000000000001
2019-09-28,184.59999999999997
2019-09-29,101.30000000000001
2019-09-30,164.3
2019-10-01,211.79999999999995
2019-10-02,186.10000000000002
2019-10-03,345.80000000000007
2019-10-04,389.70000000000005
2019-10-05,291.3
2019-10-06,209.10000000000002
2019-10-07,173.5
2019-10-08,348.90000000000003
2019-10-09,204.09999999999997
2019-10-10,271.40000000000003
2019-10-11,156.2
2019-10-12,132.20000000000002
2019-10-13,166.40000000000003
2019-10-14,277.3
2019-10-15,192.3
2019-10-16,255.0
2019-10-17,216.5
2019-10-18,259.3
2019-10-19,223.79999999999995
2019-10-20,282.4
2019-10-21,213.2
2019-10-22,352.40000000000003
2019-10-23,573.3000000000001
2019-10-24,560.6999999999999
2019-10-25,211.4
2019-10-26,219.0
2019-10-27,356.2
2019-10-28,926.5999999999999
2019-10-29,260.70000000000005
2019-10-30,444.8
2019-10-31,812.2000000000002
2019-11-01,297.7
2019-11-02,223.59999999999997
2019-11-03,321.3
2019-11-04,303.00000000000006
2019-11-05,301.7
2019-11-06,514.6999999999999
2019-11-07,184.50000000000003
2019-11-08,445.79999999999995
2019-11-09,349.0999999999999
2019-11-10,325.8
2019-11-11,246.29999999999998
2019-11-12,186.79999999999998
2019-11-13,232.80000000000004
2019-11-14,164.3
2019-11-15,317.8
2019-11-16,447.8
2019-11-17,702.4000000000001
2019-11-18,292.6
2019-11-19,559.4000000000001
2019-11-20,332.80000000000007
2019-11-21,663.0999999999999
2019-11-22,273.3
2019-11-23,398.20000000000005
2019-11-24,442.90000000000003
2019-11-25,211.20000000000002
2019-11-26,208.79999999999995
2019-11-27,187.19999999999996
2019-11-28,292.70000000000005
2019-11-29,380.59999999999997
2019-11-30,426.8
2019-12-01,189.0
2019-12-02,488.0
2019-12-03,433.7999999999999
2019-12-04,633.3000000000001
2019-12-05,526.6
2019-12-06,110.7
2019-12-07,197.7
2019-12-08,251.00000000000003
2019-12-09,264.59999999999997
2019-12-10,263.20000000000005
2019-12-11,260.20000000000005
2019-12-12,172.9
2019-12-13,245.00000000000003
2019-12-14,312.3
2019-12-15,234.90000000000003
2019-12-16,221.10000000000002
2019-12-17,253.0
2019-12-18,303.0
2019-12-19,349.9999999999999
2019-12-20,116.2
2019-12-21,189.79999999999998
2019-12-22,206.5
2019-12-23,292.50000000000006
2019-12-24,286.5
2019-12-25,258.29999999999995
2019-12-26,245.10000000000008
2019-12-27,345.2
2019-12-28,391.7
2019-12-29,425.4000000000001
2019-12-30,523.0
2019-12-31,611.3
2020-01-01,896.35
2020-01-02,240.39999999999998
2020-01-03,224.60000000000002
2020-01-04,243.1
2020-01-05,134.7
2020-01-06,249.49999999999997
2020-01-07,374.2
2020-01-08,460.6
2020-01-09,182.5
2020-01-10,205.3
2020-01-11,274.09999999999997
2020-01-12,136.3
2020-01-13,208.50000000000006
2020-01-14,219.6
2020-01-15,196.99999999999997
2020-01-16,286.0
2020-01-17,172.0
2020-01-18,309.49999999999994
2020-01-19,465.8999999999999
2020-01-20,778.4999999999999
2020-01-21,891.6
2020-01-22,710.4
2020-01-23,370.69999999999993
2020-01-24,419.6000000000001
2020-01-25,633.0000000000001
2020-01-26,548.5000000000001
2020-01-27,175.59999999999997
2020-01-28,147.2
2020-01-29,336.8
2020-01-30,168.29999999999998
2020-01-31,69.0
2020-02-01,293.09999999999997
2020-02-02,344.1
2020-02-03,369.5
2020-02-04,287.9
2020-02-05,603.3000000000001
2020-02-06,586.8
2020-02-07,681.5999999999998
2020-02-08,365.9999999999999
2020-02-09,214.70000000000005
2020-02-10,235.20000000000002
2020-02-11,286.3999999999999
2020-02-12,219.70000000000002
2020-02-13,157.09999999999997
2020-02-14,331.79999999999995
2020-02-15,112.30000000000001
2020-02-16,82.5
2020-02-17,337.79999999999995
2020-02-18,213.79999999999995
2020-02-19,267.6
2020-02-20,121.20000000000002
2020-02-21,355.1
2020-02-22,336.29999999999995
2020-02-23,122.69999999999997
2020-02-24,106.7
2020-02-25,150.3
2020-02-26,193.29999999999998
2020-02-27,183.50000000000003
2020-02-28,223.0
2020-02-29,369.90000000000015
2020-03-01,219.00000000000003
2020-03-02,159.9
2020-03-03,272.80000000000007
2020-03-04,306.70000000000005
2020-03-05,279.0
2020-03-06,373.20000000000005
2020-03-07,460.79999999999995
2020-03-08,200.50000000000003
2020-03-09,227.10000000000002
2020-03-10,46.3
2020-03-11,126.6
2020-03-12,273.19999999999993
2020-03-13,304.6
2020-03-14,164.8
2020-03-15,142.79999999999998
2020-03-16,248.15000000000003
2020-03-17,288.2
2020-03-18,276.99999999999994
2020-03-19,315.20000000000005
2020-03-20,232.1
2020-03-21,312.6
2020-03-22,397.7000000000001
2020-03-23,497.6000000000001
2020-03-24,460.3999999999999
2020-03-25,731.2
2020-03-26,894.0000000000002
2020-03-27,945.8
2020-03-28,531.3000000000002
2020-03-29,317.0999999999999
2020-03-30,229.4
2020-03-31,305.30000000000007
2020-04-01,305.29999999999995
2020-04-02,206.4
2020-04-03,274.79999999999995
2020-04-04,316.0
2020-04-05,343.29999999999995
2020-04-06,236.9
2020-04-07,427.2
2020-04-08,1051.9999999999998
2020-04-09,1244.9
2020-04-10,865.6999999999998
2020-04-11,661.1999999999999
2020-04-12,605.0
2020-04-13,357.99999999999994
2020-04-14,314.70000000000005
2020-04-15,586.8000000000001
2020-04-16,1119.4
2020-04-17,421.0
2020-04-18,483.5000000000001
2020-04-19,390.99999999999994
2020-04-20,490.0
2020-04-21,650.3
2020-04-22,676.5
2020-04-23,743.4
2020-04-24,680.1
2020-04-25,397.79999999999995
2020-04-26,360.6
2020-04-27,545.1
2020-04-28,157.4
2020-04-29,221.3
2020-04-30,198.39999999999998
2020-05-01,172.49999999999997
2020-05-02,142.10000000000002
2020-05-03,203.1
2020-05-04,275.59999999999997
2020-05-05,257.50000000000006
2020-05-06,379.79999999999995
2020-05-07,427.3000000000001
2020-05-08,385.3
2020-05-09,740.3
2020-05-10,507.5
2020-05-11,272.3
2020-05-12,250.70000000000005
2020-05-13,233.39999999999998
2020-05-14,179.60000000000002
2020-05-15,277.8
2020-05-16,204.59999999999997
2020-05-17,222.9
2020-05-18,230.1
2020-05-19,193.6
2020-05-20,224.29999999999998
2020-05-21,296.70000000000005
2020-05-22,424.09999999999997
2020-05-23,387.1000000000001
2020-05-24,323.4
2020-05-25,286.8
2020-05-26,310.1000000000001
2020-05-27,317.7000000000001
2020-05-28,280.6
2020-05-29,332.9000000000001
2020-05-30,330.2
2020-05-31,287.5
2020-06-01,283.3
2020-06-02,321.8
2020-06-03,395.90000000000003
2020-06-04,202.4
2020-06-05,175.3
2020-06-06,166.79999999999998
2020-06-07,137.5
2020-06-08,259.4
2020-06-09,267.7
2020-06-10,320.69999999999993
2020-06-11,332.00000000000006
2020-06-12,509.2
2020-06-13,227.90000000000003
2020-06-14,263.8
2020-06-15,184.30000000000004
2020-06-16,180.0
2020-06-17,266.6
2020-06-18,145.20000000000002
2020-06-19,182.20000000000002
2020-06-20,162.60000000000002
2020-06-21,183.9
2020-06-22,318.8
2020-06-23,331.59999999999997
2020-06-24,511.7000000000001
2020-06-25,500.20000000000005
2020-06-26,403.7
2020-06-27,195.79999999999998
2020-06-28,182.1
2020-06-29,335.1
2020-06-30,154.6
2020-07-01,128.89999999999998
2020-07-02,140.70000000000002
2020-07-03,231.5
2020-07-04,145.69999999999996
2020-07-05,220.2
2020-07-06,280.80000000000007
2020-07-07,244.7
2020-07-08,138.8
2020-07-09,156.50000000000003
2020-07-10,140.6
2020-07-11,162.99999999999997
2020-07-12,211.89999999999998
2020-07-13,180.79999999999998
2020-07-14,192.50000000000003
2020-07-15,180.49999999999997
2020-07-16,184.00000000000003
2020-07-17,346.1000000000001
2020-07-18,208.89999999999995
2020-07-19,119.20000000000002
2020-07-20,203.10000000000002
2020-07-21,223.00000000000003
2020-07-22,251.00000000000006
2020-07-23,283.0
2020-07-24,186.4
2020-07-25,129.49999999999997
2020-07-26,213.10000000000002
2020-07-27,208.3
2020-07-28,194.10000000000002
2020-07-29,226.20000000000002
2020-07-30,224.0
2020-07-31,834.1999999999999
2020-08-01,225.89999999999998
2020-08-02,154.20000000000002
2020-08-03,175.89999999999998
2020-08-04,266.80000000000007
2020-08-05,176.99999999999997
2020-08-06,158.00000000000003
2020-08-07,484.19999999999993
2020-08-08,621.1
2020-08-09,610.0
2020-08-10,711.9999999999999
2020-08-11,970.3666666666669
2020-08-12,915.0333333333333
2020-08-13,701.4999999999999
2020-08-14,369.00000000000006
2020-08-15,387.20000000000005
2020-08-16,541.0000000000001
2020-08-17,195.69999999999996
2020-08-18,143.1
2020-08-19,166.70000000000005
2020-08-20,393.90000000000003
2020-08-21,400.69999999999993
2020-08-22,243.79999999999998
2020-08-23,172.7
2020-08-24,166.70000000000005
2020-08-25,165.60000000000002
2020-08-26,171.7
2020-08-27,254.39999999999998
2020-08-28,144.70000000000002
2020-08-29,176.7
2020-08-30,256.9
2020-08-31,223.1
2020-09-01,337.8
2020-09-02,252.1
2020-09-03,181.39999999999998
2020-09-04,265.99999999999994
2020-09-05,249.09999999999997
2020-09-06,219.8
2020-09-07,234.10000000000005
2020-09-08,161.29999999999995
2020-09-09,223.9
2020-09-10,285.50000000000006
2020-09-11,307.59999999999997
2020-09-12,198.00000000000003
2020-09-13,189.9
2020-09-14,455.05
2020-09-15,909.7000000000002
2020-09-16,608.5000000000001
2020-09-17,409.70000000000005
2020-09-18,412.3
2020-09-19,429.3999999999999
2020-09-20,418.49999999999994
2020-09-21,494.8
2020-09-22,493.30000000000007
2020-09-23,195.70000000000002
2020-09-24,133.8
2020-09-25,232.80000000000004
2020-09-26,193.7
2020-09-27,216.49999999999997
2020-09-28,283.1
2020-09-29,265.7
2020-09-30,227.80000000000004
2020-10-01,172.1
2020-10-02,160.20000000000002
2020-10-03,156.7
2020-10-04,63.8
2020-10-05,197.30000000000004
2020-10-06,153.1
2020-10-07,200.0
2020-10-08,149.9
2020-10-09,218.6
2020-10-10,154.49999999999997
2020-10-11,154.2
2020-10-12,212.99999999999997
2020-10-13,225.09999999999997
2020-10-14,239.50000000000003
2020-10-15,196.70000000000005
2020-10-16,244.20000000000002
2020-10-17,218.9
2020-10-18,372.6000000000001
2020-10-19,361.69999999999993
2020-10-20,407.4
2020-10-21,210.29999999999998
2020-10-22,227.20000000000005
2020-10-23,203.70000000000002
2020-10-24,176.9
2020-10-25,150.5
2020-10-26,247.70000000000002
2020-10-27,236.1
2020-10-28,281.1000000000001
2020-10-29,235.20000000000005
2020-10-30,154.0
