MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25
2019-11-10,1159.96,1123.62,2902.01,333.67,490.83,332.87
2019-11-17,1050.56,1111.61,2722.39,394.75,416.49,296.29
2019-11-24,1004.08,1089.88,2629.46,246.09,499.33,366.04
2019-12-01,1032.57,1154.54,2737.8,361.11,365.9,263.17
2019-12-08,1478.24,1229.71,3496.38,506.81,542.04,370.54
2019-12-15,546.04,954.99,1792.09,769.51,311.3,171.9
2019-12-22,639.15,1031.19,2011.28,597.12,301.39,207.76
2019-12-29,607.89,842.07,1774.06,594.76,376.94,296.64
2020-01-05,525.16,885.0,1690.14,517.38,448.5,327.21
2020-01-12,422.88,780.49,1428.91,837.36,352.39,119.11
2020-01-19,641.83,968.18,1952.39,724.86,376.27,138.16
2020-01-26,1723.21,1347.41,3989.43,200.89,806.87,547.34
2020-02-02,424.43,806.73,1457.51,908.04,313.6,87.86
2020-02-09,940.66,1033.79,2476.08,656.24,580.2,272.66
2020-02-16,425.42,753.87,1406.05,1001.89,311.68,90.88
2020-02-23,398.66,710.44,1321.7,1129.67,308.18,85.96
2020-03-01,429.14,785.09,1443.21,1068.99,274.94,87.7
2020-03-08,658.22,1055.35,2064.67,907.04,401.57,172.18
2020-03-15,399.64,663.2,1276.03,1178.27,298.19,94.52
2020-03-22,358.16,667.36,1216.41,1114.68,403.06,153.34
2020-03-29,228.35,706.54,1056.78,1304.81,621.62,382.49
2020-04-05,279.12,720.61,1148.61,1175.77,390.92,188.41
2020-04-12,203.31,896.45,1208.16,1218.52,828.94,607.38
2020-04-19,134.99,550.29,757.19,1440.69,572.33,325.85
2020-04-26,137.45,545.96,756.72,1618.23,571.74,323.21
2020-05-03,186.29,596.34,881.88,1226.74,325.01,162.18
2020-05-10,132.3,616.94,819.66,1654.34,530.67,341.14
2020-05-17,300.71,650.85,1112.01,1204.41,318.94,138.76
2020-05-24,258.59,611.7,1008.17,1230.14,423.65,243.67
2020-05-31,177.36,523.13,795.15,1390.14,376.73,185.46
2020-06-07,315.04,616.43,1099.43,1064.79,370.59,239.93
2020-06-14,240.41,571.41,939.94,992.64,424.37,260.59
2020-06-21,311.54,662.69,1140.36,843.67,309.43,152.92
2020-06-28,225.44,657.18,1002.75,1184.83,437.11,237.41
2020-07-05,329.34,453.77,958.75,645.19,255.17,115.66
2020-07-12,538.19,707.44,1532.73,549.11,297.47,163.68
2020-07-19,572.9,714.04,1592.43,541.21,285.81,143.7
2020-07-26,387.44,659.28,1253.41,676.84,294.81,161.54
2020-08-02,381.23,697.94,1282.45,685.03,338.44,194.41
2020-08-09,403.44,891.14,1509.79,867.26,500.33,228.77
2020-08-16,282.28,936.51,1369.34,1278.42,565.59,520.18
2020-08-23,299.34,553.4,1012.28,671.59,297.14,211.95
2020-08-30,433.13,637.64,1301.71,653.59,244.4,152.75
2020-09-06,578.56,862.56,1749.72,542.76,329.3,214.89
2020-09-13,554.52,787.98,1638.35,497.99,305.51,202.51
2020-09-20,380.91,830.75,1414.86,901.86,517.9,367.53
2020-09-27,514.36,812.66,1601.32,718.27,338.71,231.77
2020-10-04,443.13,785.72,1465.18,533.96,267.0,192.0
