MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-04-14,1574.42,1974.63,4388.65,1055.0,868.0
2018-04-15,936.38,1503.55,2939.38,785.75,625.0
2018-04-16,1464.0,1775.73,4020.47,655.0,250.0
2018-04-17,1302.95,1668.55,3666.43,589.5,258.0
2018-04-18,3238.2,2568.62,7534.1,830.5,402.75
2018-04-19,3860.46,3175.45,9094.78,1400.38,684.21
2018-04-20,2453.48,2482.49,6244.0,1157.0,414.15
2018-04-21,1622.57,2221.88,4709.52,1236.0,585.24
2018-04-22,436.77,1175.29,1844.75,929.25,439.34
2018-04-23,1302.84,1501.75,3499.07,537.0,266.06
2018-04-24,1422.4,1456.58,3637.68,458.62,226.5
2018-04-25,1165.23,1497.88,3284.42,507.75,227.75
2018-04-26,1265.18,1618.4,3558.68,550.25,206.5
2018-04-27,3289.9,2364.3,7408.83,552.25,242.31
2018-04-28,1083.25,1319.85,2980.98,371.0,225.98
2018-04-29,393.12,840.68,1443.4,362.5,162.66
2018-04-30,700.72,1144.98,2219.42,452.25,197.83
2018-05-01,1809.88,1865.78,4640.9,518.25,167.75
2018-05-02,1523.38,1768.98,4105.18,382.75,164.21
2018-05-03,2856.42,2261.1,6640.8,750.0,283.0
2018-05-04,2683.35,2366.3,6480.5,870.25,345.0
2018-05-05,1855.22,2465.77,5310.22,762.75,453.5
2018-05-06,1037.63,2166.36,3756.86,915.5,615.5
2018-05-07,911.73,2233.04,3631.13,1006.0,851.54
2018-05-08,2291.67,2328.05,5841.84,1093.5,792.83
2018-05-09,2000.7,1864.35,4932.12,648.25,513.98
2018-05-10,1435.58,1704.05,3905.52,555.0,417.13
2018-05-11,2121.3,2090.78,5343.65,709.0,328.02
2018-05-12,1871.02,1947.8,4816.62,519.75,279.0
2018-05-13,887.32,1518.52,2879.28,604.25,320.0
2018-05-14,763.65,1129.42,2300.48,556.12,162.5
2018-05-15,1042.88,1404.6,3003.45,695.5,242.0
2018-05-16,1035.45,1183.3,2770.68,795.0,246.0
2018-05-17,1189.75,1320.65,3144.8,791.5,264.0
2018-05-18,1872.0,1800.18,4670.32,743.5,261.5
2018-05-19,1721.45,2034.9,4674.6,774.75,382.0
2018-05-20,1080.05,1757.5,3414.0,751.25,515.0
2018-05-21,2332.4,2331.23,5907.42,1128.25,635.53
2018-05-22,981.7,1319.72,2828.62,945.25,466.72
2018-05-23,734.03,1187.83,2313.35,904.75,472.0
2018-05-24,1876.62,1834.0,4711.0,1053.5,629.5
2018-05-25,2216.15,2261.68,5659.62,948.0,656.75
2018-05-26,743.22,1690.85,2830.32,1134.5,936.0
2018-05-27,779.9,1648.28,2844.23,951.25,587.5
2018-05-28,381.38,1155.15,1740.08,1025.25,791.0
2018-05-29,853.12,1340.6,2648.38,836.25,550.0
2018-05-30,2636.3,2244.18,6286.3,898.88,489.0
2018-05-31,2235.1,2442.95,5870.3,1125.0,853.0
2018-06-01,1981.1,2240.45,5278.1,799.88,548.5
2018-06-02,808.58,1502.62,2742.18,526.75,265.5
2018-06-03,1051.58,1854.38,3466.5,557.28,272.5
2018-06-04,1215.35,1479.42,3343.0,673.84,402.0
2018-06-05,1196.35,1316.75,3151.1,734.0,301.5
2018-06-06,1859.25,1783.3,4634.08,910.75,377.0
2018-06-07,2335.36,2000.76,5581.48,852.5,461.0
2018-06-08,1868.52,1901.95,4767.28,782.5,345.0
2018-06-09,1081.4,1602.5,3260.72,669.0,354.0
2018-06-10,685.98,1233.55,2285.62,573.75,371.5
2018-06-11,2146.95,1865.68,5157.6,597.25,253.0
2018-06-12,1546.65,1464.93,3836.42,667.25,293.0
2018-06-13,1943.8,1926.28,4906.75,645.12,275.0
2018-06-14,1129.65,1473.48,3205.38,615.0,295.5
2018-06-15,1575.52,1890.48,4306.23,719.75,301.5
2018-06-16,699.92,1214.75,2288.08,475.5,199.0
2018-06-17,499.65,915.12,1681.28,392.25,212.0
2018-06-18,784.05,1198.9,2401.25,528.5,279.0
2018-06-19,1327.1,1234.68,3269.38,455.75,199.0
2018-06-20,1267.32,1102.22,3045.15,476.25,218.0
2018-06-21,799.42,1117.75,2343.52,606.75,244.0
2018-06-22,1267.15,1574.45,3517.58,610.5,269.0
2018-06-23,595.72,1301.52,2215.12,550.25,243.5
2018-06-24,834.65,1614.0,2893.68,564.75,299.25
2018-06-25,1696.4,2561.32,5162.35,836.5,342.0
2018-06-26,2127.17,2366.5,5628.22,762.75,321.5
2018-06-27,1807.78,1909.28,4681.02,734.75,339.0
2018-06-28,1541.32,1763.7,4127.12,818.25,446.5
2018-06-29,1356.3,1613.22,3693.22,718.5,315.5
2018-06-30,927.52,1525.5,2947.68,638.25,262.5
2018-07-01,785.65,1676.45,2881.0,700.75,339.5
2018-07-02,1308.69,1899.64,3906.44,640.0,224.25
2018-07-03,1650.25,2025.2,4555.53,573.5,229.0
2018-07-04,2448.63,2463.85,6218.08,772.5,320.5
2018-07-05,2383.38,2894.58,6549.1,1023.5,474.5
2018-07-06,1387.19,2407.49,4534.64,945.0,420.0
2018-07-07,785.13,1879.22,3083.2,911.0,635.5
2018-07-08,635.67,1561.88,2536.28,641.0,345.0
2018-07-09,1826.1,2100.88,4901.02,748.75,299.75
2018-07-10,797.08,1013.42,2235.18,552.75,239.0
2018-07-11,1132.2,1317.6,3053.38,653.75,289.5
2018-07-12,1885.5,2082.7,4973.6,774.0,345.5
2018-07-13,2018.5,2255.07,5350.02,714.25,361.0
2018-07-14,1261.62,2136.12,4070.32,600.25,306.0
2018-07-15,735.62,1869.38,2997.33,497.25,290.0
2018-07-16,1554.52,2162.88,4546.28,625.0,293.0
2018-07-17,1180.12,1448.48,3257.65,504.75,212.5
2018-07-18,2283.65,2284.48,5785.95,581.75,229.5
2018-07-19,2577.78,2618.05,6570.62,636.5,273.0
2018-07-20,2167.18,2516.3,5839.2,675.5,325.0
2018-07-21,1017.2,2168.1,3727.97,731.5,458.5
2018-07-22,761.8,1628.22,2796.0,508.25,318.5
2018-07-23,1824.65,2115.35,4913.33,570.5,270.5
2018-07-24,1637.92,1996.2,4507.7,676.75,330.0
2018-07-25,2003.55,2220.78,5292.92,807.25,360.5
2018-07-26,2088.5,2534.7,5736.75,939.25,710.96
2018-07-27,1696.14,2297.62,4898.56,809.5,466.54
2018-07-28,778.0,966.9,2159.88,505.25,241.5
2018-07-29,403.28,563.65,1182.08,323.75,197.0
2018-07-30,1448.6,1165.28,3386.3,367.0,183.5
2018-07-31,1360.4,1504.9,3590.85,486.25,210.5
2018-08-01,1582.67,1737.65,4164.48,549.0,248.5
2018-08-02,1752.78,2039.1,4726.55,687.0,268.0
2018-08-03,1570.98,1981.34,4390.32,731.0,287.5
2018-08-04,652.97,1091.23,2092.45,481.0,209.5
2018-08-05,649.02,1334.2,2328.98,446.75,214.5
2018-08-06,2549.88,2792.7,6702.38,791.0,343.47
2018-08-07,1538.22,2416.38,4774.88,652.0,306.88
2018-08-08,1503.4,1591.42,3896.5,422.5,213.64
2018-08-09,2536.75,1885.22,5774.9,492.25,301.5
2018-08-10,1600.6,1596.5,4050.6,379.75,198.0
