MeasurementDateGMT, PM10 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2018-05-06,1120.0,699.3,1527.6,2600.0
2018-05-07,1244.0,501.9,1606.6,2375.9
2018-05-08,892.5,929.9,1450.5,2876.3
2018-05-09,659.0,1014.0,1140.7,2695.7
2018-05-10,632.0,696.7,924.5,1992.7
2018-05-11,813.0,1199.8,1573.8,3413.5
2018-05-12,633.5,1175.1,1402.3,3204.0
2018-05-13,753.0,601.6,884.8,1807.0
2018-05-14,624.0,271.6,599.9,1016.4
2018-05-15,684.5,358.6,769.7,1319.8
2018-05-16,858.0,312.2,542.6,1021.5
2018-05-17,930.0,373.3,681.9,1254.4
2018-05-18,822.0,745.5,1165.6,2308.3
2018-05-19,868.0,671.2,1149.8,2179.1
2018-05-20,828.0,571.1,999.0,1875.0
2018-05-21,1136.0,898.5,1604.8,2982.4
2018-05-22,851.0,325.4,687.9,1187.5
2018-05-23,882.0,353.8,584.2,1126.9
2018-05-24,1528.0,814.5,1170.0,2418.8
2018-05-25,1020.0,1051.4,1475.9,3088.2
2018-05-26,1326.0,400.7,939.1,1553.2
2018-05-27,1353.0,723.5,1312.6,2421.9
2018-05-28,1027.0,355.6,972.2,1517.1
2018-05-29,908.0,530.7,970.4,1783.6
2018-05-30,1010.0,1451.9,1590.3,3816.2
2018-05-31,1356.0,991.1,1433.3,2953.2
2018-06-01,812.0,1130.4,1450.1,3183.2
2018-06-02,497.0,709.1,814.1,1901.5
2018-06-03,517.0,668.5,1042.6,2067.5
2018-06-04,732.0,619.9,869.3,1820.1
2018-06-05,700.0,430.8,736.6,1396.8
2018-06-06,970.0,579.3,1016.2,1904.7
2018-06-07,865.0,843.5,1225.7,2519.1
2018-06-08,977.94,600.05,1090.4,2010.3
2018-06-09,1031.43,635.5,1009.3,1983.9
2018-06-10,1030.82,544.4,736.1,1571.2
2018-06-11,1030.21,757.1,977.6,2138.9
2018-06-12,1029.6,710.3,833.7,1922.4
2018-06-13,1028.99,1078.1,1370.5,3023.1
2018-06-14,1028.38,663.8,856.8,1874.9
2018-06-15,1027.77,844.8,1120.3,2415.6
2018-06-16,1027.16,732.2,763.9,1886.5
2018-06-17,1026.55,706.7,620.6,1704.5
2018-06-18,1025.94,489.4,620.7,1370.4
2018-06-19,1025.33,700.5,712.1,1786.1
2018-06-20,1024.72,763.1,663.0,1832.9
2018-06-21,1024.11,367.1,402.5,964.8
2018-06-22,1023.5,485.7,764.5,1509.2
2018-06-23,1022.89,338.9,708.4,1228.0
2018-06-24,1022.28,456.7,1109.8,1809.9
2018-06-25,1021.67,614.9,1503.9,2446.2
2018-06-26,1021.06,751.6,1423.9,2576.5
2018-06-27,1020.45,653.4,947.7,1949.3
2018-06-28,1019.84,507.8,956.9,1736.1
2018-06-29,1019.23,478.8,932.7,1667.0
2018-06-30,1018.62,392.1,817.6,1418.8
2018-07-01,1018.01,347.9,1055.3,1588.7
2018-07-02,1017.4,338.8,1055.7,1575.0
2018-07-03,1016.79,621.5,897.4,1850.4
2018-07-04,1016.18,872.9,1479.9,2817.9
2018-07-05,1015.57,925.0,1784.4,3203.0
2018-07-06,1014.96,487.5,1248.7,1996.4
2018-07-07,1014.35,400.3,1183.3,1796.9
