MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2018-04-18,601.31,1170.87,2092.68,655.99,951.6
2018-04-19,958.39,1829.7,3299.27,1054.2,1142.9
2018-04-20,825.27,1436.6,2702.03,847.54,785.0
2018-04-21,462.34,1327.77,2036.99,1115.34,1196.4
2018-04-22,310.93,792.51,1269.41,778.6,1489.9
2018-04-23,398.7,685.9,1297.12,356.66,1220.4
2018-04-24,436.41,665.68,1334.34,393.31,1016.9
2018-04-25,440.82,706.72,1382.82,343.01,1137.7
2018-04-26,440.61,780.4,1455.94,444.87,1087.9
2018-04-27,755.95,1247.94,2406.86,482.13,585.7
2018-04-28,705.37,1165.96,2247.24,312.14,527.6
2018-04-29,382.13,716.73,1302.77,307.24,1011.5
2018-04-30,564.95,944.5,1810.72,339.58,747.4
2018-05-01,581.71,964.61,1856.44,406.4,902.5
2018-05-02,576.74,1006.97,1891.05,261.32,831.2
2018-05-03,864.99,1186.83,2513.06,469.48,739.8
2018-05-04,850.34,1329.49,2633.3,650.39,828.2
2018-05-05,852.35,1649.73,2956.22,784.03,1064.0
2018-05-06,711.34,1687.45,2777.87,1047.11,1224.4
2018-05-07,777.38,1957.54,3149.65,1138.82,1283.7
2018-05-08,749.97,1497.32,2647.46,960.11,1014.8
2018-05-09,590.89,959.85,1865.78,582.51,1072.6
2018-05-10,579.85,1021.85,1911.14,403.58,1007.9
2018-05-11,407.05,922.93,1547.87,595.58,1166.3
2018-05-12,528.09,1055.22,1865.02,458.13,815.7
2018-05-13,531.08,1080.96,1895.06,507.79,632.7
2018-05-14,604.7,1073.73,2001.05,397.72,914.1
2018-05-15,607.17,1227.07,2157.93,479.99,1072.35
2018-05-16,555.85,932.97,1785.56,599.33,885.2
2018-05-17,630.26,993.13,1959.2,658.19,899.2
2018-05-18,778.16,1298.5,2492.13,662.05,736.5
2018-05-19,517.73,1135.46,1929.23,732.11,887.2
2018-05-20,329.23,900.8,1405.91,729.26,1048.9
2018-05-21,763.16,1632.89,2803.26,974.28,788.7
2018-05-22,516.97,1047.57,1840.23,771.3,1203.1
2018-05-23,547.19,1024.52,1863.66,770.65,1152.0
2018-05-24,778.6,1229.96,2423.85,869.32,628.9
2018-05-25,648.47,1296.16,2290.14,768.64,754.1
2018-05-26,309.23,1036.42,1510.68,1055.22,1605.8
2018-05-27,271.46,994.85,1410.8,823.49,1453.0
2018-05-28,395.85,1152.49,1759.12,919.99,1132.0
2018-05-29,519.0,1200.43,1996.03,706.2,1213.0
2018-05-30,504.82,1201.71,1975.41,700.43,805.4
2018-05-31,445.19,1236.65,1919.05,982.15,1020.7
2018-06-01,435.52,1021.12,1688.7,649.24,1139.2
2018-06-02,409.35,903.78,1531.35,362.99,1266.0
2018-06-03,317.9,890.34,1377.99,427.42,1440.7
2018-06-04,530.87,1052.61,1866.7,534.05,1036.65
2018-06-05,599.49,918.98,1837.85,492.15,1145.7
2018-06-06,669.21,1075.54,2101.78,710.26,1004.3
2018-06-07,670.54,1159.51,2187.71,669.62,882.5
2018-06-08,701.86,1135.38,2211.76,630.04,989.5
2018-06-09,401.01,847.8,1462.91,562.25,1353.6
2018-06-10,317.11,683.36,1169.93,482.51,1257.7
2018-06-11,524.39,860.67,1665.01,436.53,1102.8
2018-06-12,710.11,999.49,2088.24,436.59,743.4
2018-06-13,562.83,897.08,1759.74,456.98,1143.7
2018-06-14,479.35,756.86,1492.02,479.71,1002.5
2018-06-15,532.15,926.42,1742.41,480.21,1014.9
2018-06-16,290.68,520.69,966.81,373.43,1241.8
2018-06-17,223.71,369.36,712.55,304.98,1171.0
2018-06-18,336.93,537.97,1054.85,378.21,1067.1
2018-06-19,413.76,539.29,1174.17,326.14,654.2
2018-06-20,422.2,549.24,1197.07,305.17,473.0
2018-06-21,523.94,785.65,1589.36,380.84,1164.9
2018-06-22,576.63,928.94,1813.07,489.88,1028.0
2018-06-23,430.48,912.1,1571.77,466.82,1207.1
2018-06-24,369.55,974.49,1540.71,507.73,1582.8
2018-06-25,382.94,1162.05,1749.12,598.19,1933.7
2018-06-26,480.64,1096.43,1833.28,583.04,1418.1
2018-06-27,493.55,901.94,1658.5,606.31,1147.8
2018-06-28,545.03,1004.12,1839.34,664.37,1249.1
2018-06-29,602.46,1066.53,1990.83,575.72,1220.1
2018-06-30,425.42,881.11,1533.6,556.79,1551.1
2018-07-01,327.78,1141.24,1643.84,638.01,1871.9
2018-07-02,453.9,1057.18,1752.77,566.94,1803.8
2018-07-03,409.41,878.17,1505.5,559.58,1532.7
2018-07-04,494.18,1076.07,1833.49,655.42,1279.2
2018-07-05,457.08,1243.29,1943.76,719.96,1417.1
2018-07-06,596.18,1484.66,2398.56,732.01,1356.2
2018-07-07,398.87,1200.38,1812.01,763.36,1641.5
2018-07-08,363.49,1073.55,1630.84,584.31,1545.3
2018-07-09,574.45,1161.09,2041.97,556.39,1020.0
2018-07-10,685.88,931.47,1983.54,410.73,836.4
2018-07-11,683.39,1007.48,2055.3,641.02,883.4
2018-07-12,614.95,1111.95,2054.97,629.34,1034.0
2018-07-13,521.82,1102.64,1902.29,608.13,1209.65
2018-07-14,283.38,862.33,1296.98,520.35,1841.9
2018-07-15,273.99,875.99,1296.01,409.24,1796.8
2018-07-16,408.72,976.46,1603.09,460.97,1479.6
2018-07-17,368.42,602.3,1167.43,371.9,1150.1
2018-07-18,431.77,867.81,1529.83,415.5,1178.2
2018-07-19,524.08,1175.95,1979.28,568.91,1175.3
2018-07-20,415.41,1102.09,1739.02,624.7,1378.0
2018-07-21,264.89,919.51,1325.73,544.02,1895.7
2018-07-22,284.07,851.53,1286.95,401.61,1301.6
2018-07-23,359.31,827.57,1378.48,448.35,1407.9
2018-07-24,348.84,827.18,1361.94,464.1,1576.5
2018-07-25,510.37,1128.18,1910.68,533.39,1481.8
2018-07-26,413.36,1240.53,1874.27,766.3,2028.1
2018-07-27,406.01,1053.32,1675.98,619.63,1671.75
2018-07-28,237.78,449.1,813.22,451.94,1407.4
2018-07-29,141.1,318.71,535.21,313.18,985.9
2018-07-30,355.17,575.85,1120.59,318.89,733.9
2018-07-31,434.51,764.04,1430.31,350.69,1133.1
2018-08-01,403.64,746.82,1365.76,404.92,1251.9
2018-08-02,386.4,850.36,1442.67,428.02,1258.0
2018-08-03,545.5,1167.4,2003.9,503.54,1244.3
