MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-12,380.3,671.85,1256.5,455.15
2018-05-13,300.6,529.7,992.05,459.25
2018-05-14,149.22,381.6,610.88,309.6
2018-05-15,156.6,421.05,661.1,314.5
2018-05-16,75.05,226.8,341.55,446.2
2018-05-17,82.55,261.75,388.5,447.8
2018-05-18,193.71,484.59,781.76,490.17
2018-05-19,162.69,550.26,799.14,560.58
2018-05-20,116.35,598.65,777.05,593.6
2018-05-21,150.45,553.3,783.7,736.65
2018-05-22,109.3,312.1,479.65,622.65
2018-05-23,87.55,269.25,403.42,592.57
2018-05-24,232.2,550.25,906.1,620.63
2018-05-25,353.15,836.85,1378.45,633.94
2018-05-26,48.15,264.55,338.15,808.45
2018-05-27,162.75,579.75,828.95,706.95
2018-05-28,71.05,327.7,436.35,705.55
2018-05-29,84.13,290.35,419.62,488.7
2018-05-30,302.2,703.15,1166.6,528.55
2018-05-31,121.9,637.35,824.05,689.8
2018-06-01,411.2,823.05,1453.15,621.6
2018-06-02,369.42,622.76,1188.16,487.02
2018-06-03,176.67,473.44,742.94,453.58
2018-06-04,78.35,328.67,447.86,430.74
2018-06-05,79.99,308.66,430.27,413.81
2018-06-06,83.08,309.75,436.39,459.12
2018-06-07,77.96,325.69,444.26,429.09
2018-06-08,85.15,335.43,465.03,404.4
2018-06-09,60.78,325.62,418.14,380.41
2018-06-10,42.77,306.31,371.26,377.23
2018-06-11,64.98,342.7,441.55,324.89
2018-06-12,102.89,400.88,557.8,308.56
2018-06-13,330.63,626.42,1132.61,349.32
2018-06-14,301.75,546.6,1009.15,365.33
2018-06-15,423.05,694.4,1343.05,372.45
2018-06-16,247.45,506.1,885.55,284.16
2018-06-17,207.3,405.0,723.0,264.35
2018-06-18,259.3,388.65,786.15,320.35
2018-06-19,372.2,418.95,989.75,228.2
2018-06-20,347.25,405.0,937.6,229.85
2018-06-21,235.1,402.5,763.25,305.05
2018-06-22,198.8,492.55,797.5,368.2
2018-06-23,333.65,644.95,1156.25,373.88
2018-06-24,113.6,529.85,703.95,385.3
2018-06-25,188.05,678.0,966.25,470.8
2018-06-26,157.0,656.05,897.2,433.65
2018-06-27,75.2,302.9,418.25,397.75
2018-06-28,77.95,296.3,415.95,484.1
2018-06-29,96.4,271.65,419.6,400.7
2018-06-30,51.8,214.8,294.0,397.85
2018-07-01,50.25,346.5,423.6,501.6
2018-07-02,63.9,335.4,433.3,433.25
2018-07-03,56.1,252.95,339.25,395.65
2018-07-04,178.15,706.9,979.95,520.7
2018-07-05,337.75,900.7,1418.55,625.15
2018-07-06,280.25,765.9,1195.45,606.75
2018-07-07,268.85,699.35,1111.4,637.0
2018-07-08,146.2,479.8,703.95,425.75
2018-07-09,252.98,559.3,947.28,456.55
2018-07-10,132.65,241.15,444.4,319.32
2018-07-11,116.75,260.45,439.35,337.65
2018-07-12,166.0,418.15,672.5,452.85
2018-07-13,114.35,488.65,664.1,417.65
2018-07-14,314.85,879.65,1362.6,509.03
2018-07-15,250.65,709.9,1094.4,387.5
2018-07-16,313.15,697.05,1177.4,378.08
2018-07-17,390.45,626.4,1224.95,342.43
2018-07-18,435.8,916.8,1585.1,432.08
2018-07-19,337.3,955.35,1472.35,467.4
2018-07-20,251.85,1015.8,1401.8,499.85
2018-07-21,244.2,763.7,1138.25,523.95
2018-07-22,284.75,859.3,1296.05,416.0
2018-07-23,355.3,940.55,1484.95,427.6
2018-07-24,348.9,799.6,1335.0,386.4
2018-07-25,248.5,781.85,1162.85,471.72
2018-07-26,170.31,886.06,1146.61,673.85
2018-07-27,343.03,872.67,1397.98,494.68
2018-07-28,155.21,434.87,672.63,383.15
2018-07-29,131.6,371.76,573.19,209.85
2018-07-30,181.63,398.11,676.59,257.8
2018-07-31,204.55,477.4,791.0,261.15
2018-08-01,338.15,672.25,1190.8,338.4
2018-08-02,415.05,766.3,1402.25,352.85
2018-08-03,335.35,766.75,1280.7,376.45
2018-08-04,164.55,479.05,731.0,316.95
2018-08-05,148.45,688.65,915.95,353.55
2018-08-06,359.9,1008.45,1560.1,434.45
2018-08-07,413.65,865.35,1499.45,447.2
2018-08-08,331.4,499.7,1007.9,259.7
2018-08-09,603.2,830.95,1755.95,291.9
2018-08-10,515.7,673.6,1464.35,262.1
2018-08-11,350.75,602.4,1140.25,263.1
2018-08-12,228.95,448.2,799.15,253.65
2018-08-13,346.35,515.35,1046.65,278.65
2018-08-14,488.4,585.0,1333.75,274.55
2018-08-15,334.1,503.0,1015.15,320.0
2018-08-16,458.4,581.1,1284.15,277.05
2018-08-17,567.15,551.65,1421.25,311.6
2018-08-18,369.2,482.6,1048.9,312.8
2018-08-19,274.95,382.9,804.4,257.4
2018-08-20,477.3,584.3,1316.4,234.2
2018-08-21,425.35,670.95,1323.2,267.25
2018-08-22,429.8,585.85,1245.3,273.2
2018-08-23,381.55,503.45,1088.3,240.85
