MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2018-04-05,262.62,96.4,383.28,535.18,1123.0,1680.9
2018-04-06,575.08,260.3,610.4,838.72,1774.78,1387.8
2018-04-07,573.24,398.8,304.15,841.78,1308.07,1021.6
2018-04-08,438.3,365.7,339.25,771.97,1292.22,869.5
2018-04-09,550.95,523.0,606.87,1120.38,2051.48,637.9
2018-04-10,723.91,650.8,642.95,1310.4,2296.05,752.5
2018-04-11,957.01,951.9,721.32,1022.45,2128.72,478.8
2018-04-12,813.62,739.1,706.11,846.65,1929.32,727.15
2018-04-13,554.07,462.4,453.2,719.5,1414.38,966.5
2018-04-14,763.91,621.8,293.1,802.7,1252.18,964.1
2018-04-15,610.35,431.4,104.98,517.25,678.32,1226.4
2018-04-16,468.3,183.4,203.5,477.25,789.18,1877.2
2018-04-17,483.66,182.0,173.08,389.9,655.38,1951.3
2018-04-18,628.04,252.1,482.67,879.97,1620.02,1459.4
2018-04-19,917.84,600.9,636.25,1331.82,2307.52,1533.0
2018-04-20,807.24,460.8,645.22,1075.73,2064.7,1334.7
2018-04-21,920.59,681.5,520.87,1129.07,1926.64,1572.8
2018-04-22,748.87,363.8,378.24,746.16,1324.64,1684.7
2018-04-23,460.32,132.5,217.92,483.14,816.22,1640.95
2018-04-24,424.86,131.3,209.78,377.85,699.4,1475.0
2018-04-25,301.53,122.5,205.88,405.35,721.0,1683.3
2018-04-26,356.5,138.2,189.08,390.42,680.12,1694.1
2018-04-27,374.78,204.6,431.08,856.1,1517.02,1177.4
2018-04-28,262.81,209.3,291.05,709.5,1155.77,1342.4
2018-04-29,266.85,154.7,138.7,451.3,663.8,1751.2
2018-04-30,352.08,194.5,323.2,712.65,1208.45,1521.5
2018-05-01,315.46,158.4,284.85,548.2,984.88,1561.6
2018-05-02,238.29,107.2,272.98,584.38,1002.85,1584.1
2018-05-03,387.39,191.8,582.2,802.65,1695.2,1185.4
2018-05-04,514.46,274.4,476.65,843.45,1574.36,1422.7
2018-05-05,569.97,428.0,374.62,1029.85,1604.32,1579.8
2018-05-06,780.82,735.3,219.35,1121.25,1457.52,1778.3
2018-05-07,868.45,770.1,299.59,1181.61,1641.78,1771.5
2018-05-08,708.89,481.4,233.79,725.49,1084.25,1558.8
2018-05-09,518.34,214.7,214.36,556.96,886.03,1310.6
2018-05-10,389.08,186.9,242.86,556.54,929.17,1605.7
2018-05-11,502.01,216.8,268.13,516.43,927.5,1617.0
2018-05-12,352.45,233.2,211.28,641.6,965.52,1184.5
2018-05-13,416.3,294.2,225.25,692.97,1038.53,1039.0
2018-05-14,339.82,213.3,329.25,712.58,1217.05,1542.8
2018-05-15,382.54,205.7,304.0,728.15,1194.18,2047.8
2018-05-16,467.25,218.9,265.55,538.28,945.45,1629.1
2018-05-17,483.6,208.4,332.25,539.28,1048.45,1642.2
2018-05-18,498.71,262.6,449.72,824.91,1514.02,1401.2
2018-05-19,519.99,358.2,222.82,663.4,1005.22,1369.1
2018-05-20,551.21,398.1,128.4,558.05,754.8,1433.2
2018-05-21,763.65,623.0,376.28,1089.05,1666.48,1418.4
2018-05-22,646.21,411.2,279.19,618.04,1046.78,2056.5
2018-05-23,606.01,421.7,265.67,580.88,987.98,2109.7
2018-05-24,710.05,491.4,490.3,881.02,1632.65,1223.1
2018-05-25,641.55,531.5,495.7,997.0,1756.98,1322.3
2018-05-26,868.4,847.6,147.85,659.18,885.7,2222.7
2018-05-27,584.89,553.5,122.66,504.08,692.39,1760.4
2018-05-28,427.46,631.4,122.17,475.05,662.95,1364.6
2018-05-29,358.35,494.4,156.68,552.18,793.3,1788.6
2018-05-30,360.33,439.6,336.82,729.92,1247.23,1046.9
2018-05-31,481.0,612.85,292.44,845.35,1294.48,1194.1
2018-06-01,354.84,318.3,232.48,628.75,986.21,1390.5
2018-06-02,266.33,173.8,233.74,618.1,977.51,1342.4
2018-06-03,331.44,213.5,280.71,734.9,1166.21,1489.2
2018-06-04,408.29,505.6,319.9,803.52,1295.02,1491.6
2018-06-05,424.48,340.25,335.65,775.18,1290.96,1600.4
2018-06-06,527.56,305.7,335.63,820.35,1335.56,1513.4
2018-06-07,563.86,322.3,383.02,787.38,1373.72,1291.1
2018-06-08,578.08,313.7,358.78,748.4,1298.48,1408.9
2018-06-09,505.84,346.4,208.88,648.5,968.7,1568.0
2018-06-10,456.2,326.7,125.23,498.1,689.95,1427.5
2018-06-11,382.61,192.6,282.5,652.7,1085.75,1327.8
2018-06-12,392.56,226.5,419.32,748.72,1391.95,1179.9
2018-06-13,463.64,196.2,336.1,681.25,1196.53,1362.1
2018-06-14,478.61,211.9,207.42,457.95,776.2,1369.5
2018-06-15,440.79,213.3,398.25,769.4,1380.3,1328.4
2018-06-16,342.09,174.9,97.28,306.42,455.87,1376.2
2018-06-17,265.45,142.7,78.77,220.98,341.52,1316.9
2018-06-18,365.59,161.3,196.15,348.73,649.83,1218.0
2018-06-19,332.45,108.0,315.8,354.4,838.45,752.5
