MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-03,1316.95,1389.7,3409.18,586.0
2018-05-04,1207.6,1495.4,3346.95,792.75
2018-05-05,750.98,1367.1,2518.68,746.5
2018-05-06,521.2,1403.02,2202.1,996.75
2018-05-07,589.7,1571.28,2475.1,1089.0
2018-05-08,984.45,1388.3,2897.9,972.75
2018-05-09,923.12,1119.08,2534.07,659.0
2018-05-10,903.58,1230.75,2616.15,574.0
2018-05-11,712.27,1186.75,2278.78,619.0
2018-05-12,947.9,1341.92,2795.38,603.5
2018-05-13,740.75,1086.12,2221.7,598.25
2018-05-14,508.65,848.92,1628.9,500.5
2018-05-15,598.8,1071.03,1989.08,559.25
2018-05-16,341.6,632.88,1156.5,617.25
2018-05-17,490.44,821.65,1573.34,646.75
2018-05-18,947.05,1239.1,2691.5,662.12
2018-05-19,706.38,1132.3,2215.6,781.0
2018-05-20,367.02,841.9,1404.7,694.25
2018-05-21,876.75,1612.85,2957.35,1060.5
2018-05-22,373.72,797.38,1370.62,803.0
2018-05-23,333.6,684.22,1195.65,869.5
2018-05-24,1079.42,1254.78,2909.88,1141.75
2018-05-25,1206.47,1488.48,3338.72,1027.5
2018-05-26,254.52,804.2,1194.38,1137.75
2018-05-27,351.65,969.38,1508.9,882.25
2018-05-28,317.35,755.8,1242.5,874.25
2018-05-29,525.71,924.81,1730.96,782.99
2018-05-30,1184.68,1317.21,3133.8,876.89
2018-05-31,783.75,1288.37,2489.9,1027.5
2018-06-01,725.5,1075.58,2188.22,642.25
2018-06-02,650.88,999.12,1996.8,390.75
2018-06-03,461.92,942.6,1651.0,502.75
2018-06-04,458.9,847.92,1551.65,595.0
2018-06-05,461.05,819.05,1525.98,598.5
2018-06-06,527.08,1009.38,1817.62,806.25
2018-06-07,740.32,1135.95,2270.98,841.75
2018-06-08,567.4,1032.75,1902.95,694.5
2018-06-09,371.22,841.82,1410.85,645.75
2018-06-10,235.48,636.85,998.12,618.75
2018-06-11,486.08,862.59,1607.8,492.25
2018-06-12,660.45,931.17,1943.95,543.75
2018-06-13,938.68,1037.97,2477.38,497.25
2018-06-14,615.67,839.62,1783.73,573.0
2018-06-15,1037.25,1235.65,2826.12,652.75
2018-06-16,447.42,690.8,1376.85,462.0
2018-06-17,316.2,489.45,974.43,376.25
2018-06-18,534.9,651.18,1471.48,452.0
2018-06-19,680.72,609.38,1653.12,322.88
2018-06-20,658.82,591.1,1601.48,414.75
2018-06-21,478.9,661.95,1395.93,501.5
2018-06-22,749.1,1026.9,2175.4,565.88
2018-06-23,732.0,1084.97,2207.72,647.5
2018-06-24,381.52,1081.78,1666.72,595.25
2018-06-25,701.78,1468.1,2544.23,738.75
2018-06-26,655.38,1202.43,2207.62,625.75
2018-06-27,467.6,893.57,1610.96,661.24
2018-06-28,487.27,1001.91,1749.04,815.01
2018-06-29,476.7,948.32,1679.45,644.75
2018-06-30,263.92,712.45,1117.2,557.0
2018-07-01,214.8,947.92,1277.35,699.0
2018-07-02,391.08,924.27,1523.78,580.25
2018-07-03,306.42,714.12,1183.88,564.75
2018-07-04,692.97,1109.16,2172.29,766.75
2018-07-05,806.53,1605.83,2842.7,895.0
2018-07-06,858.97,1652.0,2969.18,821.5
2018-07-07,600.75,1339.72,2260.48,804.5
2018-07-08,341.4,1046.7,1569.92,719.75
2018-07-09,717.82,1191.2,2291.9,691.75
2018-07-10,445.85,635.05,1318.8,520.75
2018-07-11,537.6,818.42,1642.68,632.0
2018-07-12,784.9,1293.19,2496.64,786.12
2018-07-13,634.93,1220.1,2193.48,816.5
2018-07-14,477.62,1147.9,1880.28,637.0
2018-07-15,447.2,1152.15,1837.8,525.75
2018-07-16,693.05,1210.4,2273.0,605.0
2018-07-17,564.6,783.58,1649.35,484.25
2018-07-18,754.9,1115.72,2273.07,539.75
2018-07-19,857.25,1363.65,2678.08,613.25
2018-07-20,662.9,1364.22,2380.7,622.12
2018-07-21,510.42,1175.9,1958.55,666.75
2018-07-22,495.72,1055.0,1814.98,508.0
2018-07-23,706.4,989.46,2073.54,471.25
2018-07-24,702.97,978.57,2057.79,515.75
2018-07-25,831.19,1182.31,2457.79,573.25
2018-07-26,707.79,1200.53,2286.61,823.0
2018-07-27,734.64,1090.96,2218.29,736.75
2018-07-28,510.06,731.17,1513.63,608.0
2018-07-29,475.65,676.4,1405.96,427.5
2018-07-30,571.8,729.44,1606.11,445.75
2018-07-31,565.52,806.9,1674.13,500.0
2018-08-01,804.58,978.17,2211.75,558.5
2018-08-02,785.5,1160.9,2365.55,570.0
2018-08-03,897.52,1391.66,2767.75,579.68
2018-08-04,570.79,1310.38,2185.2,554.13
2018-08-05,537.61,1247.05,2070.91,542.24
2018-08-06,735.42,1409.43,2536.45,557.85
2018-08-07,668.31,1275.42,2299.42,572.21
2018-08-08,518.61,878.44,1673.25,458.87
2018-08-09,1318.98,1108.1,3130.27,585.0
2018-08-10,684.56,812.98,1862.75,461.62
2018-08-11,644.65,787.88,1776.25,447.25
2018-08-12,329.62,576.97,1082.25,422.5
2018-08-13,822.35,893.82,2154.98,540.0
2018-08-14,812.35,892.35,2138.02,483.5
2018-08-15,445.58,608.08,1291.38,477.25
2018-08-16,770.25,781.38,1962.23,527.0
2018-08-17,905.58,879.0,2267.73,554.75
2018-08-18,398.03,551.0,1161.47,584.0
2018-08-19,318.68,407.78,896.28,481.25
2018-08-20,717.85,792.0,1892.55,453.5
2018-08-21,737.39,874.08,2005.04,373.12
2018-08-22,679.85,793.92,1836.28,406.88
2018-08-23,665.15,734.5,1754.32,413.75
2018-08-24,641.6,713.4,1697.02,390.0
2018-08-25,859.3,874.55,2192.2,419.5
2018-08-26,452.83,593.5,1288.12,324.25
2018-08-27,404.45,538.72,1158.75,395.0
2018-08-28,1074.83,1185.28,2833.02,444.25
2018-08-29,1128.88,1143.47,2874.12,500.25
2018-08-30,1235.23,1219.0,3112.95,581.75
2018-08-31,1407.45,1408.35,3566.68,668.75
2018-09-01,895.25,1217.38,2590.12,603.25
2018-09-02,585.38,1102.5,1999.7,586.5
2018-09-03,1121.1,1545.32,3264.27,753.25
2018-09-04,579.88,898.72,1787.93,576.5
2018-09-05,561.89,848.01,1709.45,544.88
2018-09-06,1100.45,1153.18,2840.52,531.0
2018-09-07,1010.6,1098.0,2647.27,435.38
2018-09-08,630.38,850.15,1816.68,377.0
2018-09-09,315.18,635.77,1118.93,451.75
2018-09-10,488.33,678.03,1426.75,471.25
2018-09-11,501.45,640.9,1409.75,509.0
2018-09-12,1202.42,1056.38,2900.05,445.0
2018-09-13,1899.45,1320.18,4233.25,592.5
2018-09-14,876.5,1009.7,2353.5,406.0
2018-09-15,759.22,994.88,2159.1,552.12
2018-09-16,350.65,698.7,1236.4,454.5
2018-09-17,552.58,1043.95,1891.18,474.75
2018-09-18,376.76,581.69,1159.35,569.75
2018-09-19,377.2,529.62,1108.22,745.75
2018-09-20,419.38,569.97,1212.8,764.5
2018-09-21,495.82,631.3,1391.55,421.38
2018-09-22,773.75,979.55,2165.93,444.5
2018-09-23,568.78,791.58,1663.55,317.0
2018-09-24,1810.7,1285.67,4062.08,496.0
2018-09-25,2247.48,1511.8,4957.77,576.75
2018-09-26,2007.35,1661.2,4739.05,653.75
2018-09-27,2210.78,1750.1,5139.52,742.0
2018-09-28,704.65,963.75,2044.18,485.25
2018-09-29,2030.75,1563.82,4677.52,644.5
2018-09-30,833.9,961.55,2240.3,505.12
2018-10-01,818.85,964.82,2220.28,404.75
2018-10-02,832.95,903.0,2180.3,427.0
2018-10-03,1669.25,1223.65,3783.1,500.0
2018-10-04,1117.35,954.05,2667.4,484.75
2018-10-05,1557.62,1474.72,3863.16,724.75
2018-10-06,904.77,930.68,2318.15,451.25
2018-10-07,1058.4,1138.55,2761.2,415.0
2018-10-08,932.95,1111.7,2542.4,472.0
2018-10-09,1783.92,1581.75,4316.95,647.5
2018-10-10,1270.82,1451.72,3400.05,1039.0
2018-10-11,574.88,900.25,1782.1,589.12
2018-10-12,380.05,593.65,1176.42,569.5
2018-10-13,332.98,570.15,1081.03,489.25
2018-10-14,334.83,624.4,1137.85,294.75
2018-10-15,1148.22,1272.68,3033.3,565.0
2018-10-16,1097.4,1083.8,2766.35,751.5
2018-10-17,1531.35,1424.82,3772.85,559.25
2018-10-18,957.24,1203.43,2671.44,567.75
2018-10-19,3142.23,1743.28,6561.32,809.17
2018-10-20,2305.0,1450.65,4985.05,911.21
2018-10-21,1188.0,1059.15,2880.58,702.36
2018-10-22,1261.4,1106.12,3040.28,601.27
2018-10-23,1200.0,1209.32,3049.1,614.17
2018-10-24,1914.1,1339.62,4274.65,783.07
2018-10-25,1516.92,1405.3,3731.0,625.25
