MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-03,1617.31,1477.38,3957.0,741.93
2018-05-04,1287.15,1473.36,3446.86,820.88
2018-05-05,692.1,1495.46,2556.67,942.94
2018-05-06,248.74,1311.59,1692.89,903.22
2018-05-07,339.6,1664.45,2185.15,1099.54
2018-05-08,1374.4,1805.42,3912.74,1199.5
2018-05-09,1151.44,1211.51,2976.92,805.86
2018-05-10,966.92,1315.38,2797.73,626.89
2018-05-11,1237.04,1523.31,3420.16,782.26
2018-05-12,1062.65,1537.42,3167.14,560.34
2018-05-13,691.46,1178.62,2238.75,590.26
2018-05-14,384.88,831.24,1421.35,430.71
2018-05-15,357.25,892.86,1440.28,500.32
2018-05-16,275.74,589.52,1012.21,649.36
2018-05-17,278.9,596.8,1024.36,658.68
2018-05-18,458.62,1087.94,1791.2,761.61
2018-05-19,614.48,1198.74,2141.02,785.01
2018-05-20,359.08,1075.3,1625.7,736.91
2018-05-21,367.69,1150.61,1714.29,967.29
2018-05-22,256.14,680.22,1072.78,832.68
2018-05-23,250.3,638.33,1022.39,788.85
2018-05-24,695.01,1105.36,2170.99,1011.4
2018-05-25,952.24,1485.28,2945.38,944.17
2018-05-26,145.29,706.99,929.58,1020.22
2018-05-27,436.52,1082.34,1751.92,798.95
2018-05-28,216.55,803.54,1135.58,883.79
2018-05-29,292.83,860.17,1308.84,661.76
2018-05-30,684.24,1245.33,2295.23,827.88
2018-05-31,741.6,1441.46,2579.61,1114.82
2018-06-01,711.95,1319.96,2412.73,984.94
2018-06-02,644.11,1205.29,2194.04,482.79
2018-06-03,630.9,1258.9,2227.37,444.21
2018-06-04,686.17,1240.4,2293.5,537.27
2018-06-05,684.88,1199.37,2250.53,562.0
2018-06-06,695.08,1220.15,2286.92,749.07
2018-06-07,723.77,1248.39,2359.13,645.34
2018-06-08,718.22,1237.2,2339.42,633.71
2018-06-09,699.31,1216.45,2289.73,577.84
2018-06-10,666.14,1159.32,2181.56,526.54
2018-06-11,738.9,1244.3,2378.17,456.52
2018-06-12,773.05,1231.1,2417.45,512.85
2018-06-13,808.26,1278.12,2518.24,680.94
2018-06-14,767.88,1171.99,2350.24,675.58
2018-06-15,810.21,1230.1,2473.13,804.63
2018-06-16,691.84,1091.98,2153.41,471.14
2018-06-17,652.64,1035.54,2036.89,323.88
2018-06-18,747.59,1107.78,2254.94,559.29
2018-06-19,801.2,1079.61,2308.78,449.27
2018-06-20,844.44,1073.83,2369.3,520.76
2018-06-21,787.22,1114.78,2322.49,552.11
2018-06-22,813.86,1181.39,2429.95,528.04
2018-06-23,772.72,1181.99,2367.54,522.32
2018-06-24,709.44,1141.71,2230.25,467.06
2018-06-25,793.61,1310.47,2527.95,727.99
2018-06-26,820.86,1327.6,2586.8,635.25
2018-06-27,760.78,1192.72,2359.79,573.14
2018-06-28,760.89,1145.76,2313.12,612.5
2018-06-29,776.51,1151.29,2342.35,528.44
2018-06-30,711.18,1096.75,2187.84,466.06
2018-07-01,704.05,1165.92,2245.92,553.77
2018-07-02,758.54,1149.14,2312.8,573.88
2018-07-03,730.26,1098.55,2218.68,494.4
2018-07-04,775.5,1172.07,2361.49,737.44
2018-07-05,822.14,1245.4,2506.35,943.49
2018-07-06,813.91,1257.5,2506.01,847.81
2018-07-07,758.54,1192.93,2356.5,807.83
2018-07-08,720.3,1087.55,2192.27,477.59
2018-07-09,843.45,1197.36,2491.05,678.54
2018-07-10,800.94,993.47,2221.92,440.08
2018-07-11,800.06,1023.94,2250.99,464.76
2018-07-12,812.5,1142.35,2388.32,613.76
2018-07-13,809.5,1184.15,2425.68,625.02
2018-07-14,757.78,1056.75,2219.0,607.18
2018-07-15,755.83,1075.19,2234.3,483.29
2018-07-16,857.31,1144.87,2459.56,591.7
2018-07-17,853.61,1017.15,2326.25,648.86
2018-07-18,848.98,1102.79,2404.53,687.91
2018-07-19,844.01,1179.94,2474.28,692.44
2018-07-20,846.67,1169.07,2467.42,805.18
2018-07-21,788.27,1065.01,2273.78,681.94
2018-07-22,781.93,1010.34,2209.36,484.61
2018-07-23,855.91,1058.87,2371.24,715.87
2018-07-24,867.21,1056.88,2386.57,747.84
2018-07-25,840.99,1080.44,2370.1,679.62
2018-07-26,851.59,1148.07,2453.68,926.32
2018-07-27,832.75,1070.36,2347.15,890.14
2018-07-28,786.54,831.59,2037.53,529.58
2018-07-29,772.53,798.33,1982.69,286.75
2018-07-30,863.16,876.6,2200.25,441.71
2018-07-31,862.7,930.14,2252.77,523.0
2018-08-01,891.05,978.93,2345.02,609.76
2018-08-02,927.99,1031.34,2454.12,660.36
2018-08-03,929.35,1080.28,2505.12,590.68
2018-08-04,825.24,913.14,2178.24,373.16
2018-08-05,814.47,936.99,2185.62,411.43
2018-08-06,876.09,1027.64,2370.7,710.59
2018-08-07,1027.62,1169.06,2744.2,832.65
2018-08-08,1062.47,1087.42,2715.79,557.15
2018-08-09,1045.22,1071.14,2672.98,547.31
2018-08-10,976.81,972.01,2469.01,449.04
2018-08-11,906.96,920.62,2310.82,404.82
2018-08-12,828.22,805.36,2075.04,362.42
2018-08-13,918.22,927.79,2335.39,483.38
2018-08-14,914.0,905.59,2306.74,557.02
2018-08-15,851.4,871.21,2176.37,624.01
2018-08-16,1023.95,894.25,2463.93,475.84
2018-08-17,1027.18,898.62,2473.21,605.07
2018-08-18,749.37,761.6,1910.29,435.22
2018-08-19,618.31,627.93,1575.61,343.36
2018-08-20,936.8,867.48,2303.52,516.12
2018-08-21,1001.06,922.65,2457.11,477.33
2018-08-22,1013.03,912.46,2465.28,600.64
2018-08-23,915.51,799.01,2202.35,439.15
2018-08-24,887.42,781.66,2141.83,480.28
2018-08-25,992.64,828.43,2350.13,379.09
2018-08-26,844.32,805.42,2099.5,312.37
2018-08-27,714.22,707.28,1802.02,249.77
2018-08-28,1156.52,980.5,2753.46,455.36
2018-08-29,1083.93,988.04,2649.46,496.47
2018-08-30,851.97,886.49,2192.19,509.14
2018-08-31,753.83,926.75,2082.0,564.79
2018-09-01,998.04,1030.87,2560.45,613.79
2018-09-02,723.75,979.0,2088.15,598.96
2018-09-03,1075.84,1234.05,2883.07,814.65
2018-09-04,676.16,837.43,1873.71,557.19
2018-09-05,629.87,774.64,1739.88,514.85
2018-09-06,975.53,895.85,2390.96,655.52
2018-09-07,924.21,837.44,2253.86,572.26
2018-09-08,855.26,812.98,2123.63,416.46
2018-09-09,663.22,685.59,1701.7,302.14
2018-09-10,832.63,783.89,2059.79,652.01
2018-09-11,806.78,707.56,1943.86,563.67
2018-09-12,1074.18,873.57,2519.85,450.52
2018-09-13,1652.36,1015.94,3548.77,711.32
2018-09-14,1020.35,909.38,2473.11,575.51
2018-09-15,961.14,814.92,2287.91,485.87
2018-09-16,722.65,680.44,1787.64,430.96
2018-09-17,933.43,856.78,2286.97,543.03
2018-09-18,705.31,652.99,1733.9,583.22
2018-09-19,731.04,622.24,1743.28,565.32
2018-09-20,758.26,596.0,1759.02,592.92
2018-09-21,779.8,668.85,1864.4,431.57
2018-09-22,834.34,981.94,2261.3,405.87
2018-09-23,455.39,662.25,1360.74,230.82
2018-09-24,2305.22,1296.69,4831.12,570.64
2018-09-25,3985.91,1696.93,7808.66,848.05
2018-09-26,2313.05,1816.64,5363.41,839.79
2018-09-27,1831.19,1716.42,4524.31,822.74
2018-09-28,400.15,705.24,1318.99,441.22
2018-09-29,1864.98,1577.39,4436.86,712.62
2018-09-30,1056.62,1071.71,2691.78,452.22
2018-10-01,963.79,994.39,2472.1,416.69
2018-10-02,958.77,914.84,2384.99,495.65
2018-10-03,2008.15,1275.61,4354.5,642.85
2018-10-04,1687.14,1059.22,3645.82,669.7
2018-10-05,1547.55,1452.92,3825.27,973.03
2018-10-06,946.19,1101.88,2551.72,411.25
2018-10-07,1002.23,1048.01,2583.59,476.39
2018-10-08,1214.98,1207.16,3069.34,638.52
2018-10-09,2136.44,1652.74,4928.55,744.67
2018-10-10,1323.3,1759.82,3788.64,1208.3
2018-10-11,1185.1,1125.47,2942.61,632.26
2018-10-12,775.19,721.01,1909.62,555.35
2018-10-13,519.21,643.17,1439.29,459.37
2018-10-14,214.45,569.9,899.11,180.38
2018-10-15,515.69,940.14,1731.11,382.54
2018-10-16,1448.44,1126.93,3347.74,844.49
2018-10-17,1693.9,1350.28,3947.21,569.47
2018-10-18,540.52,982.86,1811.95,534.78
2018-10-19,2769.25,1684.01,5929.94,980.14
2018-10-20,3538.16,1657.56,7082.5,1114.07
2018-10-21,1359.85,1090.06,3175.32,691.41
2018-10-22,1248.44,1140.35,3054.51,585.41
2018-10-23,1503.15,1239.7,3544.64,702.33
2018-10-24,1729.71,1290.49,3942.46,717.61
2018-10-25,1572.24,1293.05,3703.7,660.17
2018-10-26,1194.45,1201.51,3033.06,427.06
2018-10-27,417.56,681.72,1322.29,232.72
2018-10-28,176.19,523.86,793.99,172.99
2018-10-29,522.71,926.43,1727.5,319.08
2018-10-30,1244.44,1013.21,2921.42,420.72
2018-10-31,2604.76,1557.74,5551.28,732.64
2018-11-01,2537.85,1514.16,5405.29,577.53
2018-11-02,3773.21,1862.91,7648.34,1102.79
2018-11-03,1320.19,1336.81,3360.88,775.64
2018-11-04,923.44,1065.24,2481.26,714.41
2018-11-05,2168.0,1259.38,4583.62,1392.28
2018-11-06,1911.88,1165.03,4096.77,906.77
2018-11-07,1267.4,942.68,2885.78,355.54
2018-11-08,1538.75,1373.79,3733.11,678.51
2018-11-09,1120.76,1049.6,2767.99,603.53
2018-11-10,1222.18,1205.74,3079.8,475.38
2018-11-11,855.42,1015.16,2326.7,385.91
2018-11-12,1505.88,1264.39,3573.51,587.15
2018-11-13,1548.98,1378.32,3753.23,736.7
2018-11-14,1975.45,1443.09,4472.23,847.67
2018-11-15,2014.14,1365.71,4454.36,1010.89
2018-11-16,1102.53,1018.23,2708.74,594.27
2018-11-17,606.54,1057.11,1986.94,688.44
2018-11-18,326.04,836.85,1336.8,570.3
2018-11-19,336.4,692.06,1208.0,387.35
2018-11-20,533.69,905.64,1724.01,421.47
2018-11-21,1764.49,1300.94,4006.22,802.42
2018-11-22,2483.32,1416.4,5224.49,1395.66
2018-11-23,1272.74,1255.34,3206.92,1146.74
2018-11-24,472.18,1007.82,1731.78,810.96
2018-11-25,267.95,694.04,1104.95,612.08
2018-11-26,853.72,1046.16,2355.4,556.71
2018-11-27,1816.8,1330.22,4115.91,642.76
2018-11-28,1138.75,1100.74,2846.68,504.84
2018-11-29,765.07,791.14,1964.14,451.01
2018-11-30,1533.17,1354.52,3705.41,653.26
2018-12-01,1101.1,1154.0,2842.18,352.33
2018-12-02,438.2,638.25,1310.2,204.99
2018-12-03,1047.35,1118.11,2723.85,483.11
2018-12-04,3430.06,1899.44,7158.82,835.76
2018-12-05,1568.01,1277.25,3681.64,414.54
2018-12-06,989.49,1036.89,2554.14,391.4
2018-12-07,789.19,874.59,2084.74,328.38
2018-12-08,427.99,597.65,1253.86,402.89
2018-12-09,701.55,833.35,1909.05,299.87
2018-12-10,2103.81,1597.32,4822.8,673.26
2018-12-11,2958.17,1816.08,6351.55,1120.79
2018-12-12,1087.65,1462.61,3130.44,679.99
2018-12-13,1021.45,1231.05,2797.19,668.97
2018-12-14,2750.05,1591.24,5807.99,1262.84
2018-12-15,962.23,1007.48,2482.94,588.69
2018-12-16,1668.01,1665.48,4223.12,440.16
2018-12-17,2482.64,1640.41,5447.16,512.51
2018-12-18,1092.75,967.35,2642.94,524.29
2018-12-19,1785.2,1504.57,4241.8,364.28
2018-12-20,1176.54,1224.12,3028.15,498.84
2018-12-21,584.55,839.66,1735.72,514.96
2018-12-22,863.2,1145.92,2469.76,476.8
2018-12-23,660.48,1015.05,2027.95,269.41
2018-12-24,1614.3,1394.54,3869.81,633.26
2018-12-25,2045.83,1421.9,4558.86,741.76
2018-12-26,1288.09,1266.06,3241.21,588.12
2018-12-27,5566.69,1864.05,10399.33,1297.14
2018-12-28,3027.15,1430.49,6071.96,950.09
2018-12-29,1050.39,1067.36,2677.92,456.34
2018-12-30,904.75,1019.09,2406.56,383.21
2018-12-31,794.09,1013.46,2230.99,319.38
2019-01-01,406.8,784.31,1408.06,371.5
2019-01-02,342.59,1006.18,1531.33,440.58
2019-01-03,566.65,1339.82,2208.4,528.24
2019-01-04,1280.29,1506.85,3469.95,1012.44
2019-01-05,1138.56,1389.62,3135.22,757.32
2019-01-06,1080.75,1352.58,3009.56,720.54
2019-01-07,867.94,1109.69,2440.2,583.71
2019-01-08,948.72,1201.39,2655.71,720.68
2019-01-09,661.22,1170.35,2184.09,539.15
2019-01-10,2194.54,1598.39,4963.42,1099.06
2019-01-11,1536.26,1494.64,3849.92,874.03
2019-01-12,636.88,917.79,1894.4,388.22
2019-01-13,306.53,538.99,1008.89,332.98
2019-01-14,1191.1,1253.34,3079.79,672.08
2019-01-15,1322.65,1311.04,3338.82,505.19
2019-01-16,1182.52,1119.43,2932.31,303.3
2019-01-17,1411.16,1357.52,3521.15,501.57
2019-01-18,2022.69,1498.2,4599.6,794.41
2019-01-19,569.9,1004.38,1878.09,584.63
2019-01-20,1053.81,1227.9,2843.66,725.35
2019-01-21,3749.59,1595.28,7344.74,1115.81
2019-01-22,1938.92,1455.15,4428.46,476.55
2019-01-23,1656.82,1337.14,3877.73,446.54
2019-01-24,4144.46,1840.88,8195.49,872.18
2019-01-25,1841.49,1326.29,4150.14,532.9
2019-01-26,453.5,664.36,1359.64,342.47
2019-01-27,356.99,468.08,1015.8,356.18
2019-01-28,1479.3,1201.29,3469.41,641.8
2019-01-29,2149.06,1557.04,4852.23,761.37
2019-01-30,2496.29,1508.98,5336.5,576.65
2019-01-31,3138.98,1420.15,6233.09,757.29
2019-02-01,477.15,784.36,1515.99,384.08
2019-02-02,429.0,644.25,1301.96,473.96
2019-02-03,1001.97,1059.49,2595.94,597.82
2019-02-04,1944.15,1204.38,4185.27,438.8
2019-02-05,1847.45,1299.39,4132.27,438.58
2019-02-06,1960.41,1462.84,4469.06,583.76
2019-02-07,604.39,792.08,1718.68,461.07
2019-02-08,579.32,655.71,1544.1,360.06
2019-02-09,428.76,579.61,1237.39,483.25
