MeasurementDateGMT, PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2020-06-11,281.0,487.0,679.11,1425.63,561.67
2020-06-12,392.0,535.09,775.4,1595.72,561.8
2020-06-13,114.0,420.04,658.53,1302.33,561.93
2020-06-14,160.0,267.09,541.34,950.84,562.07
2020-06-15,146.0,429.74,754.03,1412.81,562.2
2020-06-16,159.0,424.29,720.56,1370.97,562.33
2020-06-17,182.0,580.69,895.05,1780.17,562.46
2020-06-18,173.0,393.19,695.28,1293.02,562.59
2020-06-19,109.0,298.06,455.34,908.66,562.72
2020-06-20,110.0,317.58,507.68,988.95,562.85
2020-06-21,121.0,237.08,387.19,745.04,562.98
2020-06-22,169.5,350.96,522.0,1052.58,563.11
2020-06-23,196.0,465.96,764.01,1466.02,563.24
2020-06-24,300.0,469.78,1046.45,1749.23,563.38
2020-06-25,301.0,496.85,1123.36,1866.22,563.51
2020-06-26,235.0,325.55,751.44,1236.68,563.64
2020-06-27,106.0,247.4,382.43,749.77,563.77
2020-06-28,100.0,204.85,319.29,620.64,563.9
2020-06-29,132.0,294.67,400.2,837.88,564.03
2020-06-30,82.0,389.32,478.16,1059.71,564.16
2020-07-01,76.0,372.3,489.44,1043.7,564.29
2020-07-02,90.0,476.68,606.8,1319.0,564.42
2020-07-03,103.0,295.82,407.49,845.61,564.55
2020-07-04,50.0,222.39,332.48,659.4,564.69
2020-07-05,78.0,202.02,312.84,609.88,564.82
2020-07-06,129.5,361.24,520.77,1062.0,564.95
2020-07-07,162.0,388.79,653.23,1237.01,565.08
2020-07-08,58.5,488.36,488.32,1227.35,565.21
2020-07-09,49.0,372.36,425.9,988.86,565.34
2020-07-10,53.0,453.46,630.39,1317.55,565.47
2020-07-11,146.0,455.73,714.75,1405.84,565.6
2020-07-12,192.0,304.36,624.43,1085.36,565.73
2020-07-13,88.0,372.66,631.29,1198.64,565.86
2020-07-14,85.0,502.35,674.53,1443.58,565.99
2020-07-15,78.0,431.1,596.59,1257.67,566.13
2020-07-16,62.0,522.23,662.53,1462.96,566.26
2020-07-17,160.0,437.23,635.39,1305.73,566.39
2020-07-18,138.0,320.95,489.5,981.61,566.52
2020-07-19,149.0,395.95,578.68,1185.73,566.65
2020-07-20,169.0,632.75,800.82,1770.87,566.78
2020-07-21,200.0,607.05,868.18,1798.66,566.91
2020-07-22,175.0,329.17,637.09,1141.82,567.04
2020-07-23,163.0,314.17,615.77,1097.61,567.17
2020-07-24,118.0,359.82,497.48,1049.22,567.3
2020-07-25,98.0,257.19,414.79,809.31,567.44
2020-07-26,141.0,226.46,356.65,703.78,567.57
2020-07-27,143.0,337.31,446.74,963.89,567.7
2020-07-28,139.0,363.01,502.63,1059.08,567.83
2020-07-29,159.0,416.06,655.99,1294.22,567.96
2020-07-30,151.0,528.23,863.7,1673.61,568.09
2020-07-31,267.0,373.76,859.08,1432.17,568.22
2020-08-01,146.0,266.28,427.94,836.31,568.35
2020-08-02,111.0,241.18,414.73,784.37,568.48
2020-08-03,120.0,522.18,725.46,1526.26,568.61
2020-08-04,159.0,333.65,556.1,1067.42,568.75
2020-08-05,94.0,255.25,438.11,829.46,568.88
2020-08-06,144.0,419.13,685.19,1327.78,569.01
2020-08-07,304.0,522.37,1221.45,2022.44,569.14
2020-08-08,447.0,449.01,1108.7,1797.09,569.27
2020-08-09,450.0,281.05,680.55,1111.59,569.4
2020-08-10,435.0,456.3,991.39,1691.16,569.53
2020-08-11,734.0,488.39,1305.75,2054.4,569.66
2020-08-12,791.0,406.57,1176.53,1800.14,569.79
2020-08-13,582.0,463.77,1012.02,1723.02,569.92
2020-08-14,226.0,596.94,907.93,1823.34,570.05
2020-08-15,399.0,557.41,832.64,1687.25,570.19
2020-08-16,318.0,304.31,639.35,1105.89,570.32
2020-08-17,106.0,343.21,634.73,1161.1,570.45
2020-08-18,99.0,290.44,476.04,921.42,570.58
2020-08-19,61.0,476.88,620.25,1351.43,570.71
2020-08-20,184.0,356.88,593.69,1140.92,570.84
2020-08-21,153.0,185.46,345.87,630.44,570.97
2020-08-22,145.0,198.78,360.74,665.77,571.1
2020-08-23,99.0,249.75,409.3,792.49,571.23
2020-08-24,84.0,382.4,572.46,1159.15,571.36
2020-08-25,83.0,271.76,440.25,857.1,571.5
2020-08-26,111.5,376.77,517.39,1095.19,571.63
2020-08-27,157.0,553.67,718.22,1567.75,571.76
2020-08-28,104.0,536.8,650.62,1473.91,571.89
2020-08-29,128.0,420.27,601.36,1245.92,572.02
2020-08-30,227.0,445.37,681.87,1364.71,572.15
2020-08-31,210.5,552.97,880.38,1728.4,572.28
2020-09-01,219.5,723.39,971.49,2080.74,572.41
2020-09-02,184.5,419.79,803.35,1447.35,572.54
2020-09-03,123.0,278.69,420.96,848.27,572.67
2020-09-04,120.0,455.44,595.55,1294.3,572.81
2020-09-05,175.0,422.01,603.88,1251.19,572.94
2020-09-06,165.0,352.36,645.04,1185.26,573.07
2020-09-07,142.0,586.51,624.4,1523.75,573.2
2020-09-08,96.0,476.88,569.89,1301.31,573.33
2020-09-09,120.0,517.12,683.14,1476.37,573.46
2020-09-10,193.0,736.58,1040.36,2169.89,573.59
2020-09-11,202.0,566.31,811.27,1679.45,573.72
2020-09-12,142.0,317.4,539.53,1026.47,573.85
2020-09-13,148.0,261.6,553.61,955.03,573.98
2020-09-14,293.0,742.15,1041.52,2179.52,574.11
2020-09-15,720.0,652.85,1290.16,2291.16,574.25
2020-09-16,445.0,549.8,1062.85,1905.9,574.38
2020-09-17,153.0,536.6,712.48,1535.06,574.51
2020-09-18,167.0,581.45,815.59,1707.07,574.64
2020-09-19,185.0,430.62,758.18,1418.59,574.77
2020-09-20,221.0,348.54,699.96,1234.43,574.9
2020-09-21,335.0,765.07,1186.12,2359.09,575.03
2020-09-22,295.0,404.94,822.66,1443.65,575.16
2020-09-23,130.0,295.52,562.49,1015.57,575.29
2020-09-24,91.0,461.99,695.58,1404.07,575.42
2020-09-25,156.0,371.59,598.84,1168.72,575.56
2020-09-26,130.0,354.06,569.87,1112.76,575.69
2020-09-27,157.5,345.51,611.36,1141.42,575.82
2020-09-28,202.0,521.31,793.75,1593.24,563.95
2020-09-29,208.0,749.15,973.68,2122.35,506.1
2020-09-30,109.0,619.42,841.9,1791.65,434.3
2020-10-01,115.0,549.57,726.95,1569.9,361.9
2020-10-02,121.0,685.35,748.9,1799.72,249.1
2020-10-03,141.0,483.47,796.1,1537.38,315.2
2020-10-04,86.0,164.8,322.98,575.58,163.8
2020-10-05,128.0,383.52,494.92,1082.55,309.6
2020-10-06,72.0,303.17,391.9,856.82,305.7
2020-10-07,117.0,435.2,592.9,1259.85,356.0
2020-10-08,124.0,485.85,620.45,1365.22,300.4
2020-10-09,187.0,761.3,819.8,1986.92,408.6
2020-10-10,123.0,371.8,592.97,1163.18,285.7
2020-10-11,133.0,553.43,799.32,1647.75,298.4
2020-10-12,163.0,964.42,970.48,2449.12,366.8
2020-10-13,157.0,917.97,933.92,2341.65,316.2
2020-10-14,169.0,791.38,872.98,2086.7,350.2
2020-10-15,86.0,979.2,1059.26,2560.9,331.4
2020-10-16,176.0,1505.63,1268.3,3576.78,484.6
2020-10-17,176.0,765.28,1102.95,2276.18,350.3
2020-10-18,312.0,624.17,957.38,1914.4,522.3
2020-10-19,230.0,568.08,823.55,1694.58,479.1
2020-10-20,205.0,418.83,641.75,1283.78,584.5
2020-10-21,98.0,502.44,637.57,1407.96,292.7
2020-10-22,115.0,386.52,664.78,1257.38,431.5
2020-10-23,76.0,417.95,682.22,1323.22,369.4
2020-10-24,64.0,216.27,422.28,753.8,310.5
2020-10-25,78.0,302.35,577.0,1040.4,255.6
2020-10-26,142.0,500.45,669.28,1436.9,383.6
2020-10-27,96.0,467.15,635.52,1351.8,316.6
2020-10-28,135.0,284.65,441.9,878.3,342.8
2020-10-29,139.0,296.95,449.39,904.69,376.6
2020-10-30,103.0,215.68,383.68,714.35,307.5
2020-10-31,159.0,240.2,429.58,797.75,449.6
2020-11-01,128.0,98.32,225.49,375.5,598.7
2020-11-02,126.0,209.85,300.73,621.9,590.4
2020-11-03,151.0,437.02,610.7,1280.58,590.4
2020-11-04,165.21,1371.88,982.68,3085.92,590.4
2020-11-05,159.37,1524.28,940.82,3277.9,590.4
2020-11-06,153.54,1247.03,976.2,2887.75,590.4
2020-11-07,147.71,1069.7,789.82,2429.88,590.4
2020-11-08,141.87,669.32,646.1,1671.45,590.4
2020-11-09,136.04,664.7,661.95,1681.1,590.4
2020-11-10,130.21,566.88,774.32,1643.15,590.4
2020-11-11,124.37,424.28,586.38,1236.35,590.4
2020-11-12,118.54,291.38,500.42,946.62,590.4
2020-11-13,112.71,427.92,728.78,1384.55,590.4
2020-11-14,106.88,179.05,389.33,663.38,590.4
2020-11-15,101.04,91.55,213.25,353.17,590.4
2020-11-16,95.21,251.8,387.1,773.0,590.4
2020-11-17,89.38,178.94,325.04,598.81,590.4
2020-11-18,83.54,230.15,371.9,724.08,590.4
2020-11-19,77.71,557.2,738.5,1592.48,590.4
2020-11-20,92.67,626.0,740.35,1699.88,590.4
2020-11-21,94.0,165.1,301.95,554.72,590.4
2020-11-22,187.0,466.58,675.42,1390.62,590.4
2020-11-23,293.0,944.47,854.75,2302.52,590.4
2020-11-24,147.0,372.55,586.25,1156.9,590.4
2020-11-25,220.0,513.58,727.18,1514.13,590.4
2020-11-26,408.0,1351.6,1055.08,3127.3,590.4
2020-11-27,575.0,1901.48,1051.22,3966.6,590.4
2020-11-28,786.0,839.1,895.92,2182.05,590.4
2020-11-29,606.0,526.4,869.13,1675.82,590.4
2020-11-30,365.0,510.55,592.8,1375.43,590.4
2020-12-01,150.0,781.77,931.85,2129.9,590.4
2020-12-02,350.5,1093.95,995.6,2672.65,590.4
2020-12-03,168.0,652.1,835.38,1834.58,590.4
2020-12-04,199.0,536.78,715.42,1538.18,590.4
2020-12-05,206.0,567.55,660.0,1529.92,590.4
2020-12-06,377.0,861.25,893.72,2213.82,590.4
2020-12-07,483.0,1351.9,1097.18,3169.68,590.4
2020-12-08,448.0,1300.1,1025.82,3018.95,590.4
2020-12-09,242.0,823.7,811.5,2074.28,590.4
2020-12-10,224.0,585.0,555.83,1452.35,590.4
2020-12-11,178.0,973.42,964.72,2456.98,590.4
2020-12-12,208.0,400.12,615.1,1228.2,590.4
2020-12-13,106.0,262.1,488.55,890.15,590.4
2020-12-14,97.0,267.05,533.5,942.6,590.4
2020-12-15,148.0,528.6,788.92,1598.98,590.4
2020-12-16,133.0,480.52,676.95,1413.48,590.4
2020-12-17,129.0,371.85,538.67,1108.38,590.4
2020-12-18,136.0,295.73,460.69,913.59,590.4
2020-12-19,165.0,237.35,433.55,796.92,590.4
2020-12-20,139.0,225.42,440.4,785.75,590.4
2020-12-21,58.0,228.18,362.4,711.75,590.4
2020-12-22,137.0,701.58,681.1,1756.5,590.4
2020-12-23,80.0,418.9,609.33,1250.88,590.4
2020-12-24,133.0,419.85,568.75,1212.05,590.4
2020-12-25,186.0,186.05,458.9,743.58,590.4
2020-12-26,65.0,82.02,196.88,322.1,590.4
2020-12-27,143.0,233.42,436.08,793.88,590.4
2020-12-28,297.0,539.67,742.0,1569.12,590.4
2020-12-29,383.0,531.97,670.51,1485.88,590.4
2020-12-30,386.0,1099.88,825.58,2511.45,590.4
2020-12-31,544.0,821.85,798.15,2057.45,590.4
2021-01-01,625.0,439.1,601.0,1273.6,590.4
2021-01-02,223.0,643.08,773.15,1758.62,590.4
2021-01-03,221.0,462.72,584.0,1293.25,590.4
2021-01-04,137.0,469.2,500.37,1218.97,590.4
2021-01-05,150.0,575.52,549.03,1430.85,590.4
2021-01-06,184.0,863.6,748.25,2072.15,590.4
2021-01-07,444.0,536.88,726.58,1549.62,590.4
2021-01-08,585.0,999.12,851.32,2382.9,590.4
2021-01-09,586.0,980.82,913.28,2416.6,590.4
2021-01-10,383.0,329.33,555.15,1059.78,590.4
2021-01-11,151.0,255.18,400.58,791.45,590.4
2021-01-12,124.0,695.35,864.77,1930.58,590.4
2021-01-13,208.0,670.43,764.62,1792.35,590.4
2021-01-14,124.5,627.78,730.41,1692.76,590.4
2021-01-15,438.0,1309.62,952.45,2959.95,590.4
2021-01-16,218.0,322.13,539.28,1032.58,590.4
2021-01-17,196.0,224.55,458.9,802.9,590.4
2021-01-18,164.0,311.02,518.85,995.35,590.4
2021-01-19,78.0,141.2,257.08,473.05,590.4
2021-01-20,159.0,156.32,302.4,541.72,590.4
2021-01-21,124.0,276.73,440.25,864.05,590.4
2021-01-22,163.0,632.0,750.0,1718.58,590.4
2021-01-23,279.0,634.65,816.75,1789.62,590.4
2021-01-24,308.0,331.32,702.5,1210.1,590.4
2021-01-25,290.0,690.88,880.18,1939.18,590.4
2021-01-26,222.0,572.1,772.1,1648.75,590.4
2021-01-27,187.0,716.7,786.62,1885.12,590.4
2021-01-28,131.0,413.25,538.45,1171.6,590.4
2021-01-29,154.0,381.55,545.75,1130.6,590.4
2021-01-30,174.0,345.2,524.55,1053.48,590.4
2021-01-31,264.0,420.45,599.75,1243.95,590.4
2021-02-01,358.0,968.43,859.38,2343.93,590.4
2021-02-02,223.0,220.35,415.38,752.78,590.4
2021-02-03,210.0,559.41,750.48,1607.54,590.4
2021-02-04,169.0,548.0,724.38,1564.3,590.4
2021-02-05,140.0,511.78,749.7,1534.05,590.4
2021-02-06,245.0,673.1,764.05,1795.75,590.4
2021-02-07,232.0,224.95,360.45,705.03,590.4
2021-02-08,203.0,478.88,559.42,1293.28,590.4
2021-02-09,152.0,519.83,633.75,1430.18,590.4
2021-02-10,158.0,605.65,750.6,1678.95,590.4
2021-02-11,366.0,557.97,742.35,1597.25,590.4
2021-02-12,370.0,440.72,583.88,1259.28,590.4
2021-02-13,331.0,319.57,462.15,951.48,590.4
2021-02-14,289.63,207.52,396.65,714.5,590.4
2021-02-15,303.15,304.92,501.88,969.02,590.4
2021-02-16,313.68,228.6,404.89,755.01,590.4
2021-02-17,324.22,150.32,314.98,544.8,590.4
2021-02-18,334.76,263.83,430.92,835.3,590.4
2021-02-19,345.29,299.55,545.28,1004.05,590.4
2021-02-20,354.77,215.62,423.92,754.0,590.4
2021-02-21,324.5,321.15,565.28,1057.2,590.4
2021-02-22,362.71,452.28,717.15,1410.07,590.4
2021-02-23,195.29,245.65,439.93,816.22,590.4
2021-02-24,191.5,248.22,471.42,851.7,590.4
2021-02-25,244.0,609.33,824.2,1758.02,590.4
2021-02-26,400.0,1024.22,1048.82,2619.07,590.4
2021-02-27,582.0,789.02,970.32,2179.95,590.4
2021-02-28,474.0,386.78,667.77,1260.45,590.4
2021-03-01,736.0,534.02,698.0,1516.4,590.4
2021-03-02,955.0,947.58,934.32,2386.68,590.4
2021-03-03,916.0,1157.8,1059.85,2834.65,590.4
2021-03-04,354.0,746.97,963.07,2107.98,590.4
2021-03-05,144.0,495.6,692.88,1452.1,590.4
2021-03-06,248.0,496.2,845.28,1605.75,590.4
2021-03-07,572.0,497.58,903.8,1666.28,590.4
2021-03-08,687.0,678.38,1057.0,2096.85,590.4
2021-03-09,390.0,368.35,691.2,1255.7,590.4
2021-03-10,311.0,142.6,323.13,541.43,590.4
2021-03-11,195.0,182.58,285.48,564.98,590.4
2021-03-12,153.0,179.25,289.32,563.92,590.4
2021-03-13,128.0,169.38,284.82,544.38,590.4
2021-03-14,130.0,130.33,257.0,456.68,590.4
2021-03-15,229.0,487.35,791.0,1537.68,590.4
2021-03-16,211.0,419.88,647.02,1290.12,590.4
2021-03-17,293.0,669.08,863.54,1888.82,590.4
2021-03-18,286.0,717.28,915.45,2014.95,590.4
2021-03-19,160.0,540.78,688.2,1516.88,590.4
2021-03-20,282.0,555.38,869.87,1721.55,590.4
2021-03-21,251.0,358.2,623.97,1172.73,590.4
2021-03-22,375.0,474.3,819.65,1546.48,590.4
2021-03-23,415.0,425.02,659.22,1310.6,590.4
2021-03-24,420.0,303.08,568.8,1032.78,590.4
2021-03-25,171.0,261.23,483.35,883.53,590.4
2021-03-26,166.24,205.92,383.28,698.58,590.4
2021-03-27,196.03,158.93,284.73,527.92,590.4
2021-03-28,201.0,76.7,192.25,309.4,590.4
2021-03-29,205.97,235.08,497.92,858.12,590.4
2021-03-30,210.93,701.55,1100.95,2176.08,590.4
2021-03-31,281.33,744.22,1210.47,2351.02,590.4
2021-04-01,458.0,474.7,703.2,1430.45,590.4
2021-04-02,130.0,312.92,434.75,913.92,590.4
2021-04-03,234.0,338.88,481.35,1000.38,590.4
2021-04-04,284.0,174.75,458.73,726.35,590.4
2021-04-05,194.0,262.07,439.55,841.12,590.4
2021-04-06,150.5,380.4,599.92,1182.62,590.4
2021-04-07,182.0,332.75,589.25,1099.18,590.4
2021-04-08,166.0,250.24,493.2,876.81,590.4
2021-04-09,149.0,384.08,633.48,1222.22,590.4
2021-04-10,190.5,357.1,542.58,1089.7,590.4
2021-04-11,197.0,326.62,654.35,1154.8,590.4
2021-04-12,226.0,559.17,927.03,1783.88,590.4
2021-04-13,334.0,550.62,922.35,1766.3,590.4
2021-04-14,327.0,672.6,889.9,1921.13,590.4
2021-04-15,169.0,535.52,780.85,1601.62,590.4
2021-04-16,257.0,710.05,943.05,2031.25,590.4
2021-04-17,240.0,535.45,840.1,1660.93,590.4
2021-04-18,245.0,353.2,753.58,1294.7,590.4
2021-04-19,480.0,584.52,934.03,1829.82,590.4
2021-04-20,694.0,613.73,1004.7,1945.15,590.4
2021-04-21,763.0,508.47,839.55,1618.73,590.4
2021-04-22,170.0,491.35,669.5,1422.55,590.4
2021-04-23,239.0,517.73,763.82,1557.6,590.4
2021-04-24,276.0,376.3,696.45,1273.47,590.4
2021-04-25,170.5,217.78,380.08,713.7,590.4
2021-04-26,166.0,430.05,586.0,1245.05,590.4
2021-04-27,363.0,517.75,886.0,1679.65,590.4
2021-04-28,355.0,555.87,927.18,1779.08,590.4
2021-04-29,227.5,547.38,930.45,1769.35,590.4
2021-04-30,288.0,587.2,1003.4,1903.7,590.4
2021-05-01,328.0,501.0,929.1,1696.97,590.4
2021-05-02,372.0,248.02,634.17,1013.8,590.4
2021-05-03,145.5,98.85,290.75,441.83,590.4
2021-05-04,98.0,193.15,341.4,637.28,590.4
2021-05-05,103.0,340.2,542.75,1063.82,590.4
2021-05-06,114.0,432.64,674.25,1337.29,590.4
2021-05-07,145.0,322.28,598.1,1092.07,590.4
2021-05-08,154.0,159.3,316.62,560.28,590.4
2021-05-09,54.0,164.52,343.9,595.93,590.4
2021-05-10,93.0,160.27,369.85,615.7,590.4
2021-05-11,106.0,278.28,536.2,962.58,590.4
2021-05-12,121.0,260.4,496.82,895.6,590.4
2021-05-13,141.0,490.12,649.88,1401.03,590.4
2021-05-14,261.0,537.28,850.88,1674.45,590.4
2021-05-15,158.0,331.18,554.83,1062.2,590.4
2021-05-16,149.0,177.88,410.65,683.0,590.4
2021-05-17,174.0,350.1,582.85,1119.22,590.4
2021-05-18,161.0,310.18,514.25,989.33,590.4
2021-05-19,83.0,345.22,641.12,1169.95,590.4
2021-05-20,169.0,270.85,461.8,876.58,590.4
2021-05-21,199.0,104.86,202.88,363.1,590.4
2021-05-22,136.0,275.33,504.25,926.22,590.4
2021-05-23,143.0,116.08,291.6,468.92,590.4
2021-05-24,137.0,273.25,553.85,972.53,590.4
2021-05-25,163.0,309.32,486.15,960.1,590.4
2021-05-26,169.0,370.58,668.32,1236.05,590.4
2021-05-27,241.0,472.08,825.82,1549.28,590.4
2021-05-28,298.0,519.75,890.62,1687.15,590.4
2021-05-29,343.0,405.1,768.4,1388.8,590.4
2021-05-30,355.0,259.73,504.28,902.38,590.4
2021-05-31,379.0,289.48,599.07,1042.45,590.4
2021-06-01,371.0,429.02,855.3,1512.62,590.4
2021-06-02,351.0,404.31,910.59,1530.21,590.4
2021-06-03,241.0,204.62,515.75,829.12,590.4
2021-06-04,198.0,692.9,846.03,1907.95,590.4
2021-06-05,219.0,291.03,567.35,1013.15,590.4
2021-06-06,135.0,187.38,419.05,706.2,590.4
2021-06-07,128.0,274.15,505.8,925.7,590.4
2021-06-08,149.0,292.58,488.45,936.48,590.4
2021-06-09,125.0,252.75,503.0,890.22,590.4
2021-06-10,161.0,271.2,348.42,763.6,590.4
2021-06-11,113.0,284.34,355.59,791.19,590.4
2021-06-12,201.0,285.35,512.22,949.48,590.4
2021-06-13,269.0,177.98,533.4,805.65,590.4
2021-06-14,214.0,288.85,620.45,1062.93,590.4
2021-06-15,169.0,409.8,648.62,1276.68,590.4
2021-06-16,230.0,246.1,577.6,954.52,590.4
2021-06-17,334.0,485.22,668.05,1411.75,590.4
2021-06-18,80.0,576.83,748.37,1632.3,590.4
2021-06-19,147.0,471.72,566.43,1289.28,590.4
2021-06-20,171.0,338.75,438.8,957.85,590.4
2021-06-21,158.0,436.38,516.35,1184.95,590.4
2021-06-22,189.0,501.68,546.25,1315.02,590.4
2021-06-23,211.0,618.33,774.42,1722.35,590.4
2021-06-24,243.0,345.7,602.75,1132.52,590.4
2021-06-25,114.0,350.05,487.72,1023.92,590.4
2021-06-26,176.0,396.78,568.72,1176.58,590.4
2021-06-27,459.0,286.62,510.95,950.08,590.4
2021-06-28,244.0,587.62,698.73,1599.28,590.4
2021-06-29,271.0,600.2,645.47,1565.4,590.4
2021-06-30,12.0,11.18,21.42,38.52,24.6
