MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3)
2018-04-17,581.2,1217.7,2108.9,1291.9,486.1
2018-04-18,840.6,1566.9,2854.9,943.5,631.6
2018-04-19,1251.2,2267.0,4185.1,901.9,1056.3
2018-04-20,1387.6,1898.5,4026.2,883.6,865.0
2018-04-21,750.7,1687.2,2838.1,815.0,1134.4
2018-04-22,708.7,1471.2,2557.7,1102.9,830.2
2018-04-23,1111.1,1521.7,3225.3,881.6,444.7
2018-04-24,977.4,1277.5,2776.3,807.6,391.8
2018-04-25,1248.9,1624.4,3539.7,751.6,409.3
2018-04-26,1229.3,1648.1,3533.1,811.3,490.6
2018-04-27,889.4,1525.6,2889.1,722.7,469.5
2018-04-28,344.9,757.9,1287.1,1174.6,263.9
2018-04-29,148.1,428.8,656.2,1626.1,233.8
2018-04-30,747.2,952.5,2098.1,1269.4,360.4
2018-05-01,1325.8,1641.7,3675.3,850.3,439.6
2018-05-02,1179.7,1591.5,3400.5,892.5,319.4
2018-05-03,1576.9,1910.8,4329.1,605.5,562.0
2018-05-04,1069.5,1690.8,3331.0,864.3,669.7
2018-05-05,704.4,1638.1,2718.0,1229.8,724.1
2018-05-06,406.5,1460.6,2083.7,1605.2,887.6
2018-05-07,345.7,1602.0,2131.7,1591.6,966.6
2018-05-08,1286.6,2200.3,4173.0,707.2,1037.9
2018-05-09,1131.7,1504.1,3239.2,803.6,658.9
2018-05-10,1267.3,1625.2,3567.7,837.5,518.5
2018-05-11,553.4,1180.0,2028.5,1219.7,624.7
2018-05-12,878.1,1583.8,2930.5,781.7,496.1
2018-05-13,665.9,1250.8,2271.8,881.8,527.4
2018-05-14,266.5,634.6,1043.0,1507.7,394.3
2018-05-15,316.4,708.6,1194.0,1771.6,439.5
2018-05-16,237.8,479.8,842.3,1460.5,536.9
2018-05-17,368.4,623.0,1187.5,1349.3,582.3
2018-05-18,627.5,1018.0,1979.8,1067.5,579.2
2018-05-19,542.9,1213.4,2045.6,1008.4,698.5
2018-05-20,464.7,1102.1,1814.3,1019.8,699.5
2018-05-21,523.7,1224.9,2027.7,1160.1,869.6
2018-05-22,250.1,563.9,947.7,1724.4,693.4
2018-05-23,229.1,549.1,900.1,1743.5,670.0
2018-05-24,600.5,1077.0,1997.9,1018.3,817.3
2018-05-25,732.3,1328.1,2451.2,915.2,785.7
2018-05-26,270.1,806.5,1220.4,1818.9,1054.8
2018-05-27,337.8,1138.5,1656.1,1322.9,937.7
2018-05-28,214.8,728.2,1057.7,1310.1,891.2
2018-05-29,203.8,596.4,908.3,1542.3,608.4
2018-05-30,642.0,1150.6,2135.1,961.4,708.4
2018-05-31,677.5,1396.7,2435.4,946.9,950.2
2018-06-01,876.6,1566.2,2910.2,726.4,756.1
2018-06-02,818.9,1383.1,2638.6,827.8,489.4
2018-06-03,532.5,1123.8,1940.5,1206.5,429.8
2018-06-04,285.7,632.7,1071.0,1378.7,435.5
2018-06-05,414.4,636.2,1271.8,1423.9,430.7
2018-06-06,507.8,843.1,1621.7,1235.0,642.3
2018-06-07,556.7,911.2,1764.6,1113.8,568.9
2018-06-08,598.2,921.8,1838.9,1178.9,570.0
2018-06-09,447.1,857.4,1542.9,1281.3,557.3
2018-06-10,344.7,721.8,1250.7,1215.7,489.6
2018-06-11,593.1,852.5,1761.7,1126.1,434.1
2018-06-12,383.2,670.4,1257.9,1033.0,364.9
2018-06-13,755.2,1279.0,2436.6,895.9,485.8
2018-06-14,786.2,1127.4,2332.7,857.6,538.4
2018-06-15,928.8,1368.8,2792.9,917.3,544.3
2018-06-16,742.0,1140.4,2277.9,887.0,465.3
2018-06-17,472.7,883.8,1608.4,918.3,390.2
2018-06-18,752.1,1023.9,2177.0,774.5,482.7
2018-06-19,905.0,927.8,2315.5,430.0,398.0
2018-06-20,932.4,834.5,2263.5,356.7,422.0
2018-06-21,417.2,685.9,1326.1,1269.8,407.3
2018-06-22,508.5,869.4,1649.0,1130.1,483.3
2018-06-23,504.6,1027.6,1801.5,1226.7,496.1
2018-06-24,282.6,922.3,1355.6,1367.6,490.4
2018-06-25,513.9,1436.3,2224.4,1694.6,601.3
2018-06-26,589.6,1281.8,2185.9,1113.8,571.3
2018-06-27,600.5,1003.8,1924.5,1018.0,552.5
2018-06-28,542.0,832.5,1663.5,1248.7,592.4
2018-06-29,608.7,929.7,1862.9,1201.0,539.8
2018-06-30,507.8,824.4,1603.2,1571.1,504.3
2018-07-01,393.0,986.5,1588.3,1930.3,570.6
2018-07-02,569.4,992.3,1865.5,1738.3,520.8
2018-07-03,612.7,969.3,1908.9,1446.3,500.8
2018-07-04,603.9,1146.3,2072.5,1146.9,587.5
2018-07-05,837.0,1772.9,3055.9,1113.9,770.1
2018-07-06,531.4,1314.4,2129.0,1495.3,703.2
2018-07-07,548.5,1372.7,2213.7,1458.9,785.3
2018-07-08,368.7,924.6,1489.9,1552.8,488.2
2018-07-09,598.8,1130.9,2049.0,998.0,499.6
2018-07-10,399.8,486.0,1099.5,1033.5,354.3
2018-07-11,419.7,588.3,1231.7,1107.0,413.3
2018-07-12,645.5,1061.0,2050.8,971.1,561.8
2018-07-13,705.1,1171.3,2251.9,1045.9,534.7
2018-07-14,510.6,1268.6,2051.3,1371.6,522.4
2018-07-15,511.7,1342.0,2126.4,1527.8,453.8
2018-07-16,864.2,1570.5,2895.6,1166.7,524.2
2018-07-17,1025.5,1287.2,2859.2,738.9,435.2
2018-07-18,952.8,1465.5,2926.1,753.4,452.7
2018-07-19,684.2,1424.8,2473.8,905.0,527.8
2018-07-20,688.9,1478.8,2534.8,1047.8,532.0
2018-07-21,580.8,1495.0,2385.9,1435.6,593.8
2018-07-22,691.9,1399.4,2460.4,914.8,478.2
2018-07-23,860.8,1455.7,2775.1,964.2,485.7
2018-07-24,874.7,1531.4,2872.6,919.9,518.9
2018-07-25,498.1,1122.9,1886.8,1189.3,557.3
2018-07-26,640.3,1623.9,2605.7,1204.75,795.7
2018-07-27,828.6,1728.6,2999.2,1040.8,707.5
2018-07-28,494.0,736.0,1494.1,1037.0,547.7
2018-07-29,312.6,507.3,986.7,829.6,302.4
2018-07-30,631.5,744.8,1713.1,543.6,337.2
2018-07-31,728.7,1027.6,2145.1,793.3,418.3
2018-08-01,840.7,1234.1,2523.4,825.2,479.9
2018-08-02,952.6,1493.6,2954.1,747.9,561.9
2018-08-03,592.2,1204.2,2112.7,1034.7,506.8
2018-08-04,300.6,643.8,1104.5,1074.4,411.9
2018-08-05,355.8,880.2,1425.9,1144.0,423.0
2018-08-06,771.1,1743.5,2925.9,1155.9,605.6
2018-08-07,849.3,1805.2,3107.3,1162.3,616.0
2018-08-08,767.2,1129.0,2305.2,823.9,416.9
2018-08-09,910.7,1225.7,2622.1,433.6,413.3
2018-08-10,1080.7,1288.1,2945.1,453.1,403.9
2018-08-11,778.1,1113.1,2306.1,686.3,408.7
2018-08-12,402.0,787.7,1404.2,842.1,321.0
2018-08-13,926.3,1147.0,2567.8,586.8,427.0
2018-08-14,974.4,1164.3,2658.7,642.4,427.2
2018-08-15,852.3,1185.4,2492.6,595.4,485.2
2018-08-16,1044.0,1203.1,2803.9,390.7,424.2
2018-08-17,1255.0,1301.4,3225.5,446.6,516.6
2018-08-18,666.0,978.8,2000.2,536.8,458.4
2018-08-19,472.3,713.2,1437.2,586.7,360.1
2018-08-20,1071.8,1181.8,2825.4,406.2,386.8
2018-08-21,786.1,1140.3,2345.3,666.4,360.0
2018-08-22,1106.3,1276.3,2972.5,295.9,461.3
2018-08-23,813.3,1018.1,2265.2,466.5,395.8
2018-08-24,991.7,1140.3,2661.1,536.2,414.2
2018-08-25,788.9,1032.2,2241.7,587.7,368.4
2018-08-26,649.5,1005.5,2001.5,543.2,359.2
2018-08-27,586.1,855.5,1754.4,587.5,283.0
2018-08-28,658.8,1039.7,2049.8,738.5,383.7
2018-08-29,800.3,1212.3,2439.4,495.6,465.35
2018-08-30,638.0,883.2,1861.6,673.1,510.4
2018-08-31,648.0,1092.2,2085.8,660.5,552.4
2018-09-01,520.6,1178.4,1976.6,1034.4,536.7
2018-09-02,370.6,1132.7,1701.1,1205.1,598.9
2018-09-03,555.4,1434.3,2285.4,1048.7,655.1
2018-09-04,255.0,704.2,1094.9,1178.3,483.8
2018-09-05,263.6,620.5,1025.0,1179.1,449.0
2018-09-06,918.1,1136.4,2544.1,626.0,536.1
2018-09-07,1056.9,1216.3,2836.8,597.5,404.9
2018-09-08,786.8,1224.6,2431.4,573.5,385.4
2018-09-09,501.9,1027.5,1797.3,863.4,389.1
2018-09-10,833.1,1115.9,2393.2,726.4,457.7
2018-09-11,770.5,993.9,2174.9,628.2,454.6
2018-09-12,628.8,895.3,1859.5,686.3,393.0
2018-09-13,1951.4,1552.5,4545.1,327.6,555.3
2018-09-14,1390.1,1446.9,3578.3,345.5,444.6
2018-09-15,1023.5,1244.6,2813.9,538.6,462.5
2018-09-16,469.3,970.3,1690.0,951.2,427.3
2018-09-17,527.7,1079.1,1888.4,1120.7,418.7
2018-09-18,599.9,945.6,1865.1,955.0,497.5
2018-09-19,582.9,862.4,1756.4,835.3,593.2
2018-09-20,581.8,819.8,1711.6,910.5,620.2
2018-09-21,987.6,1006.3,2520.7,757.2,507.7
2018-09-22,892.9,1108.5,2477.9,513.4,426.5
2018-09-23,387.5,648.1,1242.3,849.2,252.2
2018-09-24,1416.4,1157.8,3329.8,508.3,455.7
2018-09-25,2066.9,1467.5,4636.9,455.0,591.5
2018-09-26,1818.8,2072.1,4860.6,365.2,669.8
2018-09-27,1873.5,1994.2,4867.2,454.6,717.3
2018-09-28,491.6,682.6,1436.3,876.2,399.5
2018-09-29,1183.8,1451.6,3267.3,428.8,606.5
2018-09-30,1165.6,1216.3,3003.2,566.0,459.3
2018-10-01,1138.0,1099.6,2844.6,584.2,400.2
2018-10-02,1445.4,1234.1,3450.2,450.6,432.3
2018-10-03,2104.2,1289.9,4515.8,277.8,523.1
2018-10-04,1834.2,1112.1,3924.6,193.6,507.1
2018-10-05,1973.4,1685.8,4711.1,273.4,789.7
2018-10-06,594.8,762.3,1674.0,843.2,322.2
2018-10-07,992.9,1006.6,2528.7,670.6,343.2
2018-10-08,1522.9,1504.2,3839.3,387.2,399.7
2018-10-09,1128.8,1586.9,3317.6,555.0,524.0
2018-10-10,1393.1,1677.6,3813.4,346.0,1127.8
2018-10-11,443.9,926.5,1606.9,922.4,489.2
2018-10-12,406.5,840.3,1463.4,1085.0,468.2
2018-10-13,364.7,844.6,1403.4,1094.9,426.3
2018-10-14,424.7,687.9,1338.9,997.3,181.4
2018-10-15,737.0,935.4,2065.1,484.8,355.9
2018-10-16,939.7,1076.2,2517.2,563.5,573.0
2018-10-17,1450.9,1407.2,3632.2,302.6,482.0
