MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-05-11,377.51,810.96,1390.49,446.2
2018-05-12,206.01,803.64,1121.21,448.1
2018-05-13,398.18,632.92,1246.72,473.8
2018-05-14,302.11,529.62,997.34,430.8
2018-05-15,199.6,542.2,854.16,396.8
2018-05-16,145.84,350.14,580.83,421.45
2018-05-17,187.53,410.08,706.0,395.6
2018-05-18,397.01,706.1,1324.14,480.6
2018-05-19,302.77,677.05,1151.88,609.2
2018-05-20,183.18,619.83,912.65,646.4
2018-05-21,305.84,899.62,1381.9,761.2
2018-05-22,144.37,428.65,657.95,635.1
2018-05-23,128.33,360.71,557.8,565.5
2018-05-24,177.36,540.58,812.46,603.5
2018-05-25,410.29,832.44,1461.42,708.79
2018-05-26,110.02,501.28,670.11,826.8
2018-05-27,110.48,586.28,755.5,775.19
2018-05-28,132.71,417.49,620.56,743.47
2018-05-29,147.0,395.35,620.84,700.58
2018-05-30,386.25,756.61,1349.0,657.7
2018-05-31,259.0,682.3,1079.34,614.81
2018-06-01,320.71,769.38,1261.45,571.92
2018-06-02,165.32,543.65,797.06,529.04
2018-06-03,136.35,563.88,773.1,486.15
2018-06-04,234.2,515.24,873.9,406.1
2018-06-05,243.45,497.25,869.72,367.25
2018-06-06,216.14,495.39,826.35,493.4
2018-06-07,249.01,516.03,897.8,453.0
2018-06-08,219.76,453.52,790.56,453.0
2018-06-09,124.61,387.24,578.4,445.6
2018-06-10,88.69,317.61,453.25,433.6
2018-06-11,241.86,568.65,939.4,355.5
2018-06-12,292.21,576.59,1024.46,359.05
2018-06-13,405.92,637.5,1259.97,349.9
2018-06-14,214.41,503.49,832.22,354.5
2018-06-15,512.79,683.76,1469.98,456.9
2018-06-16,76.25,347.38,464.46,253.9
2018-06-17,43.89,229.52,296.6,207.0
2018-06-18,112.95,287.59,460.79,239.68
2018-06-19,170.92,282.29,544.31,227.22
2018-06-20,189.3,325.98,616.02,191.4
2018-06-21,220.35,417.83,755.61,351.85
2018-06-22,236.21,507.71,870.25,380.4
2018-06-23,212.08,650.75,976.04,393.2
2018-06-24,143.22,546.6,766.01,392.4
2018-06-25,273.55,800.54,1219.9,428.3
2018-06-26,276.52,742.85,1166.91,480.1
2018-06-27,201.88,502.6,811.86,455.65
2018-06-28,201.48,479.05,787.89,523.1
2018-06-29,188.69,446.79,735.92,481.8
2018-06-30,100.58,372.98,527.19,478.35
2018-07-01,82.58,509.8,636.58,506.0
2018-07-02,164.77,589.14,841.85,398.0
2018-07-03,147.09,523.39,749.08,356.1
2018-07-04,195.48,669.78,969.53,467.8
2018-07-05,351.06,917.2,1455.42,710.9
2018-07-06,250.62,756.44,1140.49,777.95
2018-07-07,164.99,657.49,910.49,672.65
2018-07-08,98.76,539.75,690.94,470.3
2018-07-09,331.64,727.21,1235.54,515.1
2018-07-10,223.86,348.01,691.2,296.9
2018-07-11,217.34,408.7,742.02,391.3
2018-07-12,240.44,554.12,922.59,469.0
2018-07-13,206.25,586.08,901.98,452.75
2018-07-14,130.85,682.79,883.64,426.7
2018-07-15,216.86,804.69,1137.18,441.3
2018-07-16,235.61,699.0,1060.1,368.6
2018-07-17,139.14,383.59,597.06,249.8
2018-07-18,147.09,668.2,893.44,255.15
2018-07-19,402.2,933.26,1550.05,406.5
2018-07-20,222.22,932.96,1273.68,403.75
2018-07-21,180.32,696.06,972.5,579.4
2018-07-22,191.86,659.36,953.49,420.0
2018-07-23,373.9,727.62,1300.95,353.38
2018-07-24,106.56,522.38,685.66,376.32
2018-07-25,191.48,624.69,918.18,464.5
2018-07-26,178.49,815.88,1089.61,749.65
2018-07-27,184.8,904.75,1188.0,418.65
2018-07-28,55.2,214.26,298.64,261.7
2018-07-29,71.71,222.34,331.95,137.38
2018-07-30,177.75,299.14,571.51,166.92
2018-07-31,138.18,394.74,606.83,197.75
2018-08-01,148.23,559.07,786.41,293.2
2018-08-02,253.06,702.29,1090.26,322.6
2018-08-03,473.01,749.19,1474.41,481.1
2018-08-04,141.6,373.78,590.99,316.65
2018-08-05,129.19,456.74,655.08,347.4
2018-08-06,349.09,912.84,1447.86,486.7
2018-08-07,257.45,853.79,1248.74,382.15
2018-08-08,104.26,295.29,455.18,261.77
2018-08-09,441.57,679.32,1356.6,427.68
2018-08-10,233.01,529.74,886.69,253.55
2018-08-11,261.25,465.41,865.94,215.15
2018-08-12,53.04,288.7,369.84,147.9
2018-08-13,226.95,395.84,743.68,348.7
2018-08-14,231.91,380.88,736.14,277.2
2018-08-15,94.82,335.41,480.85,258.5
2018-08-16,182.96,420.71,701.34,216.3
2018-08-17,361.59,394.42,949.01,277.95
2018-08-18,75.6,284.26,400.0,233.65
2018-08-19,80.18,187.23,310.16,228.9
2018-08-20,181.08,394.1,671.39,213.8
2018-08-21,137.64,485.38,696.58,199.8
2018-08-22,188.96,530.5,820.29,276.44
2018-08-23,204.25,381.21,694.14,286.36
2018-08-24,169.7,287.85,548.28,247.4
2018-08-25,493.6,480.49,1237.46,271.55
2018-08-26,678.24,457.49,1497.89,221.15
2018-08-27,99.61,217.15,369.96,175.8
2018-08-28,362.58,714.8,1270.71,213.1
2018-08-29,626.34,716.29,1676.7,354.6
2018-08-30,425.59,605.0,1257.75,383.4
2018-08-31,435.72,751.53,1419.71,460.2
2018-09-01,558.49,768.44,1624.78,456.8
2018-09-02,337.62,759.3,1276.79,589.5
2018-09-03,649.59,1016.49,2012.46,570.9
2018-09-04,228.18,506.79,856.88,379.45
2018-09-05,215.75,473.25,803.89,395.5
2018-09-06,353.53,579.49,1121.6,387.45
2018-09-07,268.42,519.7,931.68,258.0
2018-09-08,276.29,665.47,1089.11,188.1
2018-09-09,76.64,290.46,407.79,173.6
2018-09-10,111.3,375.75,546.35,248.25
2018-09-11,112.52,349.69,522.26,236.98
2018-09-12,767.51,600.02,1776.71,291.4
