MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), Sulphur Dioxide (ug/m3)
2020-11-05,1157.15,879.35,17.8,2783.8,1458.0,5726.0,527.1,117.9
2020-11-06,1215.85,958.65,10.0,948.3,1384.1,2838.2,554.07,70.7
2020-11-07,828.85,625.1,8.0,717.4,1119.4,2218.5,581.04,58.7
2020-11-08,904.65,741.1,8.8,399.6,798.6,1411.2,608.01,58.0
2020-11-09,356.15,255.1,5.1,153.9,794.4,1030.4,634.98,37.0
2020-11-10,275.95,183.25,4.0,115.8,682.1,859.5,661.96,50.6
2020-11-11,224.85,136.9,2.9,45.3,487.5,557.0,688.93,73.7
2020-11-12,254.2,121.45,2.6,25.3,352.2,391.2,715.9,48.1
2020-11-13,262.85,136.0,3.1,29.7,527.3,572.9,742.87,58.2
2020-11-14,267.6,175.65,2.4,13.2,279.4,300.1,769.84,75.6
2020-11-15,179.8,95.95,2.4,12.4,166.3,185.8,796.81,76.4
2020-11-16,230.0,116.55,2.6,24.3,327.8,365.6,823.79,83.2
2020-11-17,222.4,119.15,2.4,21.5,288.7,321.8,850.76,36.4
2020-11-18,274.35,151.55,2.8,27.2,270.9,312.8,877.73,67.0
2020-11-19,225.8,118.15,3.8,90.2,572.2,710.6,904.7,94.7
2020-11-20,244.15,159.5,2.8,139.8,811.25,1025.6,931.67,67.5
2020-11-21,172.25,97.25,2.6,9.7,234.9,250.0,958.65,40.3
2020-11-22,217.95,143.45,3.5,227.1,694.1,1042.4,985.62,30.8
2020-11-23,397.5,271.8,5.7,714.1,1020.3,2115.1,1012.59,38.0
2020-11-24,239.2,143.45,2.9,28.3,444.3,487.8,1039.56,68.1
2020-11-25,397.95,258.05,3.1,45.3,595.6,665.2,1066.53,79.8
2020-11-26,453.3,279.2,4.2,276.4,1046.2,1470.1,1093.51,45.6
2020-11-27,730.95,522.65,11.9,2025.4,1211.8,4318.1,1120.48,105.9
2020-11-28,1010.75,838.9,8.7,435.5,1148.1,1815.7,1147.45,60.4
2020-11-29,718.8,623.7,6.0,140.9,965.7,1181.3,1174.42,39.8
2020-11-30,358.15,281.25,5.0,168.3,626.25,884.2,1201.39,95.0
2020-12-01,280.2,134.25,3.8,114.3,721.1,896.7,1228.37,55.8
2020-12-02,482.05,308.0,5.4,633.9,1119.4,2091.2,1255.34,104.9
2020-12-03,193.6,130.8,4.3,78.7,892.1,1012.6,1282.31,167.7
2020-12-04,223.0,155.5,3.0,110.3,744.6,913.2,1309.28,76.2
2020-12-05,251.3,146.25,3.5,71.2,693.3,802.0,1336.25,75.8
2020-12-06,331.75,274.8,3.6,114.9,697.0,872.9,1363.22,27.3
2020-12-07,446.75,335.25,4.5,363.8,1018.0,1575.9,1390.2,74.6
2020-12-08,461.85,380.95,7.3,916.3,1069.3,2474.5,1417.17,63.0
2020-12-09,335.65,206.95,3.7,149.1,955.4,1183.7,1444.14,52.4
2020-12-10,379.15,227.8,3.4,84.6,702.5,831.8,1471.11,54.0
2020-12-11,277.85,192.05,6.1,346.4,957.0,1488.1,1498.08,76.2
2020-12-12,295.15,209.75,3.7,85.1,729.6,859.6,1525.06,88.8
2020-12-13,164.25,110.25,2.7,35.3,563.0,616.7,1552.03,96.3
2020-12-14,246.5,140.0,2.9,27.7,426.7,469.2,1429.25,57.6
2020-12-15,258.0,134.6,3.1,48.0,611.4,684.7,1124.5,59.4
2020-12-16,222.2,124.05,3.65,42.4,614.1,679.3,1063.8,36.5
2020-12-17,238.25,121.65,3.4,55.4,523.8,608.7,1003.1,45.2
2020-12-18,166.05,105.9,2.4,19.9,262.2,292.8,1218.8,63.6
2020-12-19,242.55,143.9,2.4,17.1,289.3,316.3,1335.1,70.1
2020-12-20,214.55,113.85,2.9,18.8,318.5,347.5,1360.7,45.7
2020-12-21,104.3,57.15,2.5,27.7,362.0,404.8,1097.0,96.0
2020-12-22,217.8,152.3,5.0,275.7,677.2,1099.6,718.7,58.5
2020-12-23,127.4,75.65,3.2,27.3,411.1,452.8,978.7,62.3
2020-12-24,123.1,70.25,2.4,44.6,259.6,327.9,1279.6,72.4
2020-12-25,201.25,136.8,3.2,51.7,470.9,550.5,988.0,55.2
2020-12-26,124.5,91.65,2.7,14.9,257.5,280.0,1205.6,107.6
2020-12-27,178.7,110.15,3.3,21.7,324.7,357.6,1365.9,175.2
2020-12-28,295.65,233.05,3.2,98.1,747.4,897.5,578.3,69.2
2020-12-29,339.2,288.0,3.0,50.4,464.1,541.7,861.7,103.4
2020-12-30,382.45,294.2,5.7,508.3,940.0,1719.4,299.4,60.3
2020-12-31,440.65,377.35,5.5,358.45,701.4,1250.9,514.2,117.5
2021-01-01,706.85,615.15,10.2,113.4,583.2,761.8,455.5,129.5
2021-01-02,527.45,447.15,9.9,82.5,523.9,650.2,690.8,14.68
2021-01-03,523.75,451.0,9.3,72.3,359.9,470.2,781.6,-138.28
2021-01-04,499.1,412.0,9.3,40.4,264.2,326.1,1028.5,-188.5
2021-01-05,506.2,410.8,8.7,50.2,288.1,365.1,921.2,-192.2
2021-01-06,525.15,431.9,10.0,96.8,487.0,635.5,633.8,-182.5
2021-01-07,657.8,559.0,10.4,232.0,882.4,1238.1,315.55,-154.2
2021-01-08,734.3,634.55,12.1,387.7,876.8,1471.4,237.8,-139.2
2021-01-09,673.9,574.55,13.0,539.1,871.1,1697.4,435.6,-74.8
2021-01-10,642.55,563.6,10.8,61.3,660.9,754.8,538.6,-37.9
2021-01-11,525.9,439.0,10.0,39.0,445.8,505.7,1192.2,45.3
2021-01-12,504.25,421.35,10.6,188.9,704.2,993.7,1021.7,143.8
2021-01-13,601.5,505.65,12.0,445.0,929.0,1610.8,398.2,116.0
2021-01-14,484.7,413.35,7.5,68.0,721.6,825.4,760.3,44.6
2021-01-15,672.45,560.85,11.1,561.2,886.7,1747.0,381.6,-33.3
2021-01-16,525.35,444.65,8.0,46.1,565.4,635.4,766.1,30.0
2021-01-17,570.95,457.8,7.4,37.0,533.4,589.8,1043.6,13.1
2021-01-18,545.35,440.2,7.6,148.9,642.7,870.9,937.9,41.9
2021-01-19,469.05,395.05,7.4,54.6,202.7,286.5,1537.9,202.5
2021-01-20,499.85,421.35,7.3,21.6,170.2,203.3,1584.2,359.5
2021-01-21,520.7,414.0,7.8,40.6,409.7,472.4,1372.6,376.1
2021-01-22,547.55,442.25,8.9,182.9,716.3,997.2,836.1,327.1
2021-01-23,558.9,467.75,8.8,247.1,797.7,1177.0,799.1,293.4
2021-01-24,556.4,470.55,9.5,84.2,893.9,1022.9,742.2,279.2
2021-01-25,585.35,473.0,8.4,261.3,957.6,1358.3,771.6,171.2
2021-01-26,541.9,449.7,11.9,331.8,821.8,1330.7,762.2,184.7
2021-01-27,568.1,473.8,12.85,153.8,794.95,1031.45,464.85,281.45
2021-01-28,503.85,417.5,11.4,41.7,374.4,438.3,1080.3,364.4
2021-01-29,541.15,433.85,11.8,51.2,371.3,449.7,1344.1,389.1
2021-01-30,530.45,437.05,12.0,52.8,355.7,436.7,1031.2,395.3
2021-01-31,572.45,471.95,12.6,95.4,503.1,649.4,856.6,411.3
2021-02-01,627.55,539.3,13.4,107.3,560.8,725.5,620.3,420.2
2021-02-02,623.25,487.55,12.4,143.85,661.02,881.68,979.57,418.5
2021-02-03,627.7,458.55,12.0,104.45,681.82,841.18,1198.73,283.5
2021-02-04,560.15,452.65,12.0,78.4,815.1,934.9,726.1,53.7
2021-02-05,511.85,423.8,11.4,24.2,608.4,645.6,1173.1,41.2
2021-02-06,552.95,469.1,4.7,138.7,672.4,884.9,726.6,30.4
2021-02-07,573.95,462.55,0.5,46.3,220.9,291.8,1689.3,12.4
2021-02-08,525.6,436.2,0.3,54.8,427.5,511.8,1521.2,8.6
2021-02-09,542.95,431.3,0.3,62.6,564.2,660.2,1476.3,1.0
2021-02-10,550.6,428.95,0.8,77.1,578.8,696.5,1453.5,-6.4
2021-02-11,647.25,512.95,3.2,81.6,813.25,938.2,1143.4,10.9
2021-02-12,673.85,518.3,3.6,55.6,585.9,670.8,1378.2,24.8
2021-02-13,639.4,492.05,3.7,39.5,476.1,537.1,1424.7,7.1
2021-02-14,633.9,500.75,3.8,22.3,425.2,459.2,1514.6,1.5
2021-02-15,556.25,459.35,4.9,45.1,533.6,602.7,1186.9,0.6
2021-02-16,569.5,453.2,4.3,25.8,453.6,494.0,1341.8,2.7
2021-02-17,564.2,444.45,3.0,17.1,299.3,325.1,1661.3,-1.7
2021-02-18,555.55,428.5,3.5,28.0,384.4,427.1,1622.6,2.9
2021-02-19,564.65,439.6,2.5,17.6,363.5,391.0,1588.2,-0.3
2021-02-20,814.75,523.95,2.8,16.3,288.7,313.6,1628.4,1.7
2021-02-21,685.25,513.0,4.1,21.9,508.0,541.7,1357.4,-1.8
2021-02-22,768.35,576.7,6.0,237.1,1120.8,1484.6,433.4,3.8
2021-02-23,547.0,449.0,2.5,35.0,348.2,402.2,1579.9,-8.9
2021-02-24,591.1,452.15,2.9,44.6,372.3,440.5,1570.8,-8.5
2021-02-25,629.8,460.6,4.05,124.8,756.65,948.45,1293.8,68.25
2021-02-26,728.2,519.1,7.1,722.0,1286.6,2393.6,732.8,129.3
2021-02-27,791.5,616.8,9.6,1130.2,1142.6,2875.4,990.0,141.5
2021-02-28,678.2,578.85,3.6,51.0,582.0,659.9,1249.86,102.4
2021-03-01,808.55,690.7,2.6,78.2,556.6,675.7,1151.16,98.7
2021-03-02,976.7,826.2,5.4,282.1,770.7,1202.7,876.35,105.3
2021-03-03,1044.95,885.15,8.9,834.6,1192.2,2472.1,601.53,124.0
2021-03-04,620.4,521.95,3.2,54.1,481.3,563.9,1165.55,98.4
2021-03-05,566.85,429.15,1.8,40.5,379.6,441.8,1605.1,92.8
2021-03-06,531.7,431.5,2.4,42.4,531.2,595.9,1400.5,93.5
2021-03-07,703.7,589.2,3.6,214.6,764.1,1092.9,1243.9,104.2
2021-03-08,917.45,737.75,7.2,359.6,1257.3,1808.4,424.2,118.9
2021-03-09,740.3,558.0,3.0,115.1,741.3,917.8,1013.0,106.4
2021-03-10,608.95,504.55,1.5,13.0,243.2,263.5,1567.05,97.6
2021-03-11,573.95,444.4,0.0,16.9,178.3,203.9,1652.4,82.5
2021-03-12,558.5,428.2,0.0,94.4,384.8,529.5,1539.1,77.1
2021-03-13,504.75,408.75,0.1,16.9,220.4,246.4,1701.6,80.7
2021-03-14,507.65,416.7,0.0,11.5,248.5,266.2,1544.5,68.6
2021-03-15,571.7,456.0,1.7,60.7,522.6,615.5,1594.0,67.3
2021-03-16,607.35,464.7,1.3,56.8,513.6,601.2,1164.9,63.5
2021-03-17,687.8,504.55,1.2,68.7,526.7,632.2,1180.2,60.4
2021-03-18,630.3,498.0,1.3,48.7,561.1,635.8,1008.2,63.6
2021-03-19,495.55,406.7,0.3,34.2,287.2,339.8,1611.2,59.7
2021-03-20,586.55,477.95,0.7,35.4,506.0,559.8,1047.7,59.2
2021-03-21,559.25,458.6,1.0,28.9,379.8,424.2,1407.2,61.6
2021-03-22,701.45,542.4,1.8,73.0,723.9,835.9,1062.1,64.6
2021-03-23,756.15,577.1,1.7,150.6,672.3,903.2,1120.85,62.9
2021-03-24,790.85,587.95,0.6,39.6,508.8,569.3,1348.7,49.0
2021-03-25,582.15,444.25,0.1,31.0,413.8,461.5,1462.9,51.3
2021-03-26,543.7,424.2,0.0,18.9,305.0,334.1,1724.2,51.9
2021-03-27,544.45,428.8,0.0,11.2,197.7,215.1,1771.0,50.2
2021-03-28,594.3,460.6,0.0,4.8,154.7,162.2,1981.9,43.6
2021-03-29,620.35,467.9,0.1,24.8,374.2,412.0,1779.1,45.7
2021-03-30,749.3,540.55,4.3,598.4,1512.3,2429.7,1008.2,71.1
2021-03-31,945.55,658.2,8.1,801.0,1816.4,3044.4,683.5,88.2
2021-04-01,769.9,592.7,1.7,176.9,500.2,771.8,1445.2,56.4
2021-04-02,548.15,429.95,0.0,24.9,185.5,223.6,1934.9,37.4
2021-04-03,661.85,480.6,0.0,26.1,202.3,241.9,1997.1,36.1
2021-04-04,677.75,517.0,0.3,23.5,350.6,386.2,1825.5,43.0
2021-04-05,578.4,441.5,0.0,15.8,231.5,255.7,1705.9,44.2
2021-04-06,564.0,409.8,0.0,37.8,387.4,446.0,1458.8,43.0
2021-04-07,602.7,430.45,0.3,71.2,628.8,738.2,1215.1,51.0
2021-04-08,633.65,437.95,0.0,40.85,484.4,546.8,1447.0,55.5
2021-04-09,564.4,430.45,0.0,37.8,401.9,459.6,1539.6,52.5
2021-04-10,555.25,440.15,0.0,37.4,336.7,394.7,1692.2,50.6
2021-04-11,515.2,419.35,0.1,52.1,480.1,560.4,1500.6,41.6
2021-04-12,584.4,455.15,1.1,217.1,872.4,1205.2,1119.5,46.0
2021-04-13,687.3,516.1,2.7,411.6,1086.2,1717.2,919.0,57.0
2021-04-14,629.05,492.35,0.8,129.9,789.9,989.2,1338.5,44.9
2021-04-15,530.3,418.75,0.0,45.2,466.3,535.8,1625.0,38.2
2021-04-16,558.25,445.2,0.0,51.4,590.0,668.8,1570.4,42.5
2021-04-17,526.0,425.0,0.0,36.0,528.6,583.2,1673.6,47.8
2021-04-18,551.5,440.65,0.2,72.2,653.2,763.7,1596.1,47.4
2021-04-19,741.95,564.45,0.6,150.0,895.6,1126.2,1377.0,55.9
2021-04-20,917.25,740.85,1.1,130.85,1064.8,1265.65,1284.7,64.6
2021-04-21,961.7,772.15,1.1,57.5,667.8,756.2,1505.2,55.3
2021-04-22,658.1,465.4,0.0,67.7,428.8,532.2,1614.2,53.0
2021-04-23,630.85,465.2,0.0,105.9,644.7,807.4,1393.6,56.9
2021-04-24,620.7,484.55,0.0,56.0,475.6,561.6,1725.7,53.8
2021-04-25,561.1,445.25,0.0,41.4,196.2,259.9,1912.6,47.6
2021-04-26,578.15,434.95,0.0,38.4,269.9,328.3,1998.3,52.7
2021-04-27,718.35,531.45,0.2,104.1,790.3,950.3,1569.4,68.0
2021-04-28,731.95,560.7,0.0,51.1,490.1,568.4,1772.3,69.8
2021-04-29,564.35,441.7,0.0,48.2,360.9,435.2,1830.5,56.0
2021-04-30,587.3,466.15,0.0,39.0,435.0,495.0,1706.0,53.0
2021-05-01,577.65,472.6,0.0,30.4,351.2,398.3,1830.3,48.3
2021-05-02,605.3,508.55,0.0,32.5,447.7,497.5,1670.7,43.1
2021-05-03,555.3,437.55,0.0,10.8,161.6,177.8,1981.4,55.0
2021-05-04,497.2,396.55,0.0,24.8,162.0,200.0,1804.6,55.6
2021-05-05,497.9,403.1,0.0,46.4,421.15,492.3,1294.0,53.66
2021-05-06,526.85,422.25,0.0,80.4,495.9,619.1,1223.7,89.55
2021-05-07,551.55,425.05,0.2,40.6,407.9,470.7,1584.9,120.29
2021-05-08,522.9,428.85,0.4,14.9,255.4,278.1,1347.7,107.6
2021-05-09,494.7,409.2,0.7,14.9,204.0,226.7,1301.2,110.8
2021-05-10,534.55,424.95,0.0,15.6,220.3,244.3,1734.9,111.6
2021-05-11,534.55,421.75,0.4,33.1,373.7,424.4,1719.7,107.7
2021-05-12,546.55,430.25,0.0,20.4,239.7,271.7,1939.3,103.1
2021-05-13,566.35,461.25,2.3,72.3,709.6,820.9,1207.6,110.5
2021-05-14,579.9,480.1,0.5,34.3,414.0,466.4,1693.7,103.9
2021-05-15,529.85,447.8,0.5,22.8,337.5,372.0,1596.5,103.3
2021-05-16,511.95,422.9,0.3,18.3,285.4,313.1,1396.4,105.0
2021-05-17,516.8,428.55,0.4,43.3,485.3,551.7,1161.7,104.3
2021-05-18,519.95,426.35,3.45,62.05,432.75,527.85,1102.75,169.5
2021-05-19,488.7,396.5,4.8,43.2,420.0,486.5,1432.3,193.8
2021-05-20,558.7,437.5,4.6,27.6,266.0,308.3,1410.5,195.8
2021-05-21,567.55,443.85,3.7,21.9,139.2,173.2,1705.9,200.9
2021-05-22,481.15,400.0,4.6,26.0,315.1,354.8,1338.2,197.6
2021-05-23,498.65,408.75,3.4,13.4,179.5,200.4,1765.4,198.5
2021-05-24,491.25,401.1,4.0,26.1,273.0,312.9,1778.8,201.8
2021-05-25,506.95,409.05,4.1,32.7,323.4,373.4,1335.1,194.2
2021-05-26,537.45,428.25,4.4,46.9,492.1,564.1,1232.6,190.0
2021-05-27,604.55,480.5,5.6,133.8,761.4,966.2,1268.8,197.5
2021-05-28,640.25,520.1,5.8,49.9,800.3,877.2,1338.9,198.0
2021-05-29,617.0,506.05,4.8,33.1,494.8,545.1,1726.2,202.5
2021-05-30,632.7,529.75,3.5,23.6,240.4,276.7,1940.1,189.3
2021-05-31,657.1,539.75,3.9,33.3,333.8,384.8,1940.9,202.7
2021-06-01,668.3,506.25,3.9,54.5,484.9,569.2,2267.5,209.9
2021-06-02,703.25,513.55,5.0,52.9,683.5,764.3,2271.9,223.7
2021-06-03,663.65,524.0,4.95,11.3,212.2,229.4,1774.35,115.2
2021-06-04,561.75,456.85,5.8,47.2,374.3,446.6,953.2,38.3
2021-06-05,571.2,464.8,4.5,27.2,260.3,301.7,1446.1,39.4
2021-06-06,515.95,430.05,4.0,26.5,237.5,278.1,1185.3,42.0
2021-06-07,516.7,424.15,2.4,24.0,181.5,218.4,1404.6,44.0
2021-06-08,563.45,441.75,2.5,37.8,240.0,297.7,1475.2,46.0
2021-06-09,547.9,430.6,2.1,24.5,200.5,238.3,1517.9,45.5
2021-06-10,526.0,424.7,2.9,35.3,161.8,215.7,836.0,45.5
2021-06-11,526.0,413.65,2.4,30.3,118.8,165.7,951.4,43.3
2021-06-12,552.2,445.45,2.9,21.2,224.9,257.3,1482.4,40.4
2021-06-13,577.3,468.2,3.1,13.7,210.7,231.5,1928.9,44.8
2021-06-14,593.75,448.85,2.7,18.4,240.4,268.0,1698.7,47.1
2021-06-15,614.9,450.75,2.0,36.6,310.6,366.5,1638.7,54.3
2021-06-16,626.8,469.5,3.2,18.0,252.0,279.1,1890.5,58.1
2021-06-17,605.35,496.15,5.9,35.8,319.85,375.5,1131.4,30.5
2021-06-18,465.2,389.45,4.7,27.5,196.6,238.6,1187.1,14.1
2021-06-19,501.05,414.65,4.6,28.0,173.2,215.9,1217.3,16.0
2021-06-20,518.05,433.55,4.7,35.9,150.9,206.2,1143.8,20.3
2021-06-21,535.8,433.5,3.8,39.8,200.9,262.2,1384.8,19.0
2021-06-22,563.65,434.25,2.4,38.0,136.8,195.1,1376.4,21.3
2021-06-23,566.5,448.1,2.8,42.0,280.3,344.6,1496.4,21.7
2021-06-24,624.3,493.45,5.0,81.6,440.9,566.3,948.5,23.2
2021-06-25,526.15,421.2,3.9,35.3,212.4,266.7,1203.5,21.6
2021-06-26,556.75,457.1,4.2,38.0,217.7,275.6,1301.0,20.9
2021-06-27,656.55,554.35,5.3,23.3,176.1,211.6,1562.8,22.5
2021-06-28,572.7,476.4,4.9,50.6,252.0,329.4,1064.0,23.3
2021-06-29,597.8,485.0,3.5,42.2,251.1,315.5,1024.55,21.55
2021-06-30,23.05,19.25,0.1,0.8,10.7,11.8,39.5,0.5
