MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-04-20,591.35,1077.1,1984.25,910.2,578.7
2018-04-21,174.1,908.4,1175.2,938.75,712.7
2018-04-22,192.05,749.65,1044.0,859.85,606.3
2018-04-23,244.85,639.15,1014.05,319.75,129.8
2018-04-24,362.1,677.4,1232.7,341.05,156.1
2018-04-25,249.23,617.7,999.75,299.6,128.6
2018-04-26,263.75,656.95,1061.45,374.8,144.7
2018-04-27,453.15,1098.35,1793.0,376.5,198.9
2018-04-28,51.85,410.85,490.5,232.35,178.5
2018-04-29,100.75,294.9,449.3,193.35,139.6
2018-04-30,60.95,404.05,497.75,244.15,129.0
2018-05-01,504.75,998.8,1772.9,375.4,179.8
2018-05-02,503.55,968.75,1741.05,286.2,132.5
2018-05-03,834.1,1263.0,2541.7,450.05,226.3
2018-05-04,572.95,1196.5,2075.2,636.95,290.0
2018-05-05,251.65,945.5,1330.9,620.1,410.9
2018-05-06,184.75,961.25,1244.8,830.1,641.0
2018-05-07,136.6,1060.75,1270.55,883.6,728.7
2018-05-08,477.45,1146.3,1878.4,1003.8,749.2
2018-05-09,289.9,777.9,1222.5,441.95,197.3
2018-05-10,134.25,596.45,802.15,309.3,148.7
2018-05-11,448.4,1004.7,1692.6,539.5,252.0
2018-05-12,330.35,1064.8,1571.35,418.8,274.5
2018-05-13,161.6,664.4,912.15,425.3,331.2
2018-05-14,84.75,421.9,551.8,277.55,180.8
2018-05-15,106.89,431.42,595.18,367.0,236.9
2018-05-16,100.61,327.73,481.62,408.95,206.1
2018-05-17,134.4,377.6,583.83,404.45,149.4
2018-05-18,140.45,484.55,700.1,395.35,185.8
2018-05-19,164.75,602.25,855.4,492.3,277.9
2018-05-20,123.35,537.15,726.3,559.95,415.5
2018-05-21,172.85,737.0,1001.95,659.25,444.5
2018-05-22,91.1,390.65,530.3,613.55,356.4
2018-05-23,88.9,329.35,465.6,557.15,357.2
2018-05-24,167.45,597.0,853.4,630.8,432.8
2018-05-25,286.68,824.65,1263.97,682.15,533.3
2018-05-26,74.25,455.8,569.9,947.45,770.1
2018-05-27,110.35,699.4,868.4,952.5,675.8
2018-05-28,78.8,441.8,562.6,833.3,683.9
2018-05-29,115.7,406.2,583.45,538.4,460.0
2018-05-30,222.2,701.9,1042.45,539.7,359.6
2018-05-31,148.55,669.9,897.75,705.5,497.9
2018-06-01,426.95,987.25,1642.05,687.95,463.8
2018-06-02,169.05,658.45,917.75,310.1,189.0
2018-06-03,164.85,647.95,900.9,320.15,198.3
2018-06-04,128.7,377.6,575.4,337.85,227.5
2018-06-05,114.2,348.05,523.25,342.95,170.5
2018-06-06,123.75,406.15,596.0,472.1,190.5
2018-06-07,126.1,421.55,615.15,412.6,216.0
2018-06-08,124.65,382.3,573.4,398.25,189.3
2018-06-09,100.8,368.8,523.15,379.35,206.8
2018-06-10,64.35,255.9,354.5,330.7,190.6
2018-06-11,116.2,350.6,529.1,284.25,125.8
2018-06-12,64.0,292.75,390.95,251.2,129.1
2018-06-13,498.8,836.3,1601.45,441.5,211.05
2018-06-14,251.65,491.05,876.9,421.8,196.8
2018-06-15,197.4,660.25,963.25,408.45,220.5
2018-06-16,268.65,573.85,985.45,356.5,165.4
2018-06-17,187.95,385.25,673.15,261.85,115.6
2018-06-18,204.8,435.4,749.35,305.85,114.1
2018-06-19,300.2,450.15,910.2,223.92,109.3
2018-06-20,375.15,425.25,1000.65,339.8,128.7
2018-06-21,53.4,244.75,326.75,241.0,78.1
2018-06-22,107.2,391.8,556.0,330.45,147.4
2018-06-23,95.8,508.15,655.15,354.75,213.8
2018-06-24,83.65,480.85,609.0,406.25,240.1
2018-06-25,257.58,864.15,1259.38,498.78,318.1
2018-06-26,183.46,719.86,1001.9,340.35,161.8
2018-06-27,146.13,571.03,795.69,391.2,187.1
2018-06-28,132.06,552.85,755.89,453.65,209.7
2018-06-29,136.39,557.76,767.43,397.05,218.3
2018-06-30,128.12,516.88,714.03,366.32,159.95
2018-07-01,128.19,584.4,781.57,480.75,218.8
2018-07-02,126.67,557.72,752.81,384.9,144.0
2018-07-03,127.8,536.14,732.71,404.55,298.6
2018-07-04,160.57,636.6,883.2,405.7,200.7
2018-07-05,300.6,1047.52,1508.79,751.6,454.9
2018-07-06,160.43,698.54,945.19,667.4,478.6
2018-07-07,162.61,734.51,984.38,695.35,497.3
2018-07-08,123.93,563.78,754.23,388.65,218.0
2018-07-09,194.51,683.54,982.22,363.65,187.5
2018-07-10,121.99,466.96,654.66,268.05,99.3
2018-07-11,121.56,498.83,685.61,331.6,149.1
2018-07-12,150.29,606.2,836.9,424.3,267.1
